JUN18LOF00192.spu,JUN18LOF00191.spu,JUN18LOF00190.spu,JUN18LOF00189.spu,JUN18LOF00188.spu,
Wavelength,JUN18LOF00193.spu,JUN18LOF00194.spu,JUN18LOF00195.spu,JUN18LOF00196.spu,JUN18LOF00197.spu,JUN18LOF00198.spu,JUN18LOF00199.spu,JUN18LOF00200.spu,JUN18LOF00201.spu,JUN18LOF00202.spu,JUN18LOF00203.spu,JUN18LOF00204.spu,JUN18LOF00205.spu,JUN18LOF00206.spu,JUN18LOF00207.spu,JUN18LOF00208.spu,JUN18LOF00209.spu,JUN18LOF00210.spu,JUN18LOF00211.spu,JUN18LOF00212.spu
 407 , 0.042957 , 0.031356 , 0.033557 , 0.048051 , 0.040316 , 0.034637 , 0.030473 , 0.047808 , 0.035541 , 0.038093 , 0.062503 , 0.05885 , 0.05865 , 0.052928 , 0.0528 , 0.037107 , 0.036574 , 0.039928 , 0.046511 , 0.036672 
 408 , 0.043345 , 0.031666 , 0.033738 , 0.048502 , 0.040653 , 0.035061 , 0.030907 , 0.048257 , 0.035991 , 0.038443 , 0.063155 , 0.059527 , 0.059355 , 0.0535 , 0.053401 , 0.037443 , 0.037025 , 0.040351 , 0.046852 , 0.036943 
 409 , 0.043712 , 0.031964 , 0.033904 , 0.048929 , 0.040973 , 0.03546 , 0.031321 , 0.048686 , 0.036421 , 0.038777 , 0.063772 , 0.060172 , 0.060025 , 0.054042 , 0.053973 , 0.037764 , 0.037456 , 0.040751 , 0.047173 , 0.037199 
 410 , 0.04419 , 0.032369 , 0.034401 , 0.049512 , 0.041505 , 0.035934 , 0.031659 , 0.049385 , 0.036858 , 0.039131 , 0.064711 , 0.061027 , 0.060948 , 0.05479 , 0.054746 , 0.038277 , 0.03808 , 0.041326 , 0.047747 , 0.03762 
 411 , 0.04464 , 0.032751 , 0.034868 , 0.050066 , 0.042006 , 0.036386 , 0.031979 , 0.050048 , 0.037272 , 0.039469 , 0.065603 , 0.061835 , 0.061822 , 0.055501 , 0.055479 , 0.038759 , 0.038671 , 0.041874 , 0.048292 , 0.038018 
 412 , 0.045065 , 0.033114 , 0.035312 , 0.05059 , 0.042485 , 0.036809 , 0.032283 , 0.050674 , 0.037666 , 0.039784 , 0.06644 , 0.062603 , 0.062652 , 0.056172 , 0.056172 , 0.039216 , 0.039229 , 0.042387 , 0.048809 , 0.038394 
 413 , 0.045541 , 0.033499 , 0.035707 , 0.051133 , 0.042908 , 0.037298 , 0.032698 , 0.051321 , 0.038009 , 0.040177 , 0.067301 , 0.063358 , 0.063439 , 0.056881 , 0.056881 , 0.039712 , 0.039788 , 0.042926 , 0.049354 , 0.038778 
 414 , 0.04604 , 0.03389 , 0.036067 , 0.051679 , 0.043293 , 0.037816 , 0.033166 , 0.051962 , 0.038319 , 0.040604 , 0.068149 , 0.064094 , 0.064197 , 0.057596 , 0.057587 , 0.040212 , 0.040338 , 0.043463 , 0.049907 , 0.039156 
 415 , 0.046516 , 0.034262 , 0.03641 , 0.052195 , 0.043663 , 0.038304 , 0.033611 , 0.05258 , 0.038616 , 0.041008 , 0.068958 , 0.064793 , 0.064915 , 0.058277 , 0.058259 , 0.040696 , 0.040864 , 0.043979 , 0.050436 , 0.039516 
 416 , 0.046921 , 0.034613 , 0.03671 , 0.05272 , 0.044047 , 0.03877 , 0.034031 , 0.053162 , 0.038943 , 0.041409 , 0.069736 , 0.065474 , 0.065633 , 0.058938 , 0.058906 , 0.041149 , 0.041358 , 0.04446 , 0.050933 , 0.039862 
 417 , 0.047183 , 0.034939 , 0.036929 , 0.053285 , 0.044508 , 0.039197 , 0.034441 , 0.053715 , 0.039376 , 0.041823 , 0.070491 , 0.06616 , 0.066416 , 0.059596 , 0.059555 , 0.041571 , 0.041836 , 0.04491 , 0.051377 , 0.040185 
 418 , 0.047432 , 0.035255 , 0.037136 , 0.053833 , 0.044953 , 0.03961 , 0.034832 , 0.054251 , 0.039798 , 0.042222 , 0.071219 , 0.066823 , 0.067168 , 0.060233 , 0.060178 , 0.041978 , 0.042295 , 0.045339 , 0.051805 , 0.040502 
 419 , 0.047676 , 0.035557 , 0.037337 , 0.05436 , 0.045384 , 0.040008 , 0.035211 , 0.054766 , 0.040202 , 0.04261 , 0.071919 , 0.067463 , 0.067897 , 0.060849 , 0.06078 , 0.042375 , 0.042744 , 0.045758 , 0.052215 , 0.040808 
 420 , 0.048219 , 0.035844 , 0.037813 , 0.054857 , 0.045757 , 0.040387 , 0.035616 , 0.0554 , 0.040605 , 0.042956 , 0.072723 , 0.068236 , 0.068691 , 0.061546 , 0.061523 , 0.042904 , 0.04329 , 0.046323 , 0.052813 , 0.04126 
 421 , 0.048783 , 0.036119 , 0.038307 , 0.055343 , 0.046118 , 0.040757 , 0.036017 , 0.056029 , 0.041 , 0.043286 , 0.073517 , 0.069009 , 0.069476 , 0.062239 , 0.062263 , 0.043435 , 0.043832 , 0.046888 , 0.053411 , 0.041718 
 422 , 0.04933 , 0.036392 , 0.038791 , 0.055815 , 0.046472 , 0.041115 , 0.036406 , 0.05664 , 0.041387 , 0.043613 , 0.074297 , 0.069761 , 0.070244 , 0.062915 , 0.06298 , 0.04395 , 0.044363 , 0.047442 , 0.054002 , 0.04217 
 423 , 0.049795 , 0.036722 , 0.039134 , 0.056263 , 0.046827 , 0.041523 , 0.03684 , 0.057215 , 0.041777 , 0.043986 , 0.075027 , 0.070443 , 0.07099 , 0.063546 , 0.063631 , 0.044453 , 0.044849 , 0.047972 , 0.054553 , 0.042587 
 424 , 0.050196 , 0.037104 , 0.039362 , 0.056695 , 0.047195 , 0.041965 , 0.037312 , 0.057755 , 0.042173 , 0.044412 , 0.075727 , 0.07107 , 0.071723 , 0.064135 , 0.06423 , 0.044942 , 0.045307 , 0.048497 , 0.055081 , 0.042983 
 425 , 0.050587 , 0.037481 , 0.039588 , 0.057121 , 0.047562 , 0.042403 , 0.037776 , 0.05829 , 0.042565 , 0.044828 , 0.076418 , 0.071691 , 0.072447 , 0.064724 , 0.064824 , 0.045427 , 0.045755 , 0.049018 , 0.055604 , 0.043378 
 426 , 0.050978 , 0.037844 , 0.039831 , 0.057542 , 0.047944 , 0.042818 , 0.038221 , 0.058813 , 0.042956 , 0.045211 , 0.077093 , 0.072305 , 0.073161 , 0.065296 , 0.065416 , 0.045928 , 0.046205 , 0.049521 , 0.056119 , 0.043773 
 427 , 0.051375 , 0.038141 , 0.040174 , 0.057958 , 0.048431 , 0.043128 , 0.038587 , 0.059286 , 0.043348 , 0.045444 , 0.077688 , 0.072908 , 0.073847 , 0.065831 , 0.066008 , 0.046503 , 0.046666 , 0.049946 , 0.05663 , 0.044192 
 428 , 0.051772 , 0.038439 , 0.040513 , 0.058374 , 0.048909 , 0.043439 , 0.038949 , 0.059759 , 0.043737 , 0.045671 , 0.078284 , 0.073501 , 0.074536 , 0.066366 , 0.066597 , 0.047076 , 0.047124 , 0.050367 , 0.057132 , 0.044608 
 429 , 0.052165 , 0.038733 , 0.040853 , 0.058785 , 0.049384 , 0.043745 , 0.039312 , 0.060224 , 0.044126 , 0.045898 , 0.078876 , 0.074096 , 0.075211 , 0.066897 , 0.067181 , 0.047646 , 0.047578 , 0.050784 , 0.057636 , 0.045019 
 430 , 0.052793 , 0.039145 , 0.04135 , 0.059398 , 0.049943 , 0.044277 , 0.03977 , 0.060969 , 0.044578 , 0.046342 , 0.079715 , 0.074931 , 0.076031 , 0.067657 , 0.067923 , 0.048387 , 0.048198 , 0.05144 , 0.058342 , 0.045644 
 431 , 0.053466 , 0.039572 , 0.041872 , 0.060048 , 0.050509 , 0.044853 , 0.04024 , 0.061767 , 0.045043 , 0.046831 , 0.080606 , 0.075807 , 0.076874 , 0.068461 , 0.06868 , 0.049155 , 0.048848 , 0.052141 , 0.059078 , 0.04631 
 432 , 0.054123 , 0.039992 , 0.042382 , 0.060684 , 0.051058 , 0.045412 , 0.040702 , 0.062549 , 0.045496 , 0.047307 , 0.081473 , 0.076665 , 0.077693 , 0.069242 , 0.069423 , 0.049907 , 0.049481 , 0.052825 , 0.059797 , 0.04696 
 433 , 0.054731 , 0.040465 , 0.042841 , 0.061347 , 0.051671 , 0.04599 , 0.041189 , 0.063266 , 0.045965 , 0.04777 , 0.082357 , 0.077487 , 0.07855 , 0.070005 , 0.070187 , 0.050673 , 0.050107 , 0.053496 , 0.060531 , 0.047598 
 434 , 0.055291 , 0.041003 , 0.04324 , 0.062046 , 0.052351 , 0.046576 , 0.041706 , 0.063907 , 0.046457 , 0.048219 , 0.083258 , 0.078269 , 0.079457 , 0.070737 , 0.070969 , 0.05145 , 0.050723 , 0.054148 , 0.061274 , 0.048224 
 435 , 0.055828 , 0.041521 , 0.043622 , 0.062722 , 0.053005 , 0.047141 , 0.042208 , 0.064529 , 0.046937 , 0.048654 , 0.084132 , 0.079025 , 0.080334 , 0.071443 , 0.071727 , 0.052209 , 0.051322 , 0.054782 , 0.06199 , 0.048824 
 436 , 0.056362 , 0.042025 , 0.044008 , 0.063382 , 0.053647 , 0.047698 , 0.042701 , 0.06515 , 0.047408 , 0.049085 , 0.084996 , 0.079773 , 0.081195 , 0.072146 , 0.072476 , 0.052956 , 0.051915 , 0.05541 , 0.062701 , 0.049416 
 437 , 0.057084 , 0.042551 , 0.044535 , 0.064122 , 0.054333 , 0.048296 , 0.043273 , 0.066035 , 0.047983 , 0.049654 , 0.086051 , 0.08071 , 0.082249 , 0.073016 , 0.073395 , 0.053889 , 0.052637 , 0.056166 , 0.063566 , 0.050158 
 438 , 0.05779 , 0.043062 , 0.045057 , 0.064846 , 0.055007 , 0.048877 , 0.043831 , 0.066901 , 0.048546 , 0.05021 , 0.087081 , 0.081628 , 0.083286 , 0.073865 , 0.074292 , 0.054804 , 0.053344 , 0.05691 , 0.064413 , 0.050881 
 439 , 0.058485 , 0.04357 , 0.045569 , 0.065558 , 0.055671 , 0.049454 , 0.04438 , 0.067751 , 0.0491 , 0.050756 , 0.088093 , 0.082533 , 0.084301 , 0.074701 , 0.075173 , 0.055702 , 0.054036 , 0.057634 , 0.06524 , 0.051586 
 440 , 0.05917 , 0.044139 , 0.046071 , 0.06634 , 0.056376 , 0.050095 , 0.045027 , 0.068618 , 0.049661 , 0.051329 , 0.089125 , 0.083489 , 0.085323 , 0.075566 , 0.076103 , 0.056639 , 0.054754 , 0.058416 , 0.066113 , 0.052342 
 441 , 0.059846 , 0.044733 , 0.046565 , 0.06715 , 0.057094 , 0.050758 , 0.045717 , 0.069485 , 0.050227 , 0.051907 , 0.090159 , 0.084457 , 0.08634 , 0.076446 , 0.077044 , 0.057583 , 0.055476 , 0.059216 , 0.066994 , 0.053114 
 442 , 0.06052 , 0.045318 , 0.047057 , 0.067948 , 0.057806 , 0.05141 , 0.046392 , 0.070347 , 0.050787 , 0.052484 , 0.09118 , 0.085418 , 0.087346 , 0.077309 , 0.077979 , 0.058519 , 0.056187 , 0.060006 , 0.067864 , 0.053877 
 443 , 0.061238 , 0.045899 , 0.0476 , 0.068757 , 0.058582 , 0.052056 , 0.047072 , 0.071217 , 0.051422 , 0.053101 , 0.092274 , 0.08645 , 0.088441 , 0.078245 , 0.078963 , 0.05949 , 0.056929 , 0.060826 , 0.068788 , 0.054654 
 444 , 0.062061 , 0.046482 , 0.04825 , 0.069611 , 0.059482 , 0.052699 , 0.04776 , 0.072125 , 0.05222 , 0.053808 , 0.093539 , 0.087635 , 0.089729 , 0.079329 , 0.080059 , 0.060553 , 0.057734 , 0.061725 , 0.069808 , 0.055465 
 445 , 0.062876 , 0.047065 , 0.048899 , 0.070466 , 0.060381 , 0.053334 , 0.048447 , 0.073031 , 0.053011 , 0.054511 , 0.094792 , 0.088819 , 0.091007 , 0.080412 , 0.081148 , 0.061612 , 0.058543 , 0.062623 , 0.070827 , 0.056274 
 446 , 0.063694 , 0.047645 , 0.049544 , 0.071314 , 0.061275 , 0.053975 , 0.049132 , 0.073933 , 0.053801 , 0.055211 , 0.096045 , 0.089998 , 0.092286 , 0.081488 , 0.082231 , 0.062663 , 0.059344 , 0.063515 , 0.07184 , 0.057077 
 447 , 0.064431 , 0.048159 , 0.050183 , 0.072062 , 0.061965 , 0.054639 , 0.049741 , 0.07486 , 0.054378 , 0.055807 , 0.097082 , 0.090946 , 0.093357 , 0.082393 , 0.083167 , 0.063596 , 0.060061 , 0.064272 , 0.072678 , 0.057836 
 448 , 0.065167 , 0.048674 , 0.050823 , 0.072803 , 0.062646 , 0.055306 , 0.050351 , 0.075784 , 0.05495 , 0.056408 , 0.098115 , 0.091894 , 0.094421 , 0.083299 , 0.084105 , 0.064526 , 0.060771 , 0.065025 , 0.073515 , 0.05859 
 449 , 0.065902 , 0.049186 , 0.051466 , 0.073547 , 0.063325 , 0.055977 , 0.050965 , 0.076709 , 0.05552 , 0.057007 , 0.099148 , 0.092836 , 0.095485 , 0.0842 , 0.085037 , 0.065451 , 0.061485 , 0.065781 , 0.074351 , 0.059348 
 450 , 0.066385 , 0.049548 , 0.051844 , 0.07407 , 0.063835 , 0.056443 , 0.051364 , 0.077305 , 0.055951 , 0.057365 , 0.099862 , 0.093486 , 0.096213 , 0.084808 , 0.085674 , 0.066082 , 0.061974 , 0.066281 , 0.074926 , 0.059821 
 451 , 0.066715 , 0.04982 , 0.052071 , 0.074462 , 0.064243 , 0.056783 , 0.051629 , 0.077695 , 0.056298 , 0.057572 , 0.100384 , 0.093945 , 0.096737 , 0.085233 , 0.086132 , 0.066522 , 0.062334 , 0.066621 , 0.07535 , 0.060121 
 452 , 0.067039 , 0.050091 , 0.052297 , 0.074853 , 0.064645 , 0.057128 , 0.051895 , 0.07809 , 0.056638 , 0.057785 , 0.100911 , 0.094403 , 0.09726 , 0.085651 , 0.086589 , 0.066961 , 0.062693 , 0.066961 , 0.075769 , 0.060426 
 453 , 0.067283 , 0.050296 , 0.052472 , 0.075135 , 0.064952 , 0.057376 , 0.052086 , 0.078413 , 0.056869 , 0.057916 , 0.101319 , 0.094762 , 0.097677 , 0.085968 , 0.086943 , 0.067305 , 0.062963 , 0.067228 , 0.076088 , 0.06066 
 454 , 0.06729 , 0.0503 , 0.0525 , 0.075096 , 0.064975 , 0.057344 , 0.052072 , 0.078536 , 0.056768 , 0.057816 , 0.101384 , 0.094845 , 0.097791 , 0.085969 , 0.087033 , 0.067377 , 0.062989 , 0.067284 , 0.076116 , 0.060701 
 455 , 0.067299 , 0.050302 , 0.052531 , 0.07506 , 0.064994 , 0.057315 , 0.052055 , 0.078665 , 0.056665 , 0.057714 , 0.101456 , 0.094935 , 0.097901 , 0.085973 , 0.087114 , 0.067441 , 0.063006 , 0.067343 , 0.076141 , 0.060745 
 456 , 0.067306 , 0.050308 , 0.052559 , 0.075021 , 0.065016 , 0.057279 , 0.052042 , 0.07879 , 0.056566 , 0.057616 , 0.101529 , 0.095021 , 0.098017 , 0.085978 , 0.087201 , 0.067512 , 0.063032 , 0.067398 , 0.076169 , 0.060786 
 457 , 0.067354 , 0.050419 , 0.052602 , 0.075231 , 0.065111 , 0.057446 , 0.052218 , 0.079034 , 0.056638 , 0.057744 , 0.101667 , 0.095161 , 0.098233 , 0.086152 , 0.087376 , 0.067641 , 0.063177 , 0.067571 , 0.076298 , 0.060837 
 458 , 0.067408 , 0.05054 , 0.052656 , 0.075467 , 0.065211 , 0.057638 , 0.052413 , 0.079294 , 0.056737 , 0.057903 , 0.101819 , 0.095315 , 0.098467 , 0.086349 , 0.087569 , 0.067781 , 0.063344 , 0.067754 , 0.076449 , 0.060888 
 459 , 0.067465 , 0.050663 , 0.052702 , 0.075704 , 0.065314 , 0.057827 , 0.05261 , 0.079555 , 0.056837 , 0.058064 , 0.101972 , 0.095464 , 0.098702 , 0.086547 , 0.087757 , 0.067922 , 0.063512 , 0.067938 , 0.076597 , 0.060936 
 460 , 0.067478 , 0.050729 , 0.052752 , 0.075847 , 0.065397 , 0.057913 , 0.052746 , 0.079737 , 0.056947 , 0.058133 , 0.102118 , 0.095622 , 0.09891 , 0.086727 , 0.087918 , 0.06802 , 0.063664 , 0.068068 , 0.0767 , 0.060992 
 461 , 0.067448 , 0.050753 , 0.052799 , 0.075908 , 0.065462 , 0.057912 , 0.052825 , 0.079848 , 0.057066 , 0.058121 , 0.102262 , 0.095783 , 0.099092 , 0.086889 , 0.088046 , 0.06808 , 0.063812 , 0.06816 , 0.076748 , 0.06106 
 462 , 0.067416 , 0.050771 , 0.052849 , 0.075972 , 0.06553 , 0.05791 , 0.052908 , 0.079953 , 0.057189 , 0.058108 , 0.102407 , 0.095941 , 0.099276 , 0.087049 , 0.088177 , 0.068138 , 0.063959 , 0.06825 , 0.0768 , 0.061127 
 463 , 0.06741 , 0.050794 , 0.052911 , 0.076036 , 0.065586 , 0.05792 , 0.052991 , 0.080079 , 0.057301 , 0.058118 , 0.102558 , 0.096103 , 0.099475 , 0.087216 , 0.088326 , 0.068199 , 0.064103 , 0.068338 , 0.076862 , 0.06119 
 464 , 0.067529 , 0.050809 , 0.053031 , 0.076091 , 0.0656 , 0.058013 , 0.0531 , 0.08029 , 0.057368 , 0.058237 , 0.102764 , 0.09628 , 0.099791 , 0.087371 , 0.088559 , 0.068286 , 0.064236 , 0.068451 , 0.076976 , 0.061247 
 465 , 0.067647 , 0.050824 , 0.053155 , 0.076151 , 0.065619 , 0.058104 , 0.053208 , 0.080504 , 0.057439 , 0.058355 , 0.102968 , 0.096459 , 0.100105 , 0.087529 , 0.08879 , 0.068376 , 0.064368 , 0.068562 , 0.077088 , 0.061308 
 466 , 0.067763 , 0.050838 , 0.053278 , 0.076215 , 0.065631 , 0.058195 , 0.053326 , 0.080722 , 0.057514 , 0.058477 , 0.103181 , 0.096642 , 0.100427 , 0.087691 , 0.08903 , 0.068459 , 0.064504 , 0.068672 , 0.077198 , 0.061363 
 467 , 0.06794 , 0.050988 , 0.053369 , 0.076432 , 0.065804 , 0.05838 , 0.053534 , 0.081029 , 0.057684 , 0.058657 , 0.10347 , 0.096934 , 0.100792 , 0.087996 , 0.089345 , 0.068599 , 0.064715 , 0.06887 , 0.077389 , 0.061494 
 468 , 0.068132 , 0.051168 , 0.053454 , 0.076696 , 0.066011 , 0.058589 , 0.053762 , 0.081353 , 0.057877 , 0.058855 , 0.103782 , 0.097254 , 0.101172 , 0.088339 , 0.089678 , 0.068754 , 0.064942 , 0.069089 , 0.0776 , 0.061641 
 469 , 0.068324 , 0.051348 , 0.053534 , 0.076961 , 0.066218 , 0.058799 , 0.054002 , 0.081683 , 0.05807 , 0.059054 , 0.1041 , 0.097574 , 0.101558 , 0.088693 , 0.090017 , 0.068909 , 0.06517 , 0.069308 , 0.077812 , 0.061793 
 470 , 0.06855 , 0.05153 , 0.053711 , 0.077228 , 0.066438 , 0.059026 , 0.054195 , 0.082048 , 0.05826 , 0.059223 , 0.104475 , 0.097962 , 0.102011 , 0.089072 , 0.090407 , 0.069103 , 0.065422 , 0.06955 , 0.078063 , 0.061953 
 471 , 0.068817 , 0.051711 , 0.054004 , 0.077508 , 0.066663 , 0.059267 , 0.054351 , 0.082456 , 0.05844 , 0.059342 , 0.104926 , 0.098431 , 0.102537 , 0.089479 , 0.090849 , 0.069355 , 0.065692 , 0.069803 , 0.078356 , 0.06212 
 472 , 0.069084 , 0.051888 , 0.054293 , 0.077784 , 0.066893 , 0.059508 , 0.054507 , 0.082866 , 0.058616 , 0.059466 , 0.105374 , 0.098903 , 0.10306 , 0.089888 , 0.091293 , 0.069608 , 0.065969 , 0.070062 , 0.078655 , 0.062287 
 473 , 0.069363 , 0.052074 , 0.054575 , 0.078074 , 0.067125 , 0.059757 , 0.054671 , 0.083289 , 0.058804 , 0.059607 , 0.105835 , 0.099372 , 0.103597 , 0.090308 , 0.091748 , 0.069861 , 0.066252 , 0.070332 , 0.078946 , 0.062466 
 474 , 0.069703 , 0.052366 , 0.054764 , 0.078495 , 0.067423 , 0.06009 , 0.054973 , 0.083822 , 0.05905 , 0.059935 , 0.106362 , 0.099845 , 0.104158 , 0.090795 , 0.092238 , 0.070121 , 0.066608 , 0.070701 , 0.079203 , 0.062735 
 475 , 0.070043 , 0.052657 , 0.054958 , 0.078918 , 0.067726 , 0.06043 , 0.055275 , 0.084353 , 0.059296 , 0.060264 , 0.106889 , 0.10032 , 0.104717 , 0.091283 , 0.092734 , 0.070387 , 0.066968 , 0.071069 , 0.079461 , 0.063 
 476 , 0.070377 , 0.052949 , 0.055147 , 0.079342 , 0.068023 , 0.060766 , 0.055578 , 0.084881 , 0.059543 , 0.060594 , 0.107411 , 0.10079 , 0.105278 , 0.091771 , 0.093226 , 0.070647 , 0.067328 , 0.071439 , 0.079714 , 0.063271 
 477 , 0.070603 , 0.05323 , 0.055337 , 0.079775 , 0.068339 , 0.061047 , 0.055882 , 0.085312 , 0.05981 , 0.060852 , 0.107946 , 0.101285 , 0.105861 , 0.092248 , 0.093744 , 0.07091 , 0.067669 , 0.071764 , 0.080045 , 0.063521 
 478 , 0.07078 , 0.053507 , 0.055528 , 0.080204 , 0.068651 , 0.061301 , 0.056194 , 0.085707 , 0.060094 , 0.061079 , 0.108483 , 0.101788 , 0.106451 , 0.092716 , 0.09427 , 0.071181 , 0.068001 , 0.072069 , 0.080405 , 0.063766 
 479 , 0.070963 , 0.053791 , 0.055719 , 0.080635 , 0.06897 , 0.061563 , 0.056501 , 0.086104 , 0.060379 , 0.061307 , 0.109021 , 0.102293 , 0.107045 , 0.093191 , 0.094798 , 0.071446 , 0.068335 , 0.07237 , 0.080766 , 0.064012 
 480 , 0.07114 , 0.053984 , 0.05589 , 0.080976 , 0.069174 , 0.061756 , 0.05674 , 0.086471 , 0.060585 , 0.061505 , 0.109482 , 0.102734 , 0.107571 , 0.093606 , 0.09524 , 0.071647 , 0.068624 , 0.072649 , 0.081069 , 0.064185 
 481 , 0.071305 , 0.054022 , 0.056028 , 0.081153 , 0.06919 , 0.061843 , 0.056856 , 0.086788 , 0.06066 , 0.061663 , 0.109821 , 0.103063 , 0.107973 , 0.093917 , 0.095531 , 0.07173 , 0.068825 , 0.072885 , 0.081273 , 0.064247 
 482 , 0.07147 , 0.05406 , 0.056166 , 0.081336 , 0.069206 , 0.061936 , 0.056973 , 0.087106 , 0.060731 , 0.061821 , 0.110155 , 0.103397 , 0.108382 , 0.094235 , 0.095827 , 0.071813 , 0.069032 , 0.073122 , 0.081478 , 0.064314 
 483 , 0.071635 , 0.054099 , 0.056304 , 0.081525 , 0.069223 , 0.062029 , 0.05709 , 0.087431 , 0.060807 , 0.06198 , 0.110496 , 0.103739 , 0.108793 , 0.094559 , 0.096125 , 0.071897 , 0.069245 , 0.07336 , 0.081689 , 0.064376 
 484 , 0.071855 , 0.054366 , 0.056507 , 0.08188 , 0.069502 , 0.062398 , 0.057424 , 0.087782 , 0.061153 , 0.062251 , 0.110922 , 0.104179 , 0.109328 , 0.094968 , 0.096584 , 0.07215 , 0.069584 , 0.073635 , 0.081951 , 0.06461 
 485 , 0.072077 , 0.054638 , 0.056713 , 0.082235 , 0.069777 , 0.062776 , 0.057756 , 0.088134 , 0.061503 , 0.06253 , 0.111346 , 0.104622 , 0.109871 , 0.095376 , 0.097042 , 0.072404 , 0.069925 , 0.073917 , 0.082224 , 0.06484 
 486 , 0.072304 , 0.05491 , 0.05692 , 0.082597 , 0.070064 , 0.063153 , 0.058095 , 0.088486 , 0.061859 , 0.062804 , 0.111775 , 0.105072 , 0.11042 , 0.09579 , 0.097505 , 0.072665 , 0.070266 , 0.0742 , 0.082493 , 0.065076 
 487 , 0.072594 , 0.055161 , 0.057196 , 0.082956 , 0.070352 , 0.06346 , 0.058396 , 0.088926 , 0.0622 , 0.063062 , 0.112291 , 0.105579 , 0.111003 , 0.096249 , 0.098011 , 0.072922 , 0.070614 , 0.074526 , 0.082804 , 0.065288 
 488 , 0.072925 , 0.055395 , 0.057507 , 0.083308 , 0.070645 , 0.063716 , 0.058674 , 0.089403 , 0.062532 , 0.063306 , 0.112842 , 0.106115 , 0.111592 , 0.096736 , 0.098525 , 0.073176 , 0.070961 , 0.074857 , 0.083134 , 0.065483 
 489 , 0.073257 , 0.05563 , 0.057817 , 0.083655 , 0.070938 , 0.063971 , 0.058952 , 0.089874 , 0.062864 , 0.063551 , 0.113393 , 0.10665 , 0.112182 , 0.097217 , 0.099045 , 0.073426 , 0.071303 , 0.075193 , 0.083458 , 0.065679 
 490 , 0.073644 , 0.055898 , 0.05816 , 0.08406 , 0.071268 , 0.064297 , 0.059283 , 0.090415 , 0.063191 , 0.063839 , 0.114025 , 0.107218 , 0.112843 , 0.097751 , 0.099615 , 0.073748 , 0.071693 , 0.075579 , 0.083825 , 0.065932 
 491 , 0.074147 , 0.05624 , 0.058568 , 0.084578 , 0.071687 , 0.064784 , 0.059724 , 0.091088 , 0.063503 , 0.064255 , 0.114846 , 0.107866 , 0.113668 , 0.098422 , 0.100342 , 0.074234 , 0.072178 , 0.076093 , 0.084289 , 0.066327 
 492 , 0.074644 , 0.056576 , 0.058971 , 0.085096 , 0.072107 , 0.065266 , 0.060155 , 0.091757 , 0.063815 , 0.064661 , 0.115661 , 0.108504 , 0.114488 , 0.099083 , 0.101058 , 0.07472 , 0.072652 , 0.076597 , 0.084741 , 0.066717 
 493 , 0.075135 , 0.056907 , 0.059373 , 0.085603 , 0.072515 , 0.065743 , 0.060585 , 0.092414 , 0.064127 , 0.065066 , 0.116471 , 0.109142 , 0.115292 , 0.099733 , 0.101768 , 0.075195 , 0.073127 , 0.0771 , 0.085193 , 0.067101 
 494 , 0.075562 , 0.057382 , 0.059724 , 0.086165 , 0.073024 , 0.066243 , 0.061061 , 0.09299 , 0.064583 , 0.065473 , 0.117236 , 0.109893 , 0.116112 , 0.100377 , 0.102484 , 0.075601 , 0.07369 , 0.077604 , 0.085674 , 0.067526 
 495 , 0.075986 , 0.05786 , 0.060071 , 0.086724 , 0.073529 , 0.066737 , 0.06154 , 0.09356 , 0.06505 , 0.065875 , 0.117991 , 0.110659 , 0.116916 , 0.101017 , 0.10319 , 0.075996 , 0.074255 , 0.078109 , 0.086151 , 0.067938 
 496 , 0.076403 , 0.058333 , 0.060413 , 0.087278 , 0.074029 , 0.067232 , 0.062013 , 0.094119 , 0.065507 , 0.066271 , 0.118741 , 0.11142 , 0.11772 , 0.101653 , 0.103891 , 0.076387 , 0.07482 , 0.078609 , 0.086623 , 0.068351 
 497 , 0.07686 , 0.058764 , 0.060845 , 0.087811 , 0.0745 , 0.067722 , 0.062479 , 0.094764 , 0.065947 , 0.066695 , 0.119523 , 0.112176 , 0.118485 , 0.102318 , 0.104579 , 0.076772 , 0.075336 , 0.079115 , 0.087101 , 0.068754 
 498 , 0.077345 , 0.059157 , 0.061353 , 0.088334 , 0.074953 , 0.068218 , 0.062937 , 0.095462 , 0.066372 , 0.067148 , 0.120341 , 0.112935 , 0.119237 , 0.103005 , 0.105255 , 0.077159 , 0.075805 , 0.079628 , 0.087586 , 0.069158 
 499 , 0.077825 , 0.05955 , 0.06186 , 0.088852 , 0.0754 , 0.068715 , 0.0634 , 0.09616 , 0.066792 , 0.067595 , 0.121148 , 0.113692 , 0.11999 , 0.103686 , 0.105926 , 0.077541 , 0.076274 , 0.080135 , 0.088066 , 0.069556 
 500 , 0.078321 , 0.05998 , 0.062377 , 0.089405 , 0.075885 , 0.069257 , 0.063906 , 0.096863 , 0.067269 , 0.068077 , 0.122024 , 0.114478 , 0.120806 , 0.104398 , 0.106643 , 0.077971 , 0.076792 , 0.080674 , 0.08858 , 0.069994 
