JUL21MAT00005.spu,JUL21MAT00004.spu,JUL21MAT00003.spu,
Wavelength,JUL21MAT00007.spu,JUL21MAT00008.spu,JUL21MAT00009.spu,JUL21MAT00010.spu,JUL21MAT00011.spu,JUL21MAT00012.spu,JUL21MAT00013.spu,JUL21MAT00014.spu,JUL21MAT00015.spu,JUL21MAT00016.spu,JUL21MAT00017.spu,JUL21MAT00018.spu,JUL21MAT00019.spu,JUL21MAT00020.spu,JUL21MAT00021.spu,JUL21MAT00022.spu,JUL21MAT00023.spu,JUL21MAT00024.spu,JUL21MAT00025.spu,JUL21MAT00026.spu,JUL21MAT00027.spu,JUL21MAT00028.spu,JUL21MAT00029.spu,JUL21MAT00030.spu,JUL21MAT00031.spu,JUL21MAT00032.spu,JUL21MAT00033.spu,JUL21MAT00034.spu,JUL21MAT00035.spu,JUL21MAT00036.spu,JUL21MAT00037.spu,JUL21MAT00038.spu,JUL21MAT00039.spu,JUL21MAT00040.spu,JUL21MAT00041.spu,JUL21MAT00042.spu,JUL21MAT00043.spu,JUL21MAT00044.spu,JUL21MAT00045.spu,JUL21MAT00046.spu,JUL21MAT00047.spu,JUL21MAT00048.spu,JUL21MAT00049.spu,JUL21MAT00050.spu,JUL21MAT00051.spu,JUL21MAT00052.spu,JUL21MAT00053.spu,JUL21MAT00054.spu,JUL21MAT00055.spu,JUL21MAT00056.spu,JUL21MAT00057.spu,JUL21MAT00058.spu,JUL21MAT00059.spu,JUL21MAT00060.spu,JUL21MAT00061.spu,JUL21MAT00062.spu,JUL21MAT00063.spu,JUL21MAT00064.spu,JUL21MAT00065.spu,JUL21MAT00066.spu,JUL21MAT00067.spu,JUL21MAT00068.spu,JUL21MAT00069.spu,JUL21MAT00070.spu,JUL21MAT00071.spu,JUL21MAT00072.spu,JUL21MAT00073.spu,JUL21MAT00074.spu,JUL21MAT00075.spu,JUL21MAT00076.spu,JUL21MAT00077.spu,JUL21MAT00078.spu,JUL21MAT00079.spu,JUL21MAT00080.spu,JUL21MAT00081.spu,JUL21MAT00082.spu,JUL21MAT00083.spu,JUL21MAT00084.spu,JUL21MAT00085.spu
 316 , 1.241382 , 0 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 0 , 1.241382 , 1.241382 , 0 , 0 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 0 , 0 , 1.241382 , 1.241382 , 1.241382 , 0 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 0 , 1.241382 , 0 , 1.241382 , 0 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 0 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 0 , 1.241382 , 0 , 1.241382 , 1.241382 
 317 , 1.314995 , 0 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 0 , 1.314995 , 1.314995 , 0 , 0 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 0 , 0 , 1.314995 , 1.314995 , 1.314995 , 0 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 0 , 1.314995 , 0 , 1.314995 , 0 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 0 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 0 , 1.314995 , 0 , 1.314995 , 1.314995 
 318 , 0.405014 , 0 , 0 , 0 , 0 , 0 , 0.405014 , 0.405014 , 0.405014 , 0.405014 , 0.405014 , 0 , 0.405014 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.405014 , 0.405014 , 0.405014 , 0.405014 , 0.405014 , 0 , 0.405014 , 0 , 0 , 0.405014 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.405014 , 0.405014 , 0.405014 , 0.405014 , 0 , 0 , 0 , 0 , 0 , 0.405014 , 0 , 0 , 0 , 0 , 0 , 0.405014 , 0.405014 , 0.405014 , 0.405014 , 0 , 0 , 0.405014 , 0 , 0 , 0.405014 , 0 , 0.405014 , 0.405014 , 0.405014 , 0.405014 , 0.405014 , 0.405014 , 0.405014 , 0.405014 , 0.405014 , 0 , 0.405014 , 0 , 0.405014 , 0.405014 
 319 , 2.23837 , 0 , 0 , 0 , 0 , 0 , 2.23837 , 2.23837 , 2.23837 , 2.23837 , 2.23837 , 0 , 2.23837 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.23837 , 2.23837 , 2.23837 , 2.23837 , 2.23837 , 0 , 2.23837 , 0 , 0 , 2.23837 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.23837 , 2.23837 , 2.23837 , 2.23837 , 0 , 0 , 0 , 0 , 0 , 2.23837 , 0 , 0 , 0 , 0 , 0 , 2.23837 , 2.23837 , 2.23837 , 2.23837 , 0 , 0 , 2.23837 , 0 , 0 , 2.23837 , 0 , 2.23837 , 2.23837 , 2.23837 , 2.23837 , 2.23837 , 2.23837 , 2.23837 , 2.23837 , 2.23837 , 0 , 2.23837 , 0 , 2.23837 , 2.23837 
 320 , 3.416211 , 0 , 0 , 0 , 0 , 0 , 3.416211 , 3.416211 , 3.416211 , 3.416211 , 3.416211 , 0 , 3.416211 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3.416211 , 3.416211 , 3.416211 , 3.416211 , 3.416211 , 0 , 3.416211 , 0 , 0 , 3.416211 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3.416211 , 3.416211 , 3.416211 , 3.416211 , 0 , 0 , 0 , 0 , 0 , 3.416211 , 0 , 0 , 0 , 0 , 0 , 3.416211 , 3.416211 , 3.416211 , 3.416211 , 0 , 0 , 3.416211 , 0 , 0 , 3.416211 , 0 , 3.416211 , 3.416211 , 3.416211 , 3.416211 , 3.416211 , 3.416211 , 3.416211 , 3.416211 , 3.416211 , 0 , 3.416211 , 0 , 3.416211 , 3.416211 
 321 , 4.262379 , 0 , 0 , 0 , 0 , 0 , 4.262379 , 4.262379 , 4.262379 , 4.262379 , 4.262379 , 0 , 4.262379 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4.262379 , 4.262379 , 4.262379 , 4.262379 , 4.262379 , 0 , 4.262379 , 0 , 0 , 4.262379 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4.262379 , 4.262379 , 4.262379 , 4.262379 , 0 , 0 , 0 , 0 , 0 , 4.262379 , 0 , 0 , 0 , 0 , 0 , 4.262379 , 4.262379 , 4.262379 , 4.262379 , 0 , 0 , 4.262379 , 0 , 0 , 4.262379 , 0 , 4.262379 , 4.262379 , 4.262379 , 4.262379 , 4.262379 , 4.262379 , 4.262379 , 4.262379 , 4.262379 , 0 , 4.262379 , 0 , 4.262379 , 4.262379 
 322 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5.260095 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5.260095 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5.260095 , 0 , 0 , 0 , 0 , 5.260095 , 5.260095 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 323 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6.029 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6.029 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6.029 , 0 , 0 , 0 , 0 , 6.029 , 6.029 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 324 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6.598618 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6.598618 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6.598618 , 0 , 0 , 0 , 0 , 6.598618 , 6.598618 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 325 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6.738736 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 326 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6.345029 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 327 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5.942148 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 329 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.009955 , 0 , 0 , 0 , 0.002085 , 0.000701 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001289 , 0 , 0 , 0 , 0 
 330 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.010856 , 0 , 0 , 0 , 0.003738 , 0.001357 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002245 , 0 , 0 , 0 , 0 
 331 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.011412 , 0 , 0 , 0 , 0.005011 , 0.001928 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002951 , 0 , 0 , 0 , 0 
 332 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.015026 , 0 , 0 , 0 , 0.00666 , 0.003556 , 0.000732 , 0.001121 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000323 , 0.000139 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001154 , 0 , 0.000063 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.004674 , 0 , 0 , 0 , 0 
 333 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.019922 , 0 , 0 , 0 , 0.008528 , 0.005799 , 0.001925 , 0.002864 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000813 , 0.000348 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003275 , 0 , 0.000149 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.007092 , 0 , 0 , 0 , 0 
 334 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.023932 , 0 , 0 , 0 , 0.010201 , 0.007809 , 0.003019 , 0.004384 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001228 , 0.000524 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00551 , 0 , 0.000215 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.009354 , 0 , 0 , 0 , 0 
 335 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000327 , 0.000118 , 0 , 0.025649 , 0 , 0.000206 , 0 , 0.011737 , 0.009342 , 0.004138 , 0.005613 , 0.000253 , 0.000078 , 0.000395 , 0.000112 , 0 , 0 , 0.00022 , 0 , 0.000475 , 0.000288 , 0 , 0 , 0.00007 , 0 , 0 , 0.000017 , 0 , 0 , 0 , 0.001729 , 0.001091 , 0 , 0.000488 , 0 , 0 , 0.000071 , 0.000159 , 0.00017 , 0 , 0 , 0 , 0.000109 , 0 , 0 , 0 , 0 , 0.000036 , 0 , 0.000314 , 0.000167 , 0 , 0.007516 , 0.000271 , 0.00072 , 0.000281 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000304 , 0 , 0.000363 , 0 , 0.011469 , 0 , 0.000191 , 0 , 0.00004 
 336 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001699 , 0.000522 , 0 , 0.022782 , 0 , 0.001131 , 0 , 0.013155 , 0.009703 , 0.005489 , 0.006263 , 0.001283 , 0.000408 , 0.001786 , 0.000457 , 0 , 0 , 0.001139 , 0 , 0.002204 , 0.001508 , 0 , 0 , 0.000347 , 0 , 0 , 0.000086 , 0 , 0 , 0 , 0.002585 , 0.002891 , 0 , 0.002129 , 0 , 0 , 0.000386 , 0.000802 , 0.000848 , 0 , 0 , 0 , 0.000564 , 0 , 0 , 0 , 0 , 0.000203 , 0 , 0.001544 , 0.000813 , 0 , 0.008312 , 0.001448 , 0.002855 , 0.00144 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001631 , 0 , 0.001716 , 0 , 0.013338 , 0 , 0.000982 , 0 , 0.000209 
