JUN28MAT00009.spu,JUN28MAT00008.spu,JUN28MAT00007.spu,JUN28MAT00006.spu,JUN28MAT00005.spu,
Wavelength,JUN28MAT00010.spu,JUN28MAT00011.spu,JUN28MAT00012.spu,JUN28MAT00013.spu,JUN28MAT00014.spu,JUN28MAT00015.spu,JUN28MAT00016.spu,JUN28MAT00017.spu,JUN28MAT00018.spu,JUN28MAT00019.spu,JUN28MAT00020.spu,JUN28MAT00021.spu,JUN28MAT00022.spu,JUN28MAT00023.spu,JUN28MAT00024.spu,JUN28MAT00025.spu,JUN28MAT00026.spu,JUN28MAT00027.spu,JUN28MAT00028.spu,JUN28MAT00029.spu,JUN28MAT00030.spu,JUN28MAT00031.spu,JUN28MAT00032.spu,JUN28MAT00033.spu,JUN28MAT00034.spu,JUN28MAT00035.spu,JUN28MAT00036.spu,JUN28MAT00037.spu,JUN28MAT00038.spu,JUN28MAT00039.spu,JUN28MAT00040.spu,JUN28MAT00041.spu,JUN28MAT00042.spu,JUN28MAT00043.spu,JUN28MAT00044.spu,JUN28MAT00045.spu,JUN28MAT00046.spu,JUN28MAT00047.spu,JUN28MAT00048.spu,JUN28MAT00049.spu,JUN28MAT00050.spu,JUN28MAT00051.spu,JUN28MAT00052.spu,JUN28MAT00053.spu,JUN28MAT00054.spu,JUN28MAT00055.spu,JUN28MAT00056.spu,JUN28MAT00057.spu,JUN28MAT00058.spu,JUN28MAT00059.spu,JUN28MAT00060.spu,JUN28MAT00061.spu,JUN28MAT00062.spu,JUN28MAT00063.spu,JUN28MAT00064.spu,JUN28MAT00065.spu,JUN28MAT00066.spu,JUN28MAT00067.spu,JUN28MAT00068.spu,JUN28MAT00069.spu,JUN28MAT00070.spu,JUN28MAT00071.spu,JUN28MAT00072.spu,JUN28MAT00073.spu,JUN28MAT00074.spu,JUN28MAT00075.spu,JUN28MAT00076.spu,JUN28MAT00077.spu,JUN28MAT00078.spu,JUN28MAT00079.spu,JUN28MAT00080.spu,JUN28MAT00081.spu,JUN28MAT00082.spu,JUN28MAT00083.spu,JUN28MAT00084.spu
 316 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 
 317 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 
 318 , 0 , 1 , 1 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 0 , 1 , 1 , 0 , 1 
 319 , 0 , 1 , 1 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 0 , 1 , 1 , 0 , 1 
 320 , 0 , 1 , 1 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 0 , 1 , 1 , 0 , 1 
 321 , 0 , 1 , 1 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 0 , 1 , 1 , 0 , 1 
 322 , 0 , 0 , 0.887113 , 0 , 0.887113 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.887113 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.887113 , 0.887113 , 0 , 0 , 0 , 0 , 0.887113 , 0.887113 , 0.887113 , 0 , 0 , 0 , 0.887113 , 0 , 0 , 0.887113 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.887113 , 0 , 0 
 323 , 0 , 0 , 1.514465 , 0 , 1.514465 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.514465 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.514465 , 1.514465 , 0 , 0 , 0 , 0 , 1.514465 , 1.514465 , 1.514465 , 0 , 0 , 0 , 1.514465 , 0 , 0 , 1.514465 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.514465 , 0 , 0 
 324 , 0 , 0 , 1.885026 , 0 , 1.885026 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.885026 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.885026 , 1.885026 , 0 , 0 , 0 , 0 , 1.885026 , 1.885026 , 1.885026 , 0 , 0 , 0 , 1.885026 , 0 , 0 , 1.885026 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.885026 , 0 , 0 
 325 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000028 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 326 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00012 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 327 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000164 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000172 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 329 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0011 , 0 , 0 , 0 , 0.000404 , 0 , 0 , 0.00113 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 330 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002518 , 0 , 0 , 0 , 0.000826 , 0 , 0 , 0.002396 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 331 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003965 , 0 , 0 , 0 , 0.001161 , 0 , 0 , 0.003838 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 332 , 0 , 0 , 0 , 0 , 0 , 0.000033 , 0.000077 , 0 , 0 , 0 , 0.000062 , 0.00559 , 0.000193 , 0 , 0 , 0.001688 , 0 , 0.000566 , 0.005527 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000852 , 0 , 0 , 0 , 0 , 0 , 0.000046 , 0 , 0 , 0 , 0 , 0.000095 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000212 , 0.000204 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000583 , 0 , 0 , 0 , 0 
 333 , 0 , 0 , 0 , 0 , 0 , 0.000083 , 0.000184 , 0 , 0 , 0 , 0.000108 , 0.007049 , 0.000513 , 0 , 0 , 0.002303 , 0 , 0.001531 , 0.007107 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002183 , 0 , 0 , 0 , 0 , 0 , 0.000113 , 0 , 0 , 0 , 0 , 0.00024 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000459 , 0.00054 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001432 , 0 , 0 , 0 , 0 
 334 , 0 , 0 , 0 , 0 , 0 , 0.000125 , 0.000266 , 0 , 0 , 0 , 0.00013 , 0.008162 , 0.000809 , 0 , 0 , 0.002809 , 0 , 0.002452 , 0.008415 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003336 , 0 , 0 , 0 , 0 , 0 , 0.000166 , 0 , 0 , 0 , 0 , 0.000365 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000621 , 0.00085 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002117 , 0 , 0 , 0 , 0 
 335 , 0 , 0 , 0.000223 , 0.000094 , 0 , 0.000406 , 0.000607 , 0.000167 , 0 , 0.000098 , 0.000302 , 0.008632 , 0.001189 , 0.000192 , 0.000213 , 0.00334 , 0.000149 , 0.003394 , 0.009325 , 0.000029 , 0.000073 , 0.000023 , 0 , 0 , 0.000022 , 0.000047 , 0 , 0 , 0 , 0 , 0 , 0.000179 , 0 , 0 , 0 , 0 , 0 , 0.000088 , 0.000132 , 0.004455 , 0 , 0 , 0 , 0 , 0.000128 , 0.000371 , 0 , 0 , 0 , 0 , 0.000882 , 0 , 0 , 0 , 0 , 0.00031 , 0 , 0.000996 , 0.001311 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000017 , 0.0001 , 0.000058 , 0.00001 , 0 , 0.002794 , 0 , 0.000223 , 0.000121 , 0 
 336 , 0 , 0 , 0.000952 , 0.000409 , 0 , 0.001529 , 0.00198 , 0.000864 , 0 , 0.000557 , 0.001112 , 0.008061 , 0.001925 , 0.000981 , 0.001024 , 0.004191 , 0.000784 , 0.004532 , 0.009439 , 0.000172 , 0.000442 , 0.000124 , 0 , 0 , 0.000127 , 0.000253 , 0 , 0 , 0 , 0 , 0 , 0.000915 , 0 , 0 , 0 , 0 , 0 , 0.00048 , 0.000751 , 0.005824 , 0 , 0 , 0 , 0 , 0.000712 , 0.001119 , 0 , 0 , 0 , 0 , 0.002923 , 0 , 0 , 0 , 0 , 0.001651 , 0 , 0.002118 , 0.002333 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000101 , 0.000581 , 0.000306 , 0.000055 , 0 , 0.00379 , 0 , 0.001072 , 0.000649 , 0 
 337 , 0 , 0 , 0.001354 , 0.000586 , 0 , 0.002442 , 0.003224 , 0.001385 , 0 , 0.000959 , 0.001917 , 0.007686 , 0.002549 , 0.001557 , 0.001559 , 0.004936 , 0.001269 , 0.005502 , 0.00946 , 0.000313 , 0.00081 , 0.000204 , 0 , 0 , 0.000218 , 0.000418 , 0 , 0 , 0 , 0 , 0 , 0.001453 , 0 , 0 , 0 , 0 , 0 , 0.0008 , 0.001295 , 0.00688 , 0 , 0 , 0 , 0 , 0.001203 , 0.001717 , 0 , 0 , 0 , 0 , 0.004747 , 0 , 0 , 0 , 0 , 0.002703 , 0 , 0.002903 , 0.003129 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000178 , 0.001024 , 0.000496 , 0.000091 , 0 , 0.004641 , 0 , 0.001631 , 0.001068 , 0 
 338 , 0 , 0 , 0.001601 , 0.000697 , 0 , 0.003181 , 0.00433 , 0.00178 , 0 , 0.001306 , 0.002699 , 0.007398 , 0.003073 , 0.001987 , 0.001928 , 0.005579 , 0.001643 , 0.006319 , 0.00942 , 0.000448 , 0.001168 , 0.000266 , 0 , 0 , 0.000295 , 0.00055 , 0 , 0 , 0 , 0 , 0 , 0.001853 , 0 , 0 , 0 , 0 , 0 , 0.001059 , 0.001767 , 0.007692 , 0 , 0 , 0 , 0 , 0.001611 , 0.002195 , 0 , 0 , 0 , 0 , 0.006349 , 0 , 0 , 0 , 0 , 0.00353 , 0 , 0.003467 , 0.003749 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000247 , 0.001423 , 0.000643 , 0.00012 , 0 , 0.005357 , 0 , 0.002018 , 0.0014 , 0 
 339 , 0 , 0.000453 , 0.002402 , 0.001708 , 0.000755 , 0.003886 , 0.004506 , 0.002684 , 0.000427 , 0.002162 , 0.003872 , 0.008911 , 0.004384 , 0.003225 , 0.002828 , 0.006869 , 0.002733 , 0.007766 , 0.011328 , 0.001339 , 0.002456 , 0.000897 , 0.00074 , 0 , 0.001133 , 0.001632 , 0.000397 , 0.000446 , 0.000529 , 0.000391 , 0.000248 , 0.002481 , 0 , 0.000385 , 0.000239 , 0.000046 , 0.000282 , 0.002195 , 0.002581 , 0.0099 , 0.00045 , 0.000163 , 0 , 0 , 0.00262 , 0.003546 , 0.00055 , 0.000861 , 0.000319 , 0.000227 , 0.00788 , 0.000597 , 0.000141 , 0.000512 , 0 , 0.004885 , 0.000545 , 0.004957 , 0.00525 , 0 , 0 , 0.000418 , 0 , 0 , 0.00019 , 0.000918 , 0.002332 , 0.001529 , 0.000628 , 0.000236 , 0.006392 , 0.000307 , 0.002855 , 0.00215 , 0.000488 
