NANT_00009_NANT_REF.spu,NANT_00008_NANT_REF.spu,NANT_00007_NANT_REF.spu,NANT_00006_NANT_REF.spu,NANT_00005_NANT_REF.spu,
Wavelength,NANT_00010_B3_CT.spu,NANT_00011_B3_CT.spu,NANT_00012_B3_CT.spu,NANT_00013_B3_CT.spu,NANT_00014_B3_CT.spu,NANT_00015_B3_CT-old.spu,NANT_00016_B3_CT-old.spu,NANT_00017_B3_CT-old.spu,NANT_00018_B3_CT-old.spu,NANT_00019_B3_CT-old.spu,NANT_00020_B3_N.spu,NANT_00021_B3_N.spu,NANT_00022_B3_N.spu,NANT_00023_B3_N.spu,NANT_00024_B3_N.spu,NANT_00025_B3_N-old.spu,NANT_00026_B3_N-old.spu,NANT_00027_B3_N-old.spu,NANT_00028_B3_N-old.spu,NANT_00029_B3_N-old.spu,NANT_00030_B3_NP.spu,NANT_00031_B3_NP.spu,NANT_00032_B3_NP.spu,NANT_00033_B3_NP.spu,NANT_00034_B3_NP.spu,NANT_00035_B3_NP-old.spu,NANT_00036_B3_NP-old.spu,NANT_00037_B3_NP-old.spu,NANT_00038_B3_NP-old.spu,NANT_00039_B3_NP-old.spu,NANT_00040_B3_P.spu,NANT_00041_B3_P.spu,NANT_00042_B3_P.spu,NANT_00043_B3_P.spu,NANT_00044_B3_P.spu,NANT_00045_B3_P-old.spu,NANT_00046_B3_P-old.spu,NANT_00047_B3_P-old.spu,NANT_00048_B3_P-old.spu,NANT_00049_B3_P-old.spu,NANT_00050_B2_P.spu,NANT_00051_B2_P.spu,NANT_00052_B2_P.spu,NANT_00053_B2_P.spu,NANT_00054_B2_P.spu,NANT_00055_B2_NP.spu,NANT_00056_B2_NP.spu,NANT_00057_B2_NP.spu,NANT_00058_B2_NP.spu,NANT_00059_B2_NP.spu,NANT_00060_B2_CT.spu,NANT_00061_B2_CT.spu,NANT_00062_B2_CT.spu,NANT_00063_B2_CT.spu,NANT_00064_B2_CT.spu,NANT_00065_B2_N.spu,NANT_00066_B2_N.spu,NANT_00067_B2_N.spu,NANT_00068_B2_N.spu,NANT_00069_B2_N.spu,NANT_00070_B1_P.spu,NANT_00071_B1_P.spu,NANT_00072_B1_P.spu,NANT_00073_B1_P.spu,NANT_00074_B1_P.spu,NANT_00075_B1_CT.spu,NANT_00076_B1_CT.spu,NANT_00077_B1_CT.spu,NANT_00078_B1_CT.spu,NANT_00079_B1_CT.spu,NANT_00080_B1_NP.spu,NANT_00081_B1_NP.spu,NANT_00082_B1_NP.spu,NANT_00083_B1_NP.spu,NANT_00084_B1_NP.spu,NANT_00085_B1_N.spu,NANT_00086_B1_N.spu,NANT_00087_B1_N.spu,NANT_00088_B1_N.spu,NANT_00089_B1_N.spu
 316 , 0.086518 , 0.078112 , 0.073508 , 0.076909 , 0.066869 , 0.081058 , 0.077845 , 0.081814 , 0.081241 , 0.070044 , 0.089547 , 0.089948 , 0.105382 , 0.093863 , 0.077652 , 0.072643 , 0.073295 , 0.102691 , 0.094695 , 0.077498 , 0.100573 , 0.08824 , 0.089497 , 0.085369 , 0.061772 , 0.079215 , 0.090466 , 0.101003 , 0.07962 , 0.077832 , 0.07614 , 0.07995 , 0.052129 , 0.072593 , 0.066907 , 0.085315 , 0.07759 , 0.08811 , 0.088574 , 0.078459 , 0.097306 , 0.081187 , 0.088733 , 0.085415 , 0.074327 , 0.112773 , 0.092593 , 0.102136 , 0.108064 , 0.105006 , 0.085511 , 0.098229 , 0.076595 , 0.091022 , 0.079157 , 0.104463 , 0.099671 , 0.093729 , 0.107438 , 0.099387 , 0.104463 , 0.102992 , 0.135393 , 0.107605 , 0.105244 , 0.133149 , 0.131398 , 0.12501 , 0.129853 , 0.114352 , 0.124592 , 0.152088 , 0.12989 , 0.139215 , 0.132831 , 0.132338 , 0.127956 , 0.120109 , 0.112175 , 0.124204 
 317 , 0.082659 , 0.078228 , 0.076523 , 0.079914 , 0.071721 , 0.083665 , 0.079729 , 0.082984 , 0.079332 , 0.075309 , 0.090013 , 0.088153 , 0.100954 , 0.094338 , 0.083752 , 0.073317 , 0.07647 , 0.100686 , 0.096497 , 0.08165 , 0.10041 , 0.091037 , 0.09078 , 0.091487 , 0.061653 , 0.075759 , 0.088338 , 0.098618 , 0.081446 , 0.076126 , 0.077162 , 0.079306 , 0.051543 , 0.074364 , 0.067385 , 0.089892 , 0.080901 , 0.090519 , 0.091295 , 0.07895 , 0.095306 , 0.082251 , 0.088455 , 0.09185 , 0.075495 , 0.110433 , 0.090746 , 0.102542 , 0.103843 , 0.107707 , 0.088024 , 0.098304 , 0.075166 , 0.089087 , 0.081449 , 0.108796 , 0.099801 , 0.0943 , 0.10275 , 0.097408 , 0.102024 , 0.100319 , 0.133053 , 0.104176 , 0.099548 , 0.12942 , 0.129934 , 0.124751 , 0.12877 , 0.113113 , 0.118278 , 0.140063 , 0.125034 , 0.135575 , 0.132327 , 0.12697 , 0.123968 , 0.1181 , 0.107987 , 0.119412 
 318 , 0.07908 , 0.077805 , 0.077475 , 0.081345 , 0.074376 , 0.084675 , 0.080126 , 0.083191 , 0.07743 , 0.078201 , 0.089672 , 0.085967 , 0.096938 , 0.093884 , 0.08721 , 0.072802 , 0.07753 , 0.098044 , 0.097159 , 0.083639 , 0.098905 , 0.092145 , 0.09065 , 0.094989 , 0.060949 , 0.072581 , 0.085805 , 0.09586 , 0.081535 , 0.07389 , 0.076462 , 0.078053 , 0.050642 , 0.074775 , 0.06692 , 0.0922 , 0.082203 , 0.090898 , 0.091935 , 0.078742 , 0.092716 , 0.0819 , 0.087145 , 0.095578 , 0.075354 , 0.107231 , 0.088271 , 0.101443 , 0.099507 , 0.108443 , 0.088763 , 0.097272 , 0.073126 , 0.086652 , 0.081952 , 0.110599 , 0.098798 , 0.093694 , 0.098088 , 0.094803 , 0.099263 , 0.097166 , 0.129484 , 0.10054 , 0.094187 , 0.125338 , 0.127711 , 0.123158 , 0.126533 , 0.111098 , 0.112104 , 0.129498 , 0.119708 , 0.131313 , 0.130138 , 0.121577 , 0.119446 , 0.11531 , 0.103509 , 0.113995 
 319 , 0.072854 , 0.073858 , 0.06719 , 0.074449 , 0.067119 , 0.077691 , 0.071703 , 0.07793 , 0.073494 , 0.070306 , 0.083414 , 0.079433 , 0.090725 , 0.087241 , 0.078426 , 0.064572 , 0.066862 , 0.088116 , 0.092179 , 0.075769 , 0.086898 , 0.083062 , 0.081776 , 0.085823 , 0.05557 , 0.067107 , 0.077667 , 0.08763 , 0.07117 , 0.065726 , 0.063981 , 0.071522 , 0.046716 , 0.066724 , 0.060454 , 0.083735 , 0.072854 , 0.079972 , 0.081344 , 0.074691 , 0.083594 , 0.072572 , 0.078092 , 0.086806 , 0.066694 , 0.095364 , 0.07898 , 0.089696 , 0.089705 , 0.097253 , 0.080024 , 0.087425 , 0.064869 , 0.078331 , 0.072018 , 0.099475 , 0.089522 , 0.085003 , 0.088306 , 0.084761 , 0.090958 , 0.08721 , 0.114218 , 0.09119 , 0.084384 , 0.113712 , 0.118333 , 0.111505 , 0.115005 , 0.101741 , 0.099221 , 0.114799 , 0.104723 , 0.117751 , 0.113651 , 0.109083 , 0.106303 , 0.103995 , 0.091696 , 0.097859 
 320 , 0.067946 , 0.070774 , 0.059125 , 0.069043 , 0.061414 , 0.072175 , 0.065088 , 0.073813 , 0.070396 , 0.064099 , 0.078491 , 0.074249 , 0.085838 , 0.082021 , 0.071523 , 0.058117 , 0.05852 , 0.08032 , 0.088252 , 0.069592 , 0.077478 , 0.075925 , 0.074782 , 0.078632 , 0.051344 , 0.062831 , 0.07128 , 0.081132 , 0.063052 , 0.059315 , 0.054222 , 0.066386 , 0.043636 , 0.060401 , 0.05536 , 0.077077 , 0.065521 , 0.071396 , 0.073034 , 0.071575 , 0.076439 , 0.065245 , 0.070993 , 0.079944 , 0.059895 , 0.086045 , 0.07168 , 0.080483 , 0.081982 , 0.088465 , 0.07315 , 0.079693 , 0.05839 , 0.071785 , 0.064223 , 0.090751 , 0.082239 , 0.078179 , 0.080618 , 0.076884 , 0.084454 , 0.079397 , 0.102247 , 0.083858 , 0.076685 , 0.104589 , 0.110969 , 0.102343 , 0.105925 , 0.094378 , 0.089114 , 0.10326 , 0.09298 , 0.107097 , 0.100739 , 0.099294 , 0.095985 , 0.095115 , 0.082421 , 0.085192 
 321 , 0.063978 , 0.068308 , 0.052634 , 0.064694 , 0.056813 , 0.067706 , 0.059761 , 0.070506 , 0.067889 , 0.059086 , 0.074515 , 0.070024 , 0.081887 , 0.077802 , 0.065951 , 0.052911 , 0.05182 , 0.074031 , 0.08507 , 0.064618 , 0.069891 , 0.07017 , 0.069124 , 0.072837 , 0.047934 , 0.059401 , 0.066135 , 0.075859 , 0.056528 , 0.054151 , 0.046391 , 0.062236 , 0.041154 , 0.055303 , 0.051243 , 0.071693 , 0.059613 , 0.06449 , 0.066345 , 0.069117 , 0.070674 , 0.059338 , 0.065276 , 0.074435 , 0.054411 , 0.078535 , 0.065793 , 0.073061 , 0.07573 , 0.081383 , 0.067595 , 0.073462 , 0.053168 , 0.066496 , 0.057947 , 0.083725 , 0.076368 , 0.072681 , 0.07441 , 0.070538 , 0.079218 , 0.073099 , 0.092604 , 0.077956 , 0.070475 , 0.097231 , 0.105031 , 0.09495 , 0.098584 , 0.088433 , 0.080967 , 0.093962 , 0.083533 , 0.098509 , 0.090358 , 0.091419 , 0.087669 , 0.087956 , 0.074951 , 0.074982 
 322 , 0.061594 , 0.065417 , 0.050656 , 0.064334 , 0.056639 , 0.067803 , 0.060251 , 0.070786 , 0.068311 , 0.060591 , 0.073331 , 0.070003 , 0.081379 , 0.077836 , 0.066538 , 0.05227 , 0.051545 , 0.072675 , 0.08454 , 0.06528 , 0.069204 , 0.069766 , 0.068562 , 0.070166 , 0.049882 , 0.058206 , 0.065278 , 0.074636 , 0.05659 , 0.052691 , 0.047637 , 0.063168 , 0.041457 , 0.055206 , 0.051907 , 0.072724 , 0.059217 , 0.064184 , 0.066979 , 0.066914 , 0.069819 , 0.057409 , 0.064188 , 0.071395 , 0.053304 , 0.076406 , 0.06298 , 0.071964 , 0.073024 , 0.078691 , 0.064869 , 0.071885 , 0.052171 , 0.064313 , 0.055202 , 0.081825 , 0.073823 , 0.069347 , 0.071865 , 0.066731 , 0.074343 , 0.069647 , 0.089813 , 0.075061 , 0.067151 , 0.094855 , 0.102056 , 0.090574 , 0.094688 , 0.084475 , 0.075567 , 0.088669 , 0.080986 , 0.094728 , 0.08571 , 0.086547 , 0.084952 , 0.083636 , 0.071451 , 0.071939 
 323 , 0.059952 , 0.062897 , 0.050227 , 0.065112 , 0.057777 , 0.069145 , 0.062215 , 0.071976 , 0.06946 , 0.063553 , 0.073065 , 0.071239 , 0.081935 , 0.078986 , 0.068683 , 0.053006 , 0.053088 , 0.072826 , 0.084824 , 0.067395 , 0.070423 , 0.070768 , 0.069466 , 0.068748 , 0.05297 , 0.057833 , 0.065698 , 0.074598 , 0.058457 , 0.052492 , 0.051174 , 0.065301 , 0.042436 , 0.056463 , 0.053786 , 0.075425 , 0.060445 , 0.065778 , 0.069454 , 0.065222 , 0.070433 , 0.056894 , 0.064572 , 0.069552 , 0.053535 , 0.076163 , 0.061509 , 0.072764 , 0.071735 , 0.077598 , 0.063383 , 0.071807 , 0.05247 , 0.063346 , 0.053905 , 0.081648 , 0.072618 , 0.067193 , 0.070794 , 0.064257 , 0.070399 , 0.067594 , 0.089353 , 0.073529 , 0.065172 , 0.094174 , 0.100454 , 0.087796 , 0.092372 , 0.081767 , 0.071851 , 0.085412 , 0.080768 , 0.092966 , 0.08344 , 0.08337 , 0.084275 , 0.080818 , 0.069658 , 0.071386 
 324 , 0.05853 , 0.060881 , 0.049886 , 0.065706 , 0.058799 , 0.070263 , 0.063726 , 0.072887 , 0.070382 , 0.065845 , 0.072798 , 0.072405 , 0.082436 , 0.079857 , 0.070375 , 0.053661 , 0.054378 , 0.072867 , 0.085056 , 0.069108 , 0.071291 , 0.071421 , 0.070224 , 0.067548 , 0.055433 , 0.057542 , 0.065985 , 0.074442 , 0.060007 , 0.05237 , 0.054034 , 0.066968 , 0.043168 , 0.057445 , 0.055339 , 0.077711 , 0.061532 , 0.067117 , 0.071396 , 0.063962 , 0.0709 , 0.056482 , 0.064894 , 0.068071 , 0.053645 , 0.076123 , 0.060434 , 0.07342 , 0.07079 , 0.076667 , 0.062278 , 0.071702 , 0.052702 , 0.062617 , 0.052936 , 0.081506 , 0.071673 , 0.065538 , 0.070052 , 0.062257 , 0.067262 , 0.066043 , 0.089035 , 0.072394 , 0.063623 , 0.093551 , 0.099288 , 0.085691 , 0.090564 , 0.079714 , 0.068992 , 0.082929 , 0.080677 , 0.09171 , 0.081766 , 0.080863 , 0.083866 , 0.078595 , 0.068313 , 0.07099 
 325 , 0.056965 , 0.059519 , 0.049652 , 0.064794 , 0.058472 , 0.069749 , 0.063134 , 0.072335 , 0.070197 , 0.065845 , 0.071409 , 0.071741 , 0.081272 , 0.079457 , 0.070112 , 0.053523 , 0.054444 , 0.07163 , 0.084708 , 0.069676 , 0.070335 , 0.070414 , 0.069713 , 0.066417 , 0.055162 , 0.056324 , 0.064236 , 0.072488 , 0.059444 , 0.050974 , 0.054708 , 0.066745 , 0.042692 , 0.056365 , 0.054244 , 0.077027 , 0.060964 , 0.066575 , 0.070791 , 0.062291 , 0.070177 , 0.055028 , 0.064125 , 0.065922 , 0.052749 , 0.074345 , 0.058592 , 0.072023 , 0.068847 , 0.074198 , 0.060541 , 0.070365 , 0.052017 , 0.061635 , 0.051361 , 0.080405 , 0.069389 , 0.063954 , 0.068031 , 0.059639 , 0.064809 , 0.063809 , 0.08759 , 0.070218 , 0.061715 , 0.091571 , 0.097454 , 0.08277 , 0.087732 , 0.077451 , 0.065599 , 0.079524 , 0.078592 , 0.08906 , 0.079136 , 0.077427 , 0.082612 , 0.0765 , 0.065607 , 0.069074 
 326 , 0.055008 , 0.058877 , 0.049532 , 0.061663 , 0.056144 , 0.066861 , 0.059572 , 0.069688 , 0.068442 , 0.062658 , 0.068304 , 0.068304 , 0.077617 , 0.07725 , 0.067084 , 0.052212 , 0.052736 , 0.06848 , 0.08349 , 0.06869 , 0.066777 , 0.067018 , 0.067351 , 0.065251 , 0.051 , 0.053637 , 0.059471 , 0.067804 , 0.055817 , 0.047615 , 0.052352 , 0.063868 , 0.040486 , 0.052318 , 0.049296 , 0.072042 , 0.057947 , 0.063271 , 0.066522 , 0.059803 , 0.067709 , 0.051914 , 0.061716 , 0.062562 , 0.050355 , 0.069805 , 0.055407 , 0.06753 , 0.065206 , 0.069275 , 0.057627 , 0.067178 , 0.049946 , 0.060131 , 0.048718 , 0.077815 , 0.064943 , 0.062228 , 0.063897 , 0.05583 , 0.062954 , 0.060281 , 0.084324 , 0.066259 , 0.059037 , 0.087439 , 0.094388 , 0.07828 , 0.083048 , 0.074552 , 0.061007 , 0.074359 , 0.073404 , 0.084024 , 0.074749 , 0.072232 , 0.079879 , 0.074281 , 0.060645 , 0.064761 
