DHT_00004_DHT_REF.spu,DHT_00003_DHT_REF.spu,DHT_00002_DHT_REF.spu,
Wavelength,DHT_00005_B1_NP.spu,DHT_00006_B1_NP.spu,DHT_00007_B1_NP.spu,DHT_00008_B1_NP.spu,DHT_00009_B1_NP.spu,DHT_00010_B1_P.spu,DHT_00011_B1_P.spu,DHT_00012_B1_P.spu,DHT_00013_B1_P.spu,DHT_00014_B1_P.spu,DHT_00015_B1_CT2.spu,DHT_00016_B1_CT2.spu,DHT_00017_B1_CT2.spu,DHT_00018_B1_CT2.spu,DHT_00019_B1_CT2.spu,DHT_00020_B1_CT1.spu,DHT_00021_B1_CT1.spu,DHT_00022_B1_CT1.spu,DHT_00023_B1_CT1.spu,DHT_00024_B1_CT1.spu,DHT_00025_B1_N.spu,DHT_00026_B1_N.spu,DHT_00027_B1_N.spu,DHT_00028_B1_N.spu,DHT_00029_B1_N.spu,DHT_00030_B2_EX3.spu,DHT_00031_B2_EX3.spu,DHT_00032_B2_EX3.spu,DHT_00033_B2_EX3.spu,DHT_00034_B2_EX3.spu,DHT_00035_B2_NP.spu,DHT_00036_B2_NP.spu,DHT_00037_B2_NP.spu,DHT_00038_B2_NP.spu,DHT_00039_B2_NP.spu,DHT_00040_B2_CT2.spu,DHT_00041_B2_CT2.spu,DHT_00042_B2_CT2.spu,DHT_00043_B2_CT2.spu,DHT_00044_B2_CT2.spu,DHT_00045_B2_CT1.spu,DHT_00046_B2_CT1.spu,DHT_00047_B2_CT1.spu,DHT_00048_B2_CT1.spu,DHT_00049_B2_CT1.spu,DHT_00050_B2_N.spu,DHT_00051_B2_N.spu,DHT_00052_B2_N.spu,DHT_00053_B2_N.spu,DHT_00054_B2_N.spu,DHT_00055_B2_P.spu,DHT_00056_B2_P.spu,DHT_00057_B2_P.spu,DHT_00058_B2_P.spu,DHT_00059_B2_P.spu,DHT_00060_B3_NP.spu,DHT_00061_B3_NP.spu,DHT_00062_B3_NP.spu,DHT_00063_B3_NP.spu,DHT_00064_B3_NP.spu,DHT_00065_B3_CT2.spu,DHT_00066_B3_CT2.spu,DHT_00067_B3_CT2.spu,DHT_00068_B3_CT2.spu,DHT_00069_B3_CT2.spu,DHT_00070_B3_CT1.spu,DHT_00071_B3_CT1.spu,DHT_00072_B3_CT1.spu,DHT_00073_B3_CT1.spu,DHT_00074_B3_CT1.spu,DHT_00075_B3_N.spu,DHT_00076_B3_N.spu,DHT_00077_B3_N.spu,DHT_00078_B3_N.spu,DHT_00079_B3_N.spu,DHT_00080_B3_P.spu,DHT_00081_B3_P.spu,DHT_00082_B3_P.spu,DHT_00083_B3_P.spu,DHT_00084_B3_P.spu
 316 , 0.047936 , 0.093747 , 0.043344 , 0.066546 , 0.082665 , 0.072473 , 0.066707 , 0.046723 , 0.058457 , 0.077335 , 0.05998 , 0.063625 , 0.054219 , 0.054277 , 0.043595 , 0.048862 , 0.04227 , 0.045528 , 0.046094 , 0.055154 , 0.052318 , 0.068855 , 0.070329 , 0.044422 , 0.05372 , 0.032585 , 0.043681 , 0.051006 , 0.025871 , 0.037843 , 0.063764 , 0.071758 , 0.059935 , 0.074801 , 0.043766 , 0.046579 , 0.040719 , 0.027584 , 0.050502 , 0.062905 , 0.040517 , 0.052983 , 0.030949 , 0.036486 , 0.049383 , 0.037843 , 0.02841 , 0.028797 , 0.058681 , 0.072158 , 0.052826 , 0.058708 , 0.044845 , 0.060987 , 0.066343 , 0.052062 , 0.035246 , 0.043267 , 0.054601 , 0.036495 , 0.073053 , 0.064559 , 0.067844 , 0.041838 , 0.07268 , 0.076252 , 0.068262 , 0.066222 , 0.047846 , 0.070096 , 0.022182 , 0.048359 , 0.055796 , 0.061414 , 0.042247 , 0.077106 , 0.075066 , 0.068649 , 0.077951 , 0.067957 
 317 , 0.047411 , 0.088103 , 0.045965 , 0.064787 , 0.086337 , 0.073717 , 0.070606 , 0.047998 , 0.060077 , 0.077137 , 0.062326 , 0.063159 , 0.048635 , 0.055953 , 0.046086 , 0.048914 , 0.041396 , 0.046636 , 0.044628 , 0.051592 , 0.0538 , 0.073442 , 0.076133 , 0.042333 , 0.05275 , 0.032396 , 0.043825 , 0.049235 , 0.025203 , 0.040572 , 0.065479 , 0.06931 , 0.059668 , 0.07373 , 0.04158 , 0.045057 , 0.044578 , 0.027627 , 0.051059 , 0.064325 , 0.044462 , 0.053454 , 0.026973 , 0.036357 , 0.049435 , 0.040572 , 0.026169 , 0.032783 , 0.061368 , 0.075825 , 0.049751 , 0.064025 , 0.045807 , 0.059777 , 0.064342 , 0.057748 , 0.036998 , 0.04315 , 0.05477 , 0.038647 , 0.073409 , 0.0631 , 0.065141 , 0.040742 , 0.071993 , 0.076716 , 0.067407 , 0.065008 , 0.047902 , 0.066928 , 0.025365 , 0.050434 , 0.059764 , 0.061868 , 0.044687 , 0.074304 , 0.077957 , 0.067578 , 0.078786 , 0.066145 
 318 , 0.046666 , 0.08352 , 0.047442 , 0.063091 , 0.088245 , 0.074085 , 0.073155 , 0.048535 , 0.060648 , 0.07656 , 0.063628 , 0.062211 , 0.044308 , 0.056815 , 0.047535 , 0.048592 , 0.040351 , 0.047075 , 0.043223 , 0.048515 , 0.054699 , 0.076286 , 0.080424 , 0.040733 , 0.051993 , 0.032129 , 0.04369 , 0.047654 , 0.024895 , 0.042594 , 0.06638 , 0.067172 , 0.058984 , 0.072464 , 0.04 , 0.043678 , 0.046724 , 0.027639 , 0.051113 , 0.064774 , 0.046956 , 0.05353 , 0.024204 , 0.036224 , 0.049036 , 0.042161 , 0.024686 , 0.035379 , 0.063207 , 0.078289 , 0.047129 , 0.067253 , 0.046018 , 0.058363 , 0.062254 , 0.061532 , 0.038058 , 0.042412 , 0.054699 , 0.040305 , 0.072723 , 0.061551 , 0.062671 , 0.03937 , 0.070905 , 0.076737 , 0.066527 , 0.063562 , 0.047643 , 0.063786 , 0.027419 , 0.051341 , 0.062485 , 0.061833 , 0.046176 , 0.07192 , 0.079899 , 0.066411 , 0.078891 , 0.064728 
 319 , 0.043475 , 0.081131 , 0.042773 , 0.060121 , 0.080081 , 0.069075 , 0.06882 , 0.044664 , 0.05492 , 0.072995 , 0.0593 , 0.056897 , 0.043945 , 0.053182 , 0.043754 , 0.04538 , 0.037152 , 0.043461 , 0.040877 , 0.045424 , 0.052909 , 0.07047 , 0.078537 , 0.040731 , 0.051825 , 0.031102 , 0.04144 , 0.045673 , 0.026671 , 0.042019 , 0.063131 , 0.06489 , 0.054835 , 0.068598 , 0.040888 , 0.041941 , 0.04009 , 0.027462 , 0.047926 , 0.059269 , 0.042336 , 0.050956 , 0.026415 , 0.035707 , 0.04537 , 0.03811 , 0.026773 , 0.031058 , 0.061236 , 0.075572 , 0.04491 , 0.059798 , 0.041498 , 0.054099 , 0.057507 , 0.05595 , 0.035594 , 0.036999 , 0.052909 , 0.040209 , 0.064576 , 0.057906 , 0.059505 , 0.03466 , 0.066321 , 0.073745 , 0.06446 , 0.059191 , 0.044773 , 0.057695 , 0.024023 , 0.045779 , 0.059726 , 0.058632 , 0.042888 , 0.069917 , 0.076789 , 0.063349 , 0.074352 , 0.064546 
 320 , 0.041003 , 0.0792 , 0.039106 , 0.057734 , 0.07365 , 0.065138 , 0.065345 , 0.041617 , 0.050407 , 0.070128 , 0.055932 , 0.052738 , 0.043648 , 0.050343 , 0.040774 , 0.042814 , 0.03462 , 0.040624 , 0.039018 , 0.042967 , 0.051473 , 0.065852 , 0.076961 , 0.040692 , 0.051678 , 0.030264 , 0.039668 , 0.044091 , 0.027952 , 0.041678 , 0.060553 , 0.063058 , 0.051574 , 0.065529 , 0.04151 , 0.040518 , 0.034892 , 0.027345 , 0.045423 , 0.0549 , 0.038712 , 0.048932 , 0.028188 , 0.035273 , 0.04242 , 0.034934 , 0.028398 , 0.027674 , 0.059622 , 0.073393 , 0.043111 , 0.053947 , 0.037949 , 0.050737 , 0.053764 , 0.051562 , 0.03367 , 0.032766 , 0.051473 , 0.04005 , 0.058183 , 0.054998 , 0.056919 , 0.030964 , 0.062716 , 0.071451 , 0.062829 , 0.055694 , 0.0425 , 0.052902 , 0.021361 , 0.041409 , 0.057527 , 0.056152 , 0.040331 , 0.068262 , 0.074398 , 0.060938 , 0.070782 , 0.064267 
 321 , 0.039038 , 0.077595 , 0.036156 , 0.055764 , 0.068449 , 0.061958 , 0.062476 , 0.039149 , 0.04675 , 0.067757 , 0.053244 , 0.049395 , 0.043397 , 0.048066 , 0.038363 , 0.040708 , 0.032556 , 0.038338 , 0.037504 , 0.04096 , 0.050286 , 0.062083 , 0.075604 , 0.040625 , 0.051544 , 0.029557 , 0.038235 , 0.042793 , 0.028887 , 0.041503 , 0.058447 , 0.061546 , 0.048943 , 0.063024 , 0.041949 , 0.039318 , 0.030709 , 0.027275 , 0.0434 , 0.051344 , 0.035793 , 0.047293 , 0.029651 , 0.034899 , 0.039988 , 0.032373 , 0.029693 , 0.024949 , 0.058259 , 0.071597 , 0.041611 , 0.049231 , 0.035093 , 0.048016 , 0.050735 , 0.048019 , 0.032127 , 0.029363 , 0.050286 , 0.03985 , 0.053033 , 0.052612 , 0.05475 , 0.02799 , 0.059807 , 0.069645 , 0.061504 , 0.052817 , 0.040653 , 0.049027 , 0.01922 , 0.037887 , 0.055725 , 0.054188 , 0.038285 , 0.066857 , 0.072519 , 0.058987 , 0.067895 , 0.063924 
 322 , 0.034272 , 0.073313 , 0.031831 , 0.052214 , 0.063182 , 0.05848 , 0.060501 , 0.035493 , 0.044368 , 0.065041 , 0.049345 , 0.0462 , 0.041036 , 0.044108 , 0.036386 , 0.035725 , 0.02987 , 0.034951 , 0.03553 , 0.037493 , 0.04773 , 0.06056 , 0.073981 , 0.038855 , 0.048723 , 0.026263 , 0.036079 , 0.039283 , 0.027172 , 0.037468 , 0.055883 , 0.058607 , 0.045015 , 0.05925 , 0.040105 , 0.034104 , 0.027969 , 0.02525 , 0.0411 , 0.048092 , 0.03401 , 0.041776 , 0.027273 , 0.031249 , 0.036057 , 0.029959 , 0.028736 , 0.022604 , 0.053643 , 0.069787 , 0.038493 , 0.045485 , 0.032589 , 0.047478 , 0.048137 , 0.045374 , 0.030338 , 0.026964 , 0.047518 , 0.038786 , 0.051486 , 0.049857 , 0.052308 , 0.02478 , 0.057389 , 0.065361 , 0.056341 , 0.048694 , 0.036332 , 0.04855 , 0.017407 , 0.034705 , 0.051355 , 0.052363 , 0.034792 , 0.064256 , 0.069317 , 0.05493 , 0.064081 , 0.06234 
 323 , 0.02951 , 0.068924 , 0.027764 , 0.048754 , 0.05867 , 0.055448 , 0.05905 , 0.032067 , 0.042679 , 0.062637 , 0.045712 , 0.04353 , 0.038445 , 0.040304 , 0.034818 , 0.030664 , 0.027399 , 0.031764 , 0.033728 , 0.034131 , 0.045178 , 0.059884 , 0.07248 , 0.03687 , 0.045579 , 0.022745 , 0.034046 , 0.035685 , 0.024973 , 0.033028 , 0.053577 , 0.055699 , 0.041316 , 0.055681 , 0.037909 , 0.028547 , 0.026043 , 0.022998 , 0.039067 , 0.045389 , 0.032807 , 0.03601 , 0.024204 , 0.027241 , 0.032265 , 0.027951 , 0.027292 , 0.020712 , 0.048823 , 0.06823 , 0.035391 , 0.042552 , 0.030561 , 0.047656 , 0.046043 , 0.043364 , 0.028751 , 0.025189 , 0.044725 , 0.037629 , 0.051167 , 0.047395 , 0.050151 , 0.021998 , 0.055461 , 0.061045 , 0.050924 , 0.044816 , 0.031949 , 0.049094 , 0.015953 , 0.032082 , 0.046931 , 0.050842 , 0.031442 , 0.061708 , 0.066208 , 0.0509 , 0.060576 , 0.060642 
 324 , 0.025716 , 0.065393 , 0.024499 , 0.046 , 0.055044 , 0.053032 , 0.05789 , 0.029317 , 0.041326 , 0.060735 , 0.042784 , 0.041381 , 0.036361 , 0.037242 , 0.033549 , 0.026596 , 0.025425 , 0.029212 , 0.032293 , 0.031438 , 0.043148 , 0.059374 , 0.071222 , 0.035251 , 0.043033 , 0.019922 , 0.032408 , 0.032801 , 0.023214 , 0.029479 , 0.051732 , 0.053339 , 0.038348 , 0.052798 , 0.036169 , 0.024091 , 0.024489 , 0.021188 , 0.037426 , 0.043225 , 0.031844 , 0.031385 , 0.021744 , 0.024026 , 0.029222 , 0.026341 , 0.026105 , 0.019194 , 0.044951 , 0.066958 , 0.032898 , 0.04021 , 0.028957 , 0.047854 , 0.044367 , 0.041743 , 0.027467 , 0.023763 , 0.042477 , 0.036688 , 0.05094 , 0.045394 , 0.048455 , 0.019766 , 0.053897 , 0.057563 , 0.046577 , 0.041714 , 0.028428 , 0.049563 , 0.014783 , 0.029976 , 0.04338 , 0.049589 , 0.028753 , 0.059665 , 0.063636 , 0.04767 , 0.057737 , 0.059285 
 325 , 0.023944 , 0.062887 , 0.022256 , 0.04414 , 0.052198 , 0.051864 , 0.057334 , 0.028212 , 0.040017 , 0.059332 , 0.041337 , 0.040122 , 0.035418 , 0.035763 , 0.032627 , 0.024561 , 0.023497 , 0.02776 , 0.030963 , 0.029649 , 0.042198 , 0.059233 , 0.070224 , 0.034063 , 0.041402 , 0.018482 , 0.031286 , 0.030987 , 0.0219 , 0.027996 , 0.050596 , 0.052825 , 0.036844 , 0.051145 , 0.034804 , 0.022533 , 0.023715 , 0.020265 , 0.035306 , 0.041835 , 0.030641 , 0.028852 , 0.019918 , 0.022371 , 0.027642 , 0.025609 , 0.025339 , 0.018305 , 0.043782 , 0.066249 , 0.031727 , 0.038271 , 0.028328 , 0.047384 , 0.0431 , 0.040889 , 0.025856 , 0.022467 , 0.041013 , 0.036025 , 0.050647 , 0.043948 , 0.047494 , 0.019374 , 0.052731 , 0.055995 , 0.044166 , 0.039682 , 0.026826 , 0.049445 , 0.013772 , 0.028977 , 0.041472 , 0.048861 , 0.027526 , 0.057844 , 0.061925 , 0.045154 , 0.056174 , 0.058021 
 326 , 0.024755 , 0.061527 , 0.021218 , 0.043329 , 0.050107 , 0.052313 , 0.057556 , 0.0293 , 0.038621 , 0.058463 , 0.041798 , 0.039971 , 0.035977 , 0.036322 , 0.03208 , 0.025172 , 0.021429 , 0.027691 , 0.029618 , 0.028929 , 0.042663 , 0.059577 , 0.069503 , 0.033346 , 0.040857 , 0.018819 , 0.030764 , 0.030474 , 0.021064 , 0.029197 , 0.050323 , 0.054866 , 0.03722 , 0.051034 , 0.033813 , 0.024916 , 0.023946 , 0.020475 , 0.032296 , 0.041389 , 0.028951 , 0.028979 , 0.01876 , 0.022721 , 0.027947 , 0.026026 , 0.02508 , 0.018195 , 0.046296 , 0.066258 , 0.032283 , 0.036697 , 0.029004 , 0.045887 , 0.042263 , 0.041018 , 0.023597 , 0.021184 , 0.04048 , 0.035671 , 0.050202 , 0.043105 , 0.047451 , 0.02152 , 0.051989 , 0.056931 , 0.044149 , 0.038936 , 0.02778 , 0.048467 , 0.012848 , 0.029425 , 0.041646 , 0.048803 , 0.028199 , 0.056108 , 0.061241 , 0.04337 , 0.056223 , 0.056733 
