MAT_00009_MAT_REF.spu,MAT_00008_MAT_REF.spu,MAT_00007_MAT_REF.spu,MAT_00006_MAT_REF.spu,MAT_00005_MAT_REF.spu,
Wavelength,MAT_00010_B2_P.spu,MAT_00011_B2_P.spu,MAT_00012_B2_P.spu,MAT_00013_B2_P.spu,MAT_00014_B2_P.spu,MAT_00015_B2_CT2.spu,MAT_00016_B2_CT2.spu,MAT_00017_B2_CT2.spu,MAT_00018_B2_CT2.spu,MAT_00019_B2_CT2.spu,MAT_00020_B2_CT1.spu,MAT_00021_B2_CT1.spu,MAT_00022_B2_CT1.spu,MAT_00023_B2_CT1.spu,MAT_00024_B2_CT1.spu,MAT_00025_B2_N.spu,MAT_00026_B2_N.spu,MAT_00027_B2_N.spu,MAT_00028_B2_N.spu,MAT_00029_B2_N.spu,MAT_00030_B2_NP.spu,MAT_00031_B2_NP.spu,MAT_00032_B2_NP.spu,MAT_00033_B2_NP.spu,MAT_00034_B2_NP.spu,MAT_00035_B4_N.spu,MAT_00036_B4_N.spu,MAT_00037_B4_N.spu,MAT_00038_B4_N.spu,MAT_00039_B4_N.spu,MAT_00040_B4_P.spu,MAT_00041_B4_P.spu,MAT_00042_B4_P.spu,MAT_00043_B4_P.spu,MAT_00044_B4_P.spu,MAT_00045_B4_CT2.spu,MAT_00046_B4_CT2.spu,MAT_00047_B4_CT2.spu,MAT_00048_B4_CT2.spu,MAT_00049_B4_CT2.spu,MAT_00055_B4_CT1.spu,MAT_00056_B4_CT1.spu,MAT_00057_B4_CT1.spu,MAT_00058_B4_CT1.spu,MAT_00059_B4_CT1.spu,MAT_00060_B4_NP.spu,MAT_00061_B4_NP.spu,MAT_00062_B4_NP.spu,MAT_00063_B4_NP.spu,MAT_00064_B4_NP.spu,MAT_00065_B3_N.spu,MAT_00066_B3_N.spu,MAT_00067_B3_N.spu,MAT_00068_B3_N.spu,MAT_00069_B3_N.spu,MAT_00070_B3_CT2.spu,MAT_00071_B3_CT2.spu,MAT_00072_B3_CT2.spu,MAT_00073_B3_CT2.spu,MAT_00074_B3_CT2.spu,MAT_00075_B3_CT1.spu,MAT_00076_B3_CT1.spu,MAT_00077_B3_CT1.spu,MAT_00078_B3_CT1.spu,MAT_00079_B3_CT1.spu,MAT_00080_B3_NP.spu,MAT_00081_B3_NP.spu,MAT_00082_B3_NP.spu,MAT_00083_B3_NP.spu,MAT_00084_B3_NP.spu,MAT_00085_B3_P.spu,MAT_00086_B3_P.spu,MAT_00087_B3_P.spu,MAT_00088_B3_P.spu,MAT_00089_B3_P.spu,MAT_00090_B1_CT2.spu,MAT_00091_B1_CT2.spu,MAT_00092_B1_CT2.spu,MAT_00093_B1_CT2.spu,MAT_00094_B1_CT2.spu,MAT_00100_B1_NP.spu,MAT_00101_B1_NP.spu,MAT_00102_B1_NP.spu,MAT_00103_B1_NP.spu,MAT_00104_B1_NP.spu,MAT_00105_B1_N.spu,MAT_00106_B1_N.spu,MAT_00107_B1_N.spu,MAT_00108_B1_N.spu,MAT_00109_B1_N.spu,MAT_00110_B1_P.spu,MAT_00111_B1_P.spu,MAT_00112_B1_P.spu,MAT_00113_B1_P.spu,MAT_00114_B1_P.spu
 316 , 0.025425 , 0.047423 , 0.013511 , 0.019491 , 0.0194 , 0.019441 , 0.020442 , 0.044055 , 0.01044 , 0.037241 , 0.053588 , 0.022607 , 0.026598 , 0.01913 , 0.0401 , 0.010837 , 0.022467 , 0.019612 , 0 , 0.023626 , 0.021637 , 0.004992 , 0.035026 , 0.019238 , 0.009971 , 0 , 0 , 0.013795 , 0.002174 , 0 , 0.002124 , 0 , 0.002174 , 0.002124 , 0.009971 , 0.006408 , 0 , 0 , 0 , 0.0028 , 0 , 0 , 0 , 0 , 0.006395 , 0 , 0 , 0 , 0.016384 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002124 , 0 , 0 , 0 , 0 , 0.006192 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.004316 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 317 , 0.024467 , 0.04573 , 0.014913 , 0.023939 , 0.023753 , 0.015198 , 0.019843 , 0.035536 , 0.015826 , 0.036321 , 0.052452 , 0.025607 , 0.029091 , 0.019996 , 0.040524 , 0.013629 , 0.025561 , 0.015524 , 0 , 0.024418 , 0.018522 , 0.004525 , 0.029517 , 0.017688 , 0.0091 , 0 , 0 , 0.015231 , 0.003311 , 0 , 0.003258 , 0 , 0.003311 , 0.003258 , 0.0091 , 0.009736 , 0 , 0 , 0 , 0.00121 , 0 , 0 , 0 , 0 , 0.009843 , 0 , 0 , 0 , 0.018935 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003241 , 0 , 0 , 0 , 0 , 0.009471 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.006639 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 318 , 0.023546 , 0.043695 , 0.015883 , 0.02679 , 0.026452 , 0.012065 , 0.018915 , 0.029062 , 0.02021 , 0.035163 , 0.05086 , 0.027272 , 0.030232 , 0.019914 , 0.040189 , 0.015215 , 0.027417 , 0.012217 , 0 , 0.024321 , 0.015948 , 0.004118 , 0.025054 , 0.016419 , 0.008441 , 0 , 0 , 0.016252 , 0.003993 , 0 , 0.003951 , 0.000118 , 0.003989 , 0.003955 , 0.00819 , 0.012077 , 0 , 0 , 0 , 0.000247 , 0 , 0 , 0 , 0 , 0.012092 , 0 , 0 , 0 , 0.020621 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000122 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.004031 , 0 , 0 , 0 , 0 , 0.011564 , 0.000239 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.008301 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 319 , 0.021847 , 0.037364 , 0.014987 , 0.022076 , 0.021477 , 0.012692 , 0.014772 , 0.029691 , 0.022011 , 0.031193 , 0.044808 , 0.022065 , 0.023947 , 0.013523 , 0.034453 , 0.010458 , 0.023372 , 0.010797 , 0 , 0.018207 , 0.014098 , 0.00365 , 0.022999 , 0.015624 , 0.008518 , 0 , 0 , 0.015514 , 0.002446 , 0 , 0.002429 , 0.001163 , 0.002425 , 0.002436 , 0.00611 , 0.010742 , 0 , 0 , 0 , 0.002402 , 0 , 0 , 0 , 0 , 0.008539 , 0 , 0 , 0 , 0.018265 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001204 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003575 , 0 , 0 , 0 , 0 , 0.008125 , 0.002326 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.007222 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 320 , 0.020502 , 0.032371 , 0.01427 , 0.018288 , 0.017536 , 0.013184 , 0.011479 , 0.030192 , 0.023418 , 0.028044 , 0.040026 , 0.017954 , 0.018935 , 0.00842 , 0.029921 , 0.006672 , 0.020162 , 0.009672 , 0 , 0.013387 , 0.012638 , 0.003281 , 0.02137 , 0.015001 , 0.008573 , 0 , 0 , 0.014942 , 0.001227 , 0 , 0.001221 , 0.001995 , 0.001208 , 0.00123 , 0.00448 , 0.009687 , 0 , 0 , 0 , 0.004118 , 0 , 0 , 0 , 0 , 0.005744 , 0 , 0 , 0 , 0.0164 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002073 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003212 , 0 , 0 , 0 , 0 , 0.005438 , 0.003993 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.006372 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 321 , 0.019413 , 0.028336 , 0.013686 , 0.015163 , 0.014336 , 0.013576 , 0.008794 , 0.030602 , 0.024544 , 0.025491 , 0.036159 , 0.014627 , 0.014832 , 0.004236 , 0.026254 , 0.003582 , 0.01755 , 0.008762 , 0 , 0.009493 , 0.011448 , 0.00298 , 0.02004 , 0.014498 , 0.008612 , 0 , 0 , 0.014486 , 0.000242 , 0 , 0.000242 , 0.002678 , 0.000239 , 0.000245 , 0.003167 , 0.008834 , 0 , 0 , 0 , 0.005523 , 0 , 0 , 0 , 0 , 0.00349 , 0 , 0 , 0 , 0.014889 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002787 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00292 , 0 , 0 , 0 , 0 , 0.003288 , 0.005353 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.005687 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 322 , 0.019866 , 0.025279 , 0.013824 , 0.016631 , 0.01534 , 0.014992 , 0.012553 , 0.030829 , 0.020902 , 0.024462 , 0.035028 , 0.01617 , 0.016739 , 0.007187 , 0.027287 , 0.006854 , 0.018995 , 0.009367 , 0.002621 , 0.010339 , 0.016007 , 0.007029 , 0.021683 , 0.017889 , 0.009463 , 0.001709 , 0.001126 , 0.016232 , 0.002124 , 0 , 0.003792 , 0.00689 , 0.002658 , 0.002701 , 0.007506 , 0.012177 , 0.001606 , 0.00107 , 0.003155 , 0.009122 , 0.00208 , 0.000554 , 0.000549 , 0 , 0.00432 , 0 , 0.00057 , 0.001072 , 0.019044 , 0.002186 , 0 , 0.00208 , 0 , 0.002139 , 0.002686 , 0.002696 , 0.002121 , 0.002678 , 0.001668 , 0.006591 , 0.002676 , 0.001088 , 0.001111 , 0.003204 , 0.003346 , 0 , 0.001675 , 0.003276 , 0.00215 , 0.000539 , 0.005797 , 0.001657 , 0.000539 , 0 , 0.00109 , 0.007805 , 0.010006 , 0.001601 , 0.001093 , 0.000546 , 0 , 0 , 0 , 0 , 0 , 0.010246 , 0.00108 , 0.001683 , 0.000544 , 0 , 0.002735 , 0.00109 , 0.001655 , 0.002109 , 0 
 323 , 0.020655 , 0.022978 , 0.014136 , 0.019038 , 0.017334 , 0.016466 , 0.017496 , 0.030927 , 0.016547 , 0.024008 , 0.034832 , 0.018789 , 0.020011 , 0.01151 , 0.029451 , 0.011355 , 0.021297 , 0.010288 , 0.005501 , 0.012295 , 0.021489 , 0.011577 , 0.0239 , 0.021757 , 0.01039 , 0.003593 , 0.002358 , 0.018272 , 0.004441 , 0 , 0.00802 , 0.011351 , 0.005672 , 0.005665 , 0.012762 , 0.016112 , 0.003369 , 0.00227 , 0.006695 , 0.012637 , 0.004404 , 0.001169 , 0.001143 , 0 , 0.005824 , 0 , 0.001192 , 0.002256 , 0.023953 , 0.004626 , 0 , 0.004404 , 0 , 0.00451 , 0.005667 , 0.005635 , 0.004489 , 0.005549 , 0.003485 , 0.010558 , 0.005609 , 0.002265 , 0.002323 , 0.006757 , 0.00727 , 0 , 0.003519 , 0.006928 , 0.004508 , 0.001134 , 0.009048 , 0.003485 , 0.001134 , 0 , 0.002277 , 0.013464 , 0.014761 , 0.003388 , 0.002289 , 0.00115 , 0 , 0 , 0 , 0 , 0 , 0.015459 , 0.002268 , 0.003559 , 0.001134 , 0 , 0.00575 , 0.002277 , 0.003469 , 0.00442 , 0 
 324 , 0.02126 , 0.021153 , 0.014381 , 0.020834 , 0.018907 , 0.017643 , 0.021434 , 0.030948 , 0.0131 , 0.023623 , 0.034686 , 0.020853 , 0.022618 , 0.014819 , 0.031177 , 0.014936 , 0.023086 , 0.011011 , 0.007745 , 0.013792 , 0.025925 , 0.015135 , 0.025686 , 0.024776 , 0.011118 , 0.005065 , 0.003317 , 0.019859 , 0.006233 , 0 , 0.011382 , 0.014844 , 0.00812 , 0.007969 , 0.017004 , 0.019215 , 0.004743 , 0.003231 , 0.009529 , 0.015318 , 0.00625 , 0.001652 , 0.001602 , 0 , 0.00698 , 0 , 0.001675 , 0.003187 , 0.027719 , 0.006562 , 0 , 0.00625 , 0 , 0.006382 , 0.00802 , 0.007906 , 0.006372 , 0.007726 , 0.004887 , 0.013638 , 0.007894 , 0.003172 , 0.003258 , 0.009563 , 0.0106 , 0 , 0.004967 , 0.009829 , 0.006342 , 0.001606 , 0.011596 , 0.004919 , 0.001606 , 0 , 0.003197 , 0.017997 , 0.018486 , 0.004808 , 0.003222 , 0.001623 , 0 , 0 , 0 , 0 , 0 , 0.019545 , 0.003191 , 0.005049 , 0.001587 , 0 , 0.008112 , 0.003197 , 0.004879 , 0.006223 , 0 
 325 , 0.021678 , 0.021451 , 0.015531 , 0.023053 , 0.020569 , 0.018284 , 0.024893 , 0.030264 , 0.01346 , 0.024454 , 0.035216 , 0.023106 , 0.024884 , 0.017459 , 0.032872 , 0.017331 , 0.025117 , 0.012786 , 0.009362 , 0.014765 , 0.029153 , 0.018053 , 0.027753 , 0.026904 , 0.012923 , 0.007133 , 0.005546 , 0.021623 , 0.008753 , 0.001653 , 0.014403 , 0.01777 , 0.01098 , 0.010338 , 0.020521 , 0.021971 , 0.006871 , 0.004498 , 0.012698 , 0.017914 , 0.008645 , 0.003509 , 0.002841 , 0.001468 , 0.009324 , 0.000892 , 0.003341 , 0.004628 , 0.031117 , 0.00942 , 0.0013 , 0.008998 , 0.000907 , 0.008792 , 0.009886 , 0.010071 , 0.008977 , 0.010668 , 0.006884 , 0.016932 , 0.010456 , 0.004758 , 0.005059 , 0.01215 , 0.013748 , 0 , 0.006823 , 0.012623 , 0.00891 , 0.003225 , 0.014145 , 0.007303 , 0.003398 , 0.001273 , 0.005657 , 0.02153 , 0.021783 , 0.00718 , 0.005372 , 0.002709 , 0.000878 , 0.000867 , 0.000542 , 0.001577 , 0.001054 , 0.022364 , 0.005328 , 0.007304 , 0.003698 , 0.001054 , 0.010897 , 0.005149 , 0.006869 , 0.008734 , 0.00144 
