MAY26LOF00011.spu,MAY26LOF00010.spu,MAY26LOF00009.spu,
Wavelength,MAY26LOF00027.spu,MAY26LOF00028.spu,MAY26LOF00029.spu,MAY26LOF00030.spu,MAY26LOF00031.spu,MAY26LOF00032.spu,MAY26LOF00033.spu,MAY26LOF00034.spu,MAY26LOF00035.spu,MAY26LOF00036.spu,MAY26LOF00037.spu,MAY26LOF00038.spu,MAY26LOF00039.spu,MAY26LOF00040.spu,MAY26LOF00041.spu,MAY26LOF00042.spu,MAY26LOF00043.spu,MAY26LOF00044.spu,MAY26LOF00045.spu,MAY26LOF00046.spu,MAY26LOF00047.spu,MAY26LOF00048.spu,MAY26LOF00049.spu,MAY26LOF00050.spu,MAY26LOF00051.spu,MAY26LOF00052.spu,MAY26LOF00053.spu,MAY26LOF00054.spu,MAY26LOF00055.spu,MAY26LOF00056.spu,MAY26LOF00057.spu,MAY26LOF00058.spu,MAY26LOF00059.spu,MAY26LOF00060.spu,MAY26LOF00061.spu,MAY26LOF00062.spu,MAY26LOF00063.spu,MAY26LOF00064.spu,MAY26LOF00065.spu,MAY26LOF00066.spu,MAY26LOF00067.spu,MAY26LOF00068.spu,MAY26LOF00069.spu,MAY26LOF00070.spu,MAY26LOF00071.spu,MAY26LOF00072.spu,MAY26LOF00073.spu,MAY26LOF00074.spu,MAY26LOF00075.spu,MAY26LOF00076.spu,MAY26LOF00077.spu,MAY26LOF00078.spu,MAY26LOF00079.spu,MAY26LOF00080.spu,MAY26LOF00081.spu,MAY26LOF00082.spu,MAY26LOF00083.spu,MAY26LOF00084.spu,MAY26LOF00085.spu,MAY26LOF00086.spu,MAY26LOF00087.spu,MAY26LOF00088.spu,MAY26LOF00089.spu,MAY26LOF00090.spu,MAY26LOF00091.spu,MAY26LOF00092.spu,MAY26LOF00093.spu,MAY26LOF00094.spu,MAY26LOF00095.spu,MAY26LOF00096.spu,MAY26LOF00097.spu,MAY26LOF00098.spu,MAY26LOF00099.spu,MAY26LOF00100.spu,MAY26LOF00101.spu,MAY26LOF00102.spu,MAY26LOF00103.spu,MAY26LOF00104.spu,MAY26LOF00105.spu,MAY26LOF00106.spu,MAY26LOF00107.spu,MAY26LOF00108.spu,MAY26LOF00109.spu,MAY26LOF00110.spu,MAY26LOF00111.spu,MAY26LOF00112.spu,MAY26LOF00113.spu,MAY26LOF00114.spu,MAY26LOF00115.spu,MAY26LOF00116.spu,MAY26LOF00117.spu,MAY26LOF00118.spu,MAY26LOF00119.spu,MAY26LOF00120.spu,MAY26LOF00121.spu,MAY26LOF00122.spu,MAY26LOF00123.spu,MAY26LOF00124.spu,MAY26LOF00125.spu,MAY26LOF00126.spu
 316 , 0.032576 , 0.024585 , 0.023905 , 0.018496 , 0.018005 , 0.018018 , 0.028549 , 0.025941 , 0.021667 , 0.01961 , 0.026118 , 0.027912 , 0.023831 , 0.020826 , 0.018298 , 0.020674 , 0.014853 , 0.000287 , 0.017615 , 0.017248 , 0.008747 , 0.007319 , 0.000187 , 0.001167 , 0.010762 , 0.002936 , 0.001417 , 0.000297 , 0.005433 , 0.002712 , 0.008104 , 0.004015 , 0.000347 , 0 , 0 , 0 , 0.009202 , 0 , 0 , 0 , 0 , 0.000209 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001295 , 0 , 0.0004 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 317 , 0.02603 , 0.019188 , 0.015958 , 0.012201 , 0.012785 , 0.016107 , 0.027571 , 0.023654 , 0.016872 , 0.022012 , 0.021118 , 0.027574 , 0.020303 , 0.0152 , 0.019092 , 0.016961 , 0.011401 , 0.000124 , 0.01163 , 0.015093 , 0.008196 , 0.004048 , 0.00008 , 0.000499 , 0.008029 , 0.00129 , 0.000617 , 0.000133 , 0.002466 , 0.00394 , 0.006855 , 0.003657 , 0.000153 , 0 , 0 , 0 , 0.005995 , 0 , 0 , 0 , 0 , 0.000094 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000553 , 0 , 0.000174 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 318 , 0.021595 , 0.015319 , 0.010528 , 0.008311 , 0.009981 , 0.015515 , 0.027192 , 0.022685 , 0.013866 , 0.024126 , 0.018193 , 0.027592 , 0.018464 , 0.011917 , 0.020569 , 0.014786 , 0.009717 , 0.000862 , 0.007568 , 0.014176 , 0.008691 , 0.002251 , 0.000676 , 0.000574 , 0.006559 , 0.000986 , 0.000619 , 0.000751 , 0.00109 , 0.005952 , 0.006692 , 0.00462 , 0.000979 , 0.000698 , 0.000845 , 0.000233 , 0.004366 , 0.000735 , 0.000559 , 0.000305 , 0.001013 , 0.001196 , 0.001284 , 0.000868 , 0 , 0.001364 , 0.000654 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000604 , 0.000408 , 0.00047 , 0.000242 , 0.000617 , 0.000485 , 0.000049 , 0.00089 , 0.000144 , 0.000514 , 0.001539 , 0.0012 , 0.00093 , 0.000456 , 0.000141 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000206 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000375 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 319 , 0.026622 , 0.017727 , 0.018367 , 0.015751 , 0.019953 , 0.022845 , 0.030441 , 0.029516 , 0.02009 , 0.027188 , 0.025887 , 0.029941 , 0.025605 , 0.019745 , 0.028324 , 0.020289 , 0.018242 , 0.008239 , 0.01242 , 0.020659 , 0.016671 , 0.008413 , 0.00652 , 0.00542 , 0.011976 , 0.009185 , 0.005904 , 0.007156 , 0.009145 , 0.014112 , 0.013439 , 0.014947 , 0.009278 , 0.006463 , 0.008079 , 0.002022 , 0.011719 , 0.006807 , 0.005316 , 0.002654 , 0.009665 , 0.011365 , 0.011904 , 0.007824 , 0 , 0.012033 , 0.005961 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.005859 , 0.003832 , 0.004306 , 0.00226 , 0.005557 , 0.004585 , 0.000472 , 0.008298 , 0.001363 , 0.004806 , 0.014713 , 0.011402 , 0.008721 , 0.004257 , 0.00119 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001668 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00308 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 320 , 0.030172 , 0.019297 , 0.02397 , 0.021199 , 0.0274 , 0.028663 , 0.032691 , 0.034688 , 0.024931 , 0.029542 , 0.031433 , 0.031722 , 0.031541 , 0.025905 , 0.033955 , 0.0242 , 0.024656 , 0.01388 , 0.016036 , 0.025274 , 0.023089 , 0.013047 , 0.011083 , 0.009033 , 0.01599 , 0.015108 , 0.009932 , 0.01201 , 0.015117 , 0.019587 , 0.018503 , 0.022386 , 0.015502 , 0.010589 , 0.013619 , 0.003131 , 0.016732 , 0.011154 , 0.008914 , 0.004119 , 0.016241 , 0.019043 , 0.019511 , 0.012519 , 0 , 0.01892 , 0.009621 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.009997 , 0.00636 , 0.006988 , 0.003734 , 0.008885 , 0.007649 , 0.000792 , 0.013676 , 0.002273 , 0.007936 , 0.024779 , 0.019105 , 0.014442 , 0.007016 , 0.001807 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002458 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.004592 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 321 , 0.032729 , 0.020329 , 0.028071 , 0.025285 , 0.033101 , 0.033408 , 0.034273 , 0.038702 , 0.028799 , 0.031395 , 0.035525 , 0.033107 , 0.036622 , 0.030883 , 0.03814 , 0.02704 , 0.029603 , 0.018307 , 0.0188 , 0.028634 , 0.028397 , 0.01662 , 0.014741 , 0.011797 , 0.019038 , 0.019495 , 0.013078 , 0.015786 , 0.019656 , 0.02335 , 0.022398 , 0.027877 , 0.020289 , 0.013616 , 0.017974 , 0.003839 , 0.020233 , 0.014345 , 0.011708 , 0.005061 , 0.021369 , 0.024989 , 0.025098 , 0.015773 , 0 , 0.023488 , 0.012212 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.013346 , 0.008274 , 0.00891 , 0.004838 , 0.011186 , 0.009996 , 0.001038 , 0.017675 , 0.002972 , 0.010274 , 0.03267 , 0.025068 , 0.018749 , 0.009067 , 0.002182 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002901 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00547 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 322 , 0.032367 , 0.020733 , 0.027758 , 0.025731 , 0.031914 , 0.032443 , 0.033203 , 0.037976 , 0.029395 , 0.030767 , 0.034317 , 0.033451 , 0.034907 , 0.029513 , 0.036523 , 0.027221 , 0.028593 , 0.019504 , 0.020425 , 0.027058 , 0.026969 , 0.018165 , 0.014964 , 0.012966 , 0.019882 , 0.020784 , 0.015194 , 0.017027 , 0.018574 , 0.024147 , 0.021636 , 0.027277 , 0.019991 , 0.016946 , 0.019926 , 0.00686 , 0.021176 , 0.01529 , 0.013005 , 0.008263 , 0.022041 , 0.025607 , 0.026621 , 0.018203 , 0.000835 , 0.025996 , 0.015882 , 0 , 0 , 0.001907 , 0.000424 , 0 , 0 , 0.000915 , 0.001079 , 0.013812 , 0.008251 , 0.011183 , 0.005697 , 0.010721 , 0.008916 , 0.001799 , 0.018858 , 0.005607 , 0.009554 , 0.031629 , 0.023413 , 0.019896 , 0.012264 , 0.00656 , 0.002059 , 0.002768 , 0.004716 , 0.001119 , 0 , 0 , 0.002194 , 0.002378 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.005059 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001348 , 0 , 0.005548 , 0 , 0 , 0 
 323 , 0.031277 , 0.020928 , 0.02629 , 0.025098 , 0.029017 , 0.030024 , 0.031551 , 0.036027 , 0.028929 , 0.029488 , 0.031836 , 0.033449 , 0.031557 , 0.026596 , 0.033559 , 0.026666 , 0.026099 , 0.019597 , 0.0215 , 0.024373 , 0.023905 , 0.018923 , 0.014182 , 0.013534 , 0.019978 , 0.021112 , 0.016646 , 0.017385 , 0.016126 , 0.024056 , 0.019707 , 0.025133 , 0.018355 , 0.020276 , 0.021087 , 0.010276 , 0.02134 , 0.015526 , 0.013749 , 0.011707 , 0.021425 , 0.024651 , 0.026784 , 0.020391 , 0.001859 , 0.027779 , 0.019423 , 0 , 0 , 0.004418 , 0.000964 , 0 , 0 , 0.00199 , 0.002405 , 0.013367 , 0.007698 , 0.013239 , 0.00638 , 0.009588 , 0.00707 , 0.00255 , 0.019053 , 0.008434 , 0.008074 , 0.028292 , 0.019995 , 0.019992 , 0.015163 , 0.011671 , 0.004625 , 0.005868 , 0.010037 , 0.002436 , 0 , 0 , 0.00125 , 0.004956 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.004313 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003094 , 0 , 0.013543 , 0 , 0 , 0 
 324 , 0.030445 , 0.021131 , 0.02511 , 0.024557 , 0.026668 , 0.028038 , 0.030221 , 0.034417 , 0.028453 , 0.028367 , 0.02984 , 0.033439 , 0.0288 , 0.024223 , 0.031194 , 0.026251 , 0.024092 , 0.019617 , 0.022365 , 0.022186 , 0.021432 , 0.019521 , 0.013514 , 0.013996 , 0.020023 , 0.021465 , 0.017729 , 0.017664 , 0.014165 , 0.024008 , 0.01814 , 0.023466 , 0.017063 , 0.023493 , 0.022245 , 0.013263 , 0.021531 , 0.01576 , 0.014414 , 0.014572 , 0.020988 , 0.023839 , 0.026845 , 0.022597 , 0.002782 , 0.029429 , 0.022386 , 0 , 0 , 0.006941 , 0.00148 , 0 , 0 , 0.002904 , 0.00361 , 0.012947 , 0.007239 , 0.014901 , 0.006948 , 0.008678 , 0.005599 , 0.003111 , 0.01913 , 0.010755 , 0.006867 , 0.025617 , 0.017279 , 0.020024 , 0.017327 , 0.016108 , 0.006999 , 0.008337 , 0.014313 , 0.003558 , 0 , 0 , 0.000461 , 0.006918 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003683 , 0 , 0 , 0 , 0 , 0 , 0 , 0.004805 , 0 , 0.022815 , 0 , 0 , 0 
 325 , 0.030149 , 0.021062 , 0.024393 , 0.024953 , 0.025155 , 0.027621 , 0.029786 , 0.033316 , 0.028187 , 0.027941 , 0.029239 , 0.033369 , 0.027323 , 0.023325 , 0.030005 , 0.025937 , 0.02347 , 0.019611 , 0.023009 , 0.021293 , 0.020142 , 0.019449 , 0.013728 , 0.01482 , 0.019993 , 0.020972 , 0.01904 , 0.018473 , 0.013629 , 0.023212 , 0.017993 , 0.022547 , 0.016761 , 0.02473 , 0.023999 , 0.015566 , 0.022104 , 0.016379 , 0.015506 , 0.016446 , 0.021172 , 0.024039 , 0.026916 , 0.024575 , 0.006103 , 0.032366 , 0.024645 , 0.002036 , 0.001831 , 0.009768 , 0.004465 , 0.002576 , 0.001879 , 0.004514 , 0.007602 , 0.01333 , 0.007772 , 0.016608 , 0.008355 , 0.009626 , 0.006328 , 0.004699 , 0.020014 , 0.013281 , 0.00762 , 0.024464 , 0.016622 , 0.021515 , 0.019081 , 0.020572 , 0.01115 , 0.010861 , 0.018078 , 0.005324 , 0 , 0.002112 , 0.003379 , 0.009388 , 0.004574 , 0.002139 , 0.002046 , 0.002375 , 0.001616 , 0.002587 , 0.001802 , 0.002712 , 0.003636 , 0.00563 , 0 , 0.00204 , 0.001627 , 0.002614 , 0.003422 , 0.003079 , 0.008806 , 0.000535 , 0.030034 , 0.000643 , 0 , 0.000356 
