MAY31MAT00004.spu,MAY31MAT00003.spu,MAY31MAT00002.spu,
Wavelength,MAY31MAT00005.spu,MAY31MAT00006.spu,MAY31MAT00007.spu,MAY31MAT00008.spu,MAY31MAT00009.spu,MAY31MAT00010.spu,MAY31MAT00011.spu,MAY31MAT00012.spu,MAY31MAT00013.spu,MAY31MAT00014.spu,MAY31MAT00015.spu,MAY31MAT00016.spu,MAY31MAT00017.spu,MAY31MAT00018.spu,MAY31MAT00019.spu,MAY31MAT00020.spu,MAY31MAT00021.spu,MAY31MAT00022.spu,MAY31MAT00023.spu,MAY31MAT00024.spu,MAY31MAT00025.spu,MAY31MAT00026.spu,MAY31MAT00027.spu,MAY31MAT00028.spu,MAY31MAT00029.spu,MAY31MAT00030.spu,MAY31MAT00031.spu,MAY31MAT00032.spu,MAY31MAT00033.spu,MAY31MAT00034.spu,MAY31MAT00035.spu,MAY31MAT00036.spu,MAY31MAT00037.spu,MAY31MAT00038.spu,MAY31MAT00039.spu,MAY31MAT00040.spu,MAY31MAT00041.spu,MAY31MAT00042.spu,MAY31MAT00043.spu,MAY31MAT00044.spu,MAY31MAT00045.spu,MAY31MAT00046.spu,MAY31MAT00047.spu,MAY31MAT00048.spu,MAY31MAT00049.spu,MAY31MAT00050.spu,MAY31MAT00051.spu,MAY31MAT00052.spu,MAY31MAT00053.spu,MAY31MAT00054.spu,MAY31MAT00055.spu,MAY31MAT00056.spu,MAY31MAT00057.spu,MAY31MAT00058.spu,MAY31MAT00059.spu,MAY31MAT00060.spu,MAY31MAT00061.spu,MAY31MAT00062.spu,MAY31MAT00063.spu,MAY31MAT00064.spu,MAY31MAT00065.spu,MAY31MAT00066.spu,MAY31MAT00067.spu,MAY31MAT00068.spu,MAY31MAT00069.spu,MAY31MAT00070.spu,MAY31MAT00071.spu,MAY31MAT00072.spu,MAY31MAT00073.spu,MAY31MAT00074.spu,MAY31MAT00075.spu,MAY31MAT00076.spu,MAY31MAT00077.spu,MAY31MAT00078.spu,MAY31MAT00079.spu,MAY31MAT00080.spu,MAY31MAT00081.spu,MAY31MAT00082.spu,MAY31MAT00083.spu,MAY31MAT00084.spu,MAY31MAT00085.spu,MAY31MAT00086.spu,MAY31MAT00087.spu,MAY31MAT00088.spu,MAY31MAT00089.spu,MAY31MAT00090.spu,MAY31MAT00091.spu,MAY31MAT00092.spu,MAY31MAT00093.spu,MAY31MAT00094.spu,MAY31MAT00095.spu,MAY31MAT00096.spu,MAY31MAT00097.spu,MAY31MAT00098.spu,MAY31MAT00099.spu,MAY31MAT00100.spu,MAY31MAT00101.spu,MAY31MAT00102.spu,MAY31MAT00103.spu,MAY31MAT00104.spu,MAY31MAT00105.spu,MAY31MAT00106.spu,MAY31MAT00107.spu,MAY31MAT00108.spu,MAY31MAT00109.spu,MAY31MAT00110.spu,MAY31MAT00111.spu,MAY31MAT00112.spu,MAY31MAT00113.spu,MAY31MAT00114.spu,MAY31MAT00115.spu,MAY31MAT00116.spu,MAY31MAT00117.spu,MAY31MAT00118.spu,MAY31MAT00119.spu,MAY31MAT00120.spu,MAY31MAT00121.spu,MAY31MAT00122.spu,MAY31MAT00123.spu,MAY31MAT00124.spu,MAY31MAT00125.spu,MAY31MAT00126.spu,MAY31MAT00127.spu,MAY31MAT00128.spu,MAY31MAT00129.spu,MAY31MAT00130.spu,MAY31MAT00131.spu,MAY31MAT00132.spu,MAY31MAT00133.spu,MAY31MAT00134.spu,MAY31MAT00135.spu,MAY31MAT00136.spu,MAY31MAT00137.spu,MAY31MAT00138.spu,MAY31MAT00139.spu,MAY31MAT00140.spu,MAY31MAT00141.spu,MAY31MAT00142.spu,MAY31MAT00143.spu,MAY31MAT00144.spu,MAY31MAT00145.spu
 388 , 0.017026 , 0.018738 , 0.021899 , 0.01801 , 0.019021 , 0.018911 , 0.020153 , 0.018428 , 0.020744 , 0.023695 , 0.021359 , 0.02501 , 0.017995 , 0.023721 , 0.021873 , 0.020917 , 0.039561 , 0.027166 , 0.022254 , 0.030214 , 0.018059 , 0.019665 , 0.021076 , 0.024198 , 0.02457 , 0.0321 , 0.03154 , 0.029611 , 0.034323 , 0.037194 , 0.054136 , 0.020145 , 0.025654 , 0.019356 , 0.022547 , 0.018725 , 0.023013 , 0.021595 , 0.02696 , 0.008056 , 0.015171 , 0.018255 , 0.014817 , 0.025224 , 0.026903 , 0.027041 , 0.01202 , 0.014855 , 0.02101 , 0.017051 , 0.022254 , 0.021151 , 0.016244 , 0.016135 , 0.015115 , 0.013641 , 0.016168 , 0.02011 , 0.026787 , 0.030702 , 0.021062 , 0.045949 , 0.020354 , 0.027491 , 0.035209 , 0.037718 , 0.0304 , 0.021891 , 0.030104 , 0.012285 , 0.030456 , 0.026784 , 0.018901 , 0.01971 , 0.024407 , 0.017733 , 0.036639 , 0.037054 , 0.03699 , 0.041005 , 0.035876 , 0.023497 , 0.024604 , 0.023132 , 0.020773 , 0.025262 , 0.014038 , 0.01982 , 0.017301 , 0.017547 , 0.022829 , 0.021962 , 0.023772 , 0.019428 , 0.016127 , 0.016946 , 0.022713 , 0.022316 , 0.017255 , 0.024623 , 0.020441 , 0.02342 , 0.033132 , 0.028547 , 0.021939 , 0.023412 , 0.019641 , 0.018529 , 0.025118 , 0.035898 , 0.025463 , 0.029939 , 0.025089 , 0.024766 , 0.03014 , 0.02531 , 0.028464 , 0.018484 , 0.016407 , 0.026771 , 0.018456 , 0.019364 , 0.018301 , 0.020486 , 0.017382 , 0.024707 , 0.01796 , 0.023679 , 0.022372 , 0.016532 , 0.019942 , 0.025754 , 0.028659 , 0.032235 , 0.026847 , 0.031242 , 0.015768 , 0.021423 , 0.021395 , 0.024777 , 0.023351 
 389 , 0.017114 , 0.018848 , 0.021869 , 0.018009 , 0.01914 , 0.019195 , 0.020247 , 0.01866 , 0.020918 , 0.023719 , 0.021409 , 0.025137 , 0.018245 , 0.023863 , 0.022143 , 0.020961 , 0.03979 , 0.027151 , 0.022353 , 0.030604 , 0.017847 , 0.019804 , 0.021167 , 0.024455 , 0.024771 , 0.032307 , 0.031627 , 0.029709 , 0.034429 , 0.037444 , 0.054173 , 0.020275 , 0.025908 , 0.019506 , 0.022704 , 0.018883 , 0.02327 , 0.021864 , 0.027193 , 0.008235 , 0.015298 , 0.018465 , 0.015008 , 0.025488 , 0.027064 , 0.027237 , 0.012095 , 0.01498 , 0.021224 , 0.017263 , 0.022487 , 0.021323 , 0.016424 , 0.016255 , 0.015208 , 0.013851 , 0.016376 , 0.020286 , 0.026926 , 0.030867 , 0.02133 , 0.045945 , 0.02047 , 0.027638 , 0.035325 , 0.037798 , 0.030661 , 0.022046 , 0.030319 , 0.012461 , 0.030617 , 0.026923 , 0.01898 , 0.019811 , 0.024598 , 0.017814 , 0.036941 , 0.037146 , 0.037076 , 0.04116 , 0.035985 , 0.023807 , 0.024876 , 0.023239 , 0.02099 , 0.025387 , 0.014291 , 0.019927 , 0.017226 , 0.017715 , 0.022879 , 0.022083 , 0.024081 , 0.01958 , 0.016275 , 0.017101 , 0.02289 , 0.022456 , 0.017336 , 0.024696 , 0.02054 , 0.0235 , 0.033212 , 0.028697 , 0.022237 , 0.023574 , 0.019854 , 0.018688 , 0.025251 , 0.036085 , 0.025656 , 0.030064 , 0.0252 , 0.024942 , 0.030393 , 0.025486 , 0.028655 , 0.01857 , 0.016588 , 0.026888 , 0.018513 , 0.019506 , 0.018425 , 0.020633 , 0.01763 , 0.024984 , 0.018129 , 0.023802 , 0.022597 , 0.016722 , 0.020054 , 0.025937 , 0.028778 , 0.032372 , 0.026974 , 0.031309 , 0.015859 , 0.021634 , 0.021505 , 0.025071 , 0.023532 
 390 , 0.017219 , 0.019174 , 0.022119 , 0.018261 , 0.019613 , 0.019733 , 0.020714 , 0.018515 , 0.021472 , 0.024174 , 0.021838 , 0.025638 , 0.018386 , 0.024309 , 0.022192 , 0.021205 , 0.039915 , 0.027587 , 0.022804 , 0.03079 , 0.018284 , 0.020206 , 0.021328 , 0.024844 , 0.02511 , 0.032636 , 0.031873 , 0.029989 , 0.034692 , 0.037489 , 0.05444 , 0.020558 , 0.026105 , 0.019756 , 0.022991 , 0.019164 , 0.023646 , 0.022379 , 0.027467 , 0.008511 , 0.015729 , 0.018904 , 0.015112 , 0.025902 , 0.027231 , 0.0277 , 0.012289 , 0.015182 , 0.02141 , 0.017422 , 0.022845 , 0.021633 , 0.016525 , 0.016439 , 0.015339 , 0.014054 , 0.016674 , 0.020585 , 0.027121 , 0.030976 , 0.021631 , 0.046088 , 0.020706 , 0.027876 , 0.035648 , 0.03799 , 0.031084 , 0.022256 , 0.03047 , 0.012756 , 0.030749 , 0.027225 , 0.019295 , 0.019944 , 0.024815 , 0.018159 , 0.037417 , 0.037421 , 0.037323 , 0.041346 , 0.036248 , 0.02425 , 0.025151 , 0.023513 , 0.021263 , 0.025599 , 0.0145 , 0.020126 , 0.017407 , 0.017813 , 0.023026 , 0.022246 , 0.0246 , 0.02001 , 0.016461 , 0.017346 , 0.023087 , 0.022815 , 0.017545 , 0.024848 , 0.020786 , 0.023623 , 0.033443 , 0.028924 , 0.022565 , 0.023738 , 0.020217 , 0.01908 , 0.025655 , 0.036346 , 0.026115 , 0.030538 , 0.025571 , 0.02513 , 0.030583 , 0.025859 , 0.02884 , 0.01889 , 0.016808 , 0.027174 , 0.018789 , 0.019789 , 0.018767 , 0.021015 , 0.017923 , 0.025337 , 0.018374 , 0.023894 , 0.022804 , 0.016848 , 0.020233 , 0.026277 , 0.029125 , 0.03262 , 0.027335 , 0.031598 , 0.016097 , 0.02201 , 0.021787 , 0.02556 , 0.024039 
 391 , 0.017312 , 0.019489 , 0.02236 , 0.018509 , 0.020071 , 0.020251 , 0.021163 , 0.018381 , 0.022008 , 0.024614 , 0.022252 , 0.026119 , 0.018527 , 0.024742 , 0.022243 , 0.021448 , 0.040043 , 0.028013 , 0.023241 , 0.030975 , 0.018705 , 0.020603 , 0.021491 , 0.025227 , 0.025441 , 0.032965 , 0.032127 , 0.030271 , 0.034954 , 0.037553 , 0.054717 , 0.020837 , 0.026308 , 0.020001 , 0.023275 , 0.019439 , 0.024009 , 0.022875 , 0.02773 , 0.008776 , 0.016143 , 0.019325 , 0.015215 , 0.026301 , 0.027395 , 0.028146 , 0.012477 , 0.015377 , 0.021594 , 0.017577 , 0.023192 , 0.02194 , 0.016631 , 0.01662 , 0.015474 , 0.014254 , 0.016966 , 0.020877 , 0.027315 , 0.031089 , 0.021927 , 0.046248 , 0.02094 , 0.028117 , 0.035974 , 0.038196 , 0.031498 , 0.022466 , 0.030631 , 0.013041 , 0.030882 , 0.027523 , 0.019606 , 0.020078 , 0.025027 , 0.018496 , 0.037877 , 0.037695 , 0.037571 , 0.041537 , 0.036511 , 0.024686 , 0.02542 , 0.023785 , 0.021529 , 0.025811 , 0.014705 , 0.020325 , 0.01759 , 0.017914 , 0.023178 , 0.02241 , 0.025106 , 0.020426 , 0.016649 , 0.01759 , 0.023288 , 0.023167 , 0.017754 , 0.025005 , 0.021026 , 0.023751 , 0.03368 , 0.029157 , 0.022891 , 0.023908 , 0.020565 , 0.01946 , 0.026043 , 0.036603 , 0.02656 , 0.031002 , 0.025937 , 0.025317 , 0.030775 , 0.026223 , 0.029029 , 0.019199 , 0.017024 , 0.027458 , 0.01906 , 0.020062 , 0.019098 , 0.021383 , 0.018208 , 0.025681 , 0.018615 , 0.023991 , 0.023012 , 0.016977 , 0.020403 , 0.026614 , 0.02946 , 0.032871 , 0.02769 , 0.031885 , 0.016328 , 0.022376 , 0.022061 , 0.026034 , 0.024533 
 392 , 0.017398 , 0.019796 , 0.022595 , 0.018753 , 0.02051 , 0.020749 , 0.021595 , 0.018256 , 0.022524 , 0.025037 , 0.022651 , 0.026583 , 0.018663 , 0.025159 , 0.022295 , 0.021688 , 0.04017 , 0.028428 , 0.023662 , 0.031156 , 0.019111 , 0.020988 , 0.021649 , 0.0256 , 0.025766 , 0.033286 , 0.032382 , 0.030551 , 0.035212 , 0.037628 , 0.054994 , 0.02111 , 0.026512 , 0.020242 , 0.023553 , 0.019708 , 0.024362 , 0.02335 , 0.027984 , 0.009032 , 0.016542 , 0.01973 , 0.015316 , 0.02669 , 0.027558 , 0.028574 , 0.012659 , 0.015564 , 0.021773 , 0.017729 , 0.023526 , 0.022239 , 0.016737 , 0.016795 , 0.015608 , 0.014446 , 0.017246 , 0.021161 , 0.027507 , 0.031204 , 0.02221 , 0.046416 , 0.021169 , 0.028352 , 0.036297 , 0.03841 , 0.031899 , 0.022673 , 0.030793 , 0.013317 , 0.031019 , 0.027819 , 0.019908 , 0.020211 , 0.025237 , 0.018819 , 0.03832 , 0.037967 , 0.037818 , 0.041728 , 0.03677 , 0.025108 , 0.025683 , 0.02405 , 0.02179 , 0.026022 , 0.014904 , 0.020523 , 0.017768 , 0.018017 , 0.023328 , 0.022573 , 0.025595 , 0.020827 , 0.016832 , 0.017827 , 0.023489 , 0.023511 , 0.017961 , 0.025162 , 0.021256 , 0.023879 , 0.033915 , 0.029388 , 0.023207 , 0.024079 , 0.020901 , 0.019825 , 0.026417 , 0.036855 , 0.026987 , 0.031448 , 0.026297 , 0.025503 , 0.030968 , 0.026575 , 0.029213 , 0.019499 , 0.017232 , 0.027738 , 0.019323 , 0.020325 , 0.019416 , 0.021734 , 0.018485 , 0.026012 , 0.018848 , 0.024096 , 0.023216 , 0.017105 , 0.020571 , 0.026943 , 0.029783 , 0.033118 , 0.028036 , 0.03217 , 0.016554 , 0.022731 , 0.022331 , 0.026492 , 0.025008 
 393 , 0.017555 , 0.020265 , 0.023131 , 0.019041 , 0.0206 , 0.020991 , 0.021756 , 0.018732 , 0.022648 , 0.025675 , 0.023149 , 0.026624 , 0.019136 , 0.025709 , 0.022608 , 0.022207 , 0.040773 , 0.028691 , 0.023959 , 0.031662 , 0.019532 , 0.021273 , 0.021996 , 0.025983 , 0.026247 , 0.033715 , 0.032633 , 0.030844 , 0.035535 , 0.037889 , 0.055357 , 0.021424 , 0.027139 , 0.020645 , 0.023862 , 0.020001 , 0.024973 , 0.023859 , 0.028377 , 0.009534 , 0.017064 , 0.020015 , 0.015611 , 0.027076 , 0.02782 , 0.028801 , 0.012945 , 0.015756 , 0.022168 , 0.017993 , 0.024097 , 0.022561 , 0.016946 , 0.017117 , 0.015959 , 0.014777 , 0.017666 , 0.021592 , 0.027844 , 0.031575 , 0.022511 , 0.046692 , 0.021439 , 0.02868 , 0.03676 , 0.038789 , 0.032353 , 0.023133 , 0.031266 , 0.01361 , 0.031342 , 0.028142 , 0.020199 , 0.02055 , 0.025606 , 0.019099 , 0.038815 , 0.038364 , 0.038076 , 0.042085 , 0.037177 , 0.025532 , 0.026023 , 0.024432 , 0.022168 , 0.02639 , 0.015096 , 0.020833 , 0.018059 , 0.01822 , 0.023434 , 0.022909 , 0.026086 , 0.021007 , 0.017022 , 0.018165 , 0.023801 , 0.023864 , 0.018294 , 0.025397 , 0.021463 , 0.024184 , 0.034105 , 0.029759 , 0.023593 , 0.024508 , 0.021278 , 0.020181 , 0.026854 , 0.03725 , 0.027432 , 0.031981 , 0.026646 , 0.025817 , 0.031221 , 0.026675 , 0.029538 , 0.019806 , 0.017529 , 0.028052 , 0.019521 , 0.02055 , 0.019925 , 0.022118 , 0.018909 , 0.026416 , 0.019204 , 0.024593 , 0.023672 , 0.017537 , 0.020959 , 0.027332 , 0.030197 , 0.033461 , 0.028419 , 0.032591 , 0.016727 , 0.023168 , 0.022645 , 0.027055 , 0.025461 
 394 , 0.017713 , 0.02073 , 0.023676 , 0.019319 , 0.02063 , 0.02118 , 0.021863 , 0.019268 , 0.022704 , 0.026304 , 0.02363 , 0.026596 , 0.01963 , 0.026242 , 0.022942 , 0.022738 , 0.041411 , 0.028913 , 0.024214 , 0.032182 , 0.019925 , 0.021523 , 0.022353 , 0.026341 , 0.026721 , 0.034131 , 0.03287 , 0.031123 , 0.035848 , 0.038165 , 0.055713 , 0.021724 , 0.027791 , 0.02105 , 0.024157 , 0.020276 , 0.025582 , 0.024336 , 0.028763 , 0.010039 , 0.017568 , 0.020259 , 0.01592 , 0.027437 , 0.028078 , 0.028981 , 0.013231 , 0.015937 , 0.022568 , 0.018259 , 0.024667 , 0.022865 , 0.017158 , 0.017444 , 0.016319 , 0.015107 , 0.018078 , 0.022018 , 0.028179 , 0.031967 , 0.022795 , 0.046971 , 0.021698 , 0.029001 , 0.037219 , 0.039173 , 0.032788 , 0.023602 , 0.031754 , 0.013886 , 0.031675 , 0.028449 , 0.020469 , 0.0209 , 0.025976 , 0.01935 , 0.039284 , 0.038757 , 0.038323 , 0.042451 , 0.037578 , 0.02593 , 0.026352 , 0.024809 , 0.022542 , 0.026757 , 0.015277 , 0.02114 , 0.01835 , 0.018429 , 0.023528 , 0.023251 , 0.026545 , 0.021137 , 0.017203 , 0.018497 , 0.024112 , 0.024197 , 0.018625 , 0.025633 , 0.021656 , 0.0245 , 0.034278 , 0.030131 , 0.023962 , 0.02495 , 0.021639 , 0.020514 , 0.027267 , 0.037641 , 0.027848 , 0.032488 , 0.02697 , 0.026131 , 0.031471 , 0.026732 , 0.029862 , 0.020089 , 0.01782 , 0.028352 , 0.019698 , 0.020752 , 0.020429 , 0.022483 , 0.019327 , 0.026803 , 0.019554 , 0.025117 , 0.024137 , 0.017988 , 0.021353 , 0.027704 , 0.030596 , 0.0338 , 0.02878 , 0.033006 , 0.016877 , 0.023588 , 0.022945 , 0.02759 , 0.025879 
 395 , 0.017854 , 0.021161 , 0.024181 , 0.019574 , 0.020661 , 0.021356 , 0.021965 , 0.019763 , 0.022757 , 0.026882 , 0.024073 , 0.026575 , 0.020086 , 0.026732 , 0.023254 , 0.02323 , 0.041996 , 0.02912 , 0.024452 , 0.032664 , 0.020287 , 0.021754 , 0.022681 , 0.026678 , 0.027159 , 0.034519 , 0.033095 , 0.031384 , 0.036142 , 0.038428 , 0.05605 , 0.022004 , 0.028394 , 0.021423 , 0.024431 , 0.020531 , 0.026145 , 0.024777 , 0.02912 , 0.010504 , 0.018032 , 0.020486 , 0.016204 , 0.027771 , 0.028319 , 0.029153 , 0.013491 , 0.016102 , 0.022937 , 0.018502 , 0.02519 , 0.023148 , 0.017354 , 0.017746 , 0.016653 , 0.015409 , 0.01846 , 0.022413 , 0.028493 , 0.03233 , 0.023061 , 0.047239 , 0.021938 , 0.029297 , 0.037645 , 0.03953 , 0.033191 , 0.024037 , 0.032209 , 0.014141 , 0.031984 , 0.028734 , 0.020718 , 0.021221 , 0.026319 , 0.019583 , 0.03972 , 0.03912 , 0.038551 , 0.042788 , 0.037952 , 0.026301 , 0.026659 , 0.025157 , 0.022886 , 0.027099 , 0.015445 , 0.021429 , 0.018619 , 0.018625 , 0.023618 , 0.023567 , 0.026973 , 0.02126 , 0.017369 , 0.018803 , 0.024398 , 0.024506 , 0.018929 , 0.025849 , 0.021835 , 0.024792 , 0.034438 , 0.030475 , 0.024305 , 0.025359 , 0.021968 , 0.020817 , 0.027653 , 0.038003 , 0.028234 , 0.032959 , 0.027271 , 0.026425 , 0.031707 , 0.026786 , 0.030165 , 0.020357 , 0.018092 , 0.028635 , 0.019863 , 0.020941 , 0.020893 , 0.022817 , 0.019712 , 0.027159 , 0.019878 , 0.025606 , 0.024567 , 0.018405 , 0.021718 , 0.028051 , 0.030969 , 0.034116 , 0.02912 , 0.033393 , 0.01702 , 0.023973 , 0.023224 , 0.02809 , 0.026268 
 396 , 0.017955 , 0.021747 , 0.024664 , 0.01984 , 0.020898 , 0.021649 , 0.022393 , 0.020318 , 0.023071 , 0.027417 , 0.024515 , 0.02684 , 0.020552 , 0.027122 , 0.023685 , 0.023673 , 0.0426 , 0.029482 , 0.02494 , 0.033128 , 0.020749 , 0.022082 , 0.023052 , 0.0271 , 0.027572 , 0.035035 , 0.033388 , 0.031716 , 0.036439 , 0.038786 , 0.056408 , 0.022412 , 0.029001 , 0.021854 , 0.024772 , 0.020929 , 0.026673 , 0.025352 , 0.029558 , 0.010945 , 0.01849 , 0.02079 , 0.016491 , 0.028215 , 0.028652 , 0.029501 , 0.01378 , 0.016368 , 0.023334 , 0.018832 , 0.025691 , 0.023546 , 0.017622 , 0.018037 , 0.016982 , 0.015763 , 0.01881 , 0.022859 , 0.028874 , 0.032847 , 0.023359 , 0.047634 , 0.022216 , 0.029644 , 0.03807 , 0.039927 , 0.033734 , 0.024506 , 0.032679 , 0.014429 , 0.032416 , 0.029093 , 0.021053 , 0.02156 , 0.026723 , 0.019871 , 0.040193 , 0.039467 , 0.038853 , 0.043221 , 0.038292 , 0.026777 , 0.026948 , 0.025545 , 0.023296 , 0.027484 , 0.015668 , 0.021699 , 0.018931 , 0.018956 , 0.023825 , 0.023872 , 0.027544 , 0.02155 , 0.017622 , 0.019143 , 0.024721 , 0.024959 , 0.019257 , 0.026185 , 0.022146 , 0.025032 , 0.034728 , 0.030822 , 0.02469 , 0.02577 , 0.022387 , 0.021196 , 0.028082 , 0.038479 , 0.028713 , 0.033515 , 0.027642 , 0.026787 , 0.032051 , 0.027107 , 0.030566 , 0.020692 , 0.01843 , 0.029023 , 0.020096 , 0.021224 , 0.021268 , 0.023166 , 0.020188 , 0.027601 , 0.020271 , 0.025976 , 0.024924 , 0.018763 , 0.022101 , 0.028367 , 0.031412 , 0.034399 , 0.02946 , 0.033784 , 0.017204 , 0.024392 , 0.023527 , 0.028621 , 0.026745 
 397 , 0.018013 , 0.022443 , 0.025102 , 0.020099 , 0.021308 , 0.022033 , 0.023095 , 0.020894 , 0.023608 , 0.027883 , 0.024933 , 0.02735 , 0.02101 , 0.027396 , 0.024208 , 0.024055 , 0.043185 , 0.029962 , 0.025631 , 0.03355 , 0.021284 , 0.022476 , 0.02344 , 0.027578 , 0.027942 , 0.035639 , 0.033726 , 0.032097 , 0.036719 , 0.039212 , 0.056765 , 0.02291 , 0.029574 , 0.022317 , 0.025161 , 0.02143 , 0.027144 , 0.026022 , 0.030048 , 0.011336 , 0.018921 , 0.021152 , 0.016765 , 0.028737 , 0.029058 , 0.029991 , 0.014074 , 0.016716 , 0.023734 , 0.019225 , 0.026144 , 0.024022 , 0.017934 , 0.018301 , 0.017288 , 0.01614 , 0.019119 , 0.023327 , 0.029293 , 0.033484 , 0.023678 , 0.048121 , 0.022506 , 0.030018 , 0.038467 , 0.040337 , 0.034371 , 0.024979 , 0.03314 , 0.014729 , 0.032931 , 0.029495 , 0.021443 , 0.021894 , 0.027161 , 0.020195 , 0.040682 , 0.039781 , 0.039205 , 0.043711 , 0.038586 , 0.02732 , 0.027204 , 0.025946 , 0.023741 , 0.027883 , 0.015928 , 0.021937 , 0.019262 , 0.019394 , 0.024122 , 0.024148 , 0.02821 , 0.021973 , 0.017934 , 0.019497 , 0.025055 , 0.025522 , 0.019586 , 0.026605 , 0.022559 , 0.025204 , 0.035116 , 0.031147 , 0.025095 , 0.026164 , 0.022867 , 0.021629 , 0.028535 , 0.039036 , 0.029253 , 0.034113 , 0.028055 , 0.027194 , 0.032484 , 0.027647 , 0.031038 , 0.021072 , 0.018811 , 0.029492 , 0.020381 , 0.021579 , 0.021549 , 0.023509 , 0.020722 , 0.028101 , 0.020705 , 0.026224 , 0.025194 , 0.01905 , 0.022489 , 0.028637 , 0.031895 , 0.03464 , 0.029786 , 0.034156 , 0.017417 , 0.024817 , 0.023834 , 0.029151 , 0.02728 
 398 , 0.018065 , 0.023049 , 0.02548 , 0.020325 , 0.021664 , 0.022365 , 0.023705 , 0.021397 , 0.024072 , 0.028286 , 0.025295 , 0.027791 , 0.021403 , 0.027633 , 0.024656 , 0.024385 , 0.043696 , 0.030378 , 0.026232 , 0.033919 , 0.021743 , 0.022822 , 0.02378 , 0.027994 , 0.028265 , 0.036168 , 0.034022 , 0.032425 , 0.036965 , 0.039585 , 0.057077 , 0.02334 , 0.030075 , 0.022715 , 0.025497 , 0.021864 , 0.027555 , 0.026603 , 0.030474 , 0.011674 , 0.019291 , 0.021462 , 0.017007 , 0.029189 , 0.029409 , 0.030419 , 0.014332 , 0.017014 , 0.024079 , 0.019566 , 0.026538 , 0.024436 , 0.018206 , 0.018532 , 0.017553 , 0.016468 , 0.019384 , 0.023735 , 0.02966 , 0.034035 , 0.023952 , 0.048546 , 0.02276 , 0.030343 , 0.038809 , 0.040695 , 0.034925 , 0.025391 , 0.033541 , 0.014991 , 0.033379 , 0.029845 , 0.021785 , 0.022183 , 0.027541 , 0.020473 , 0.041103 , 0.040049 , 0.039513 , 0.044136 , 0.038844 , 0.027795 , 0.027427 , 0.026294 , 0.024127 , 0.028235 , 0.016152 , 0.022145 , 0.019552 , 0.019776 , 0.024381 , 0.024388 , 0.028791 , 0.022338 , 0.018206 , 0.019803 , 0.025346 , 0.026009 , 0.019868 , 0.026971 , 0.022918 , 0.02536 , 0.035457 , 0.031432 , 0.025442 , 0.026507 , 0.023282 , 0.022001 , 0.028928 , 0.03952 , 0.029722 , 0.034636 , 0.028413 , 0.027551 , 0.032861 , 0.028118 , 0.031446 , 0.0214 , 0.019144 , 0.029897 , 0.020627 , 0.021888 , 0.021792 , 0.023804 , 0.021184 , 0.028533 , 0.021081 , 0.026438 , 0.025429 , 0.019295 , 0.022825 , 0.028873 , 0.032311 , 0.034853 , 0.030072 , 0.034478 , 0.017602 , 0.025181 , 0.024103 , 0.029612 , 0.027743 
 399 , 0.018116 , 0.02356 , 0.025831 , 0.020564 , 0.021991 , 0.022685 , 0.02424 , 0.021832 , 0.024506 , 0.028682 , 0.025653 , 0.0282 , 0.021726 , 0.027878 , 0.025044 , 0.024704 , 0.044163 , 0.030757 , 0.026737 , 0.034253 , 0.022151 , 0.023132 , 0.024095 , 0.028377 , 0.028561 , 0.036647 , 0.034313 , 0.032716 , 0.037207 , 0.03992 , 0.057356 , 0.02372 , 0.030534 , 0.023068 , 0.025809 , 0.022257 , 0.027934 , 0.027137 , 0.030856 , 0.011968 , 0.019636 , 0.021754 , 0.017227 , 0.02961 , 0.029723 , 0.030807 , 0.01456 , 0.017288 , 0.0244 , 0.01987 , 0.026911 , 0.024807 , 0.018456 , 0.018754 , 0.017808 , 0.016771 , 0.019639 , 0.024106 , 0.029989 , 0.034515 , 0.024205 , 0.04892 , 0.022994 , 0.030651 , 0.039127 , 0.041018 , 0.035432 , 0.02576 , 0.033909 , 0.015226 , 0.0338 , 0.030169 , 0.02208 , 0.022445 , 0.027885 , 0.02072 , 0.041489 , 0.040306 , 0.0398 , 0.044514 , 0.039073 , 0.028218 , 0.027651 , 0.026603 , 0.024481 , 0.028551 , 0.016367 , 0.02236 , 0.019802 , 0.020103 , 0.02463 , 0.024605 , 0.029316 , 0.022668 , 0.018442 , 0.020093 , 0.025618 , 0.026429 , 0.020135 , 0.027297 , 0.023234 , 0.025515 , 0.035769 , 0.031692 , 0.02576 , 0.026829 , 0.023652 , 0.022338 , 0.029277 , 0.039959 , 0.030141 , 0.035107 , 0.028756 , 0.027878 , 0.033212 , 0.028529 , 0.031816 , 0.021694 , 0.019441 , 0.030261 , 0.020861 , 0.022168 , 0.022037 , 0.024095 , 0.021591 , 0.028919 , 0.021425 , 0.026656 , 0.025664 , 0.019537 , 0.023114 , 0.029107 , 0.032691 , 0.035053 , 0.030353 , 0.034767 , 0.017773 , 0.025515 , 0.024368 , 0.03006 , 0.028161 
