MAT_00005.spu,MAT_00004.spu,MAT_00003.spu,MAT_00002.spu,MAT_00001.spu,
Wavelength,MAT_00006.spu,MAT_00007.spu,MAT_00008.spu,MAT_00009.spu,MAT_00010.spu,MAT_00011.spu,MAT_00012.spu,MAT_00013.spu,MAT_00014.spu,MAT_00015.spu,MAT_00016.spu,MAT_00017.spu,MAT_00018.spu,MAT_00019.spu,MAT_00020.spu,MAT_00021.spu,MAT_00022.spu,MAT_00023.spu,MAT_00024.spu,MAT_00025.spu,MAT_00026.spu,MAT_00027.spu,MAT_00028.spu,MAT_00029.spu,MAT_00030.spu,MAT_00031.spu,MAT_00032.spu,MAT_00033.spu,MAT_00034.spu,MAT_00035.spu,MAT_00036.spu,MAT_00037.spu,MAT_00038.spu,MAT_00039.spu,MAT_00040.spu,MAT_00041.spu,MAT_00042.spu,MAT_00043.spu,MAT_00044.spu,MAT_00045.spu,MAT_00046.spu,MAT_00047.spu,MAT_00048.spu,MAT_00049.spu,MAT_00050.spu,MAT_00051.spu,MAT_00052.spu,MAT_00053.spu,MAT_00054.spu,MAT_00055.spu,MAT_00056.spu,MAT_00057.spu,MAT_00058.spu,MAT_00059.spu,MAT_00060.spu,MAT_00061.spu,MAT_00062.spu,MAT_00063.spu,MAT_00064.spu,MAT_00065.spu,MAT_00066.spu,MAT_00067.spu,MAT_00068.spu,MAT_00069.spu,MAT_00070.spu,MAT_00071.spu,MAT_00072.spu,MAT_00073.spu,MAT_00074.spu,MAT_00075.spu,MAT_00076.spu,MAT_00077.spu,MAT_00078.spu,MAT_00079.spu,MAT_00080.spu,MAT_00081.spu,MAT_00082.spu,MAT_00083.spu,MAT_00084.spu,MAT_00085.spu,MAT_00086.spu,MAT_00087.spu,MAT_00088.spu,MAT_00089.spu,MAT_00090.spu,MAT_00091.spu,MAT_00092.spu,MAT_00093.spu,MAT_00094.spu,MAT_00095.spu,MAT_00096.spu,MAT_00097.spu,MAT_00098.spu,MAT_00099.spu,MAT_00100.spu,MAT_00101.spu,MAT_00102.spu,MAT_00103.spu,MAT_00104.spu,MAT_00105.spu,MAT_00106.spu,MAT_00107.spu,MAT_00108.spu,MAT_00109.spu,MAT_00110.spu
 422 , 0.039732 , 0.037365 , 0.030881 , 0.035118 , 0.034422 , 0.031251 , 0.029524 , 0.035829 , 0.038388 , 0.029723 , 0.041943 , 0.035751 , 0.02646 , 0.030732 , 0.034166 , 0.040095 , 0.03467 , 0.035026 , 0.037223 , 0.046471 , 0.038282 , 0.037023 , 0.051874 , 0.049301 , 0.050509 , 0.030668 , 0.048042 , 0.031045 , 0.034251 , 0.028862 , 0.03022 , 0.028827 , 0.029374 , 0.036199 , 0.047132 , 0.033995 , 0.030696 , 0.024633 , 0.036426 , 0.026246 , 0.034571 , 0.029047 , 0.026154 , 0.032595 , 0.044616 , 0.024988 , 0.037201 , 0.040919 , 0.02845 , 0.037329 , 0.030284 , 0.028862 , 0.029694 , 0.031628 , 0.024739 , 0.02808 , 0.03182 , 0.035232 , 0.024256 , 0.034621 , 0.034471 , 0.042789 , 0.031962 , 0.044964 , 0.03932 , 0.027306 , 0.032893 , 0.032268 , 0.033234 , 0.032843 , 0.027313 , 0.038054 , 0.028173 , 0.027298 , 0.028016 , 0.023673 , 0.036462 , 0.033291 , 0.035367 , 0.031393 , 0.046606 , 0.039718 , 0.041751 , 0.036696 , 0.027483 , 0.02749 , 0.024988 , 0.023765 , 0.039227 , 0.036071 , 0.034343 , 0.039718 , 0.030995 , 0.02331 , 0.027696 , 0.040507 , 0.027071 , 0.038317 , 0.035047 , 0.036433 , 0.052706 , 0.029353 , 0.026765 , 0.02872 , 0.030519 
 423 , 0.039852 , 0.037518 , 0.030901 , 0.035169 , 0.034562 , 0.031315 , 0.029673 , 0.035969 , 0.03851 , 0.029816 , 0.042122 , 0.03584 , 0.026475 , 0.030808 , 0.034234 , 0.04008 , 0.034727 , 0.035055 , 0.037246 , 0.04654 , 0.038253 , 0.037046 , 0.052029 , 0.049388 , 0.05068 , 0.030779 , 0.048239 , 0.0311 , 0.034348 , 0.028873 , 0.030258 , 0.028945 , 0.029459 , 0.036354 , 0.047411 , 0.034198 , 0.030808 , 0.024683 , 0.036654 , 0.026282 , 0.034812 , 0.029137 , 0.026197 , 0.032664 , 0.044863 , 0.024983 , 0.037275 , 0.040994 , 0.028438 , 0.037382 , 0.030337 , 0.028923 , 0.029801 , 0.031714 , 0.024769 , 0.02816 , 0.03195 , 0.03539 , 0.024305 , 0.034769 , 0.034641 , 0.043028 , 0.0321 , 0.045177 , 0.039509 , 0.027353 , 0.033021 , 0.032464 , 0.033392 , 0.032971 , 0.027424 , 0.038274 , 0.028288 , 0.027389 , 0.028095 , 0.023727 , 0.036704 , 0.033463 , 0.035526 , 0.031543 , 0.046668 , 0.039802 , 0.04185 , 0.036775 , 0.027546 , 0.027553 , 0.025012 , 0.023827 , 0.039402 , 0.036197 , 0.034377 , 0.039816 , 0.031072 , 0.023341 , 0.027838 , 0.040694 , 0.027167 , 0.038545 , 0.035333 , 0.036697 , 0.053207 , 0.02948 , 0.026896 , 0.028845 , 0.030679 
 424 , 0.03987 , 0.037614 , 0.030807 , 0.035106 , 0.034619 , 0.03128 , 0.029725 , 0.036023 , 0.038538 , 0.02984 , 0.042199 , 0.035837 , 0.026415 , 0.030814 , 0.034203 , 0.039963 , 0.034683 , 0.034999 , 0.037177 , 0.046512 , 0.038158 , 0.036997 , 0.052114 , 0.049392 , 0.050775 , 0.030836 , 0.048367 , 0.031087 , 0.034368 , 0.028837 , 0.030227 , 0.028988 , 0.029446 , 0.036431 , 0.047629 , 0.034318 , 0.03085 , 0.02466 , 0.03679 , 0.026244 , 0.034963 , 0.029124 , 0.02615 , 0.032656 , 0.045007 , 0.024882 , 0.037277 , 0.041038 , 0.028343 , 0.037313 , 0.030299 , 0.028887 , 0.029804 , 0.031717 , 0.024732 , 0.028156 , 0.031997 , 0.03545 , 0.02428 , 0.034841 , 0.034741 , 0.043209 , 0.032176 , 0.04533 , 0.039641 , 0.027325 , 0.03305 , 0.032606 , 0.033458 , 0.033028 , 0.027461 , 0.038409 , 0.028343 , 0.027404 , 0.028099 , 0.023714 , 0.036897 , 0.03358 , 0.035658 , 0.031638 , 0.046684 , 0.03982 , 0.041869 , 0.036811 , 0.027519 , 0.027526 , 0.024954 , 0.023815 , 0.039498 , 0.036274 , 0.034347 , 0.039842 , 0.031101 , 0.023313 , 0.027906 , 0.040809 , 0.027182 , 0.038695 , 0.035543 , 0.036868 , 0.053648 , 0.029525 , 0.026953 , 0.028902 , 0.030757 
 425 , 0.039893 , 0.037707 , 0.030725 , 0.03504 , 0.034666 , 0.031243 , 0.029783 , 0.036068 , 0.038563 , 0.02987 , 0.042266 , 0.035831 , 0.026361 , 0.030819 , 0.034177 , 0.03985 , 0.034644 , 0.034953 , 0.03711 , 0.046487 , 0.038067 , 0.036952 , 0.052211 , 0.049399 , 0.050866 , 0.030883 , 0.048493 , 0.03107 , 0.034385 , 0.028791 , 0.0302 , 0.029028 , 0.029438 , 0.036514 , 0.047846 , 0.034436 , 0.030891 , 0.024635 , 0.036924 , 0.026202 , 0.035112 , 0.029115 , 0.026102 , 0.032652 , 0.045157 , 0.024779 , 0.037276 , 0.041087 , 0.028245 , 0.037247 , 0.030258 , 0.028863 , 0.029805 , 0.031725 , 0.0247 , 0.028151 , 0.032048 , 0.035514 , 0.024261 , 0.03491 , 0.034838 , 0.043381 , 0.03225 , 0.045487 , 0.039764 , 0.027303 , 0.033084 , 0.032739 , 0.033522 , 0.033077 , 0.027504 , 0.038541 , 0.028396 , 0.027418 , 0.028101 , 0.0237 , 0.037089 , 0.033695 , 0.035787 , 0.031739 , 0.046703 , 0.039829 , 0.041892 , 0.036844 , 0.027497 , 0.027504 , 0.024894 , 0.023808 , 0.039598 , 0.036341 , 0.034321 , 0.039872 , 0.031128 , 0.023276 , 0.027978 , 0.040929 , 0.027202 , 0.038851 , 0.035751 , 0.037039 , 0.05408 , 0.029568 , 0.027015 , 0.028956 , 0.03084 
 426 , 0.039952 , 0.03783 , 0.030698 , 0.035036 , 0.034769 , 0.031261 , 0.029883 , 0.03617 , 0.038645 , 0.029933 , 0.042392 , 0.035881 , 0.02636 , 0.030872 , 0.034199 , 0.039793 , 0.034661 , 0.034943 , 0.037094 , 0.046513 , 0.038025 , 0.036956 , 0.052338 , 0.049444 , 0.051003 , 0.03098 , 0.048657 , 0.031095 , 0.034452 , 0.028786 , 0.030222 , 0.029125 , 0.029471 , 0.036639 , 0.048108 , 0.034603 , 0.03098 , 0.024657 , 0.037108 , 0.026216 , 0.035304 , 0.029154 , 0.026101 , 0.032691 , 0.045366 , 0.024736 , 0.037317 , 0.041165 , 0.028201 , 0.037245 , 0.030265 , 0.028879 , 0.029861 , 0.031781 , 0.024715 , 0.028201 , 0.032149 , 0.035636 , 0.024289 , 0.035022 , 0.034986 , 0.043597 , 0.032366 , 0.045676 , 0.039938 , 0.027328 , 0.033167 , 0.032922 , 0.033636 , 0.033181 , 0.02758 , 0.038718 , 0.02849 , 0.027479 , 0.028158 , 0.023733 , 0.037325 , 0.033867 , 0.035946 , 0.031875 , 0.046759 , 0.039887 , 0.041951 , 0.036913 , 0.027522 , 0.027522 , 0.024895 , 0.023841 , 0.039743 , 0.036458 , 0.034329 , 0.039945 , 0.031189 , 0.023285 , 0.028093 , 0.041085 , 0.02727 , 0.039042 , 0.036004 , 0.037252 , 0.054547 , 0.029652 , 0.027118 , 0.02906 , 0.030965 
 427 , 0.040235 , 0.038148 , 0.030965 , 0.035285 , 0.035125 , 0.031566 , 0.030218 , 0.036538 , 0.038974 , 0.030211 , 0.042801 , 0.036183 , 0.026652 , 0.031139 , 0.034531 , 0.040018 , 0.034966 , 0.035147 , 0.037343 , 0.046824 , 0.038242 , 0.037198 , 0.052709 , 0.049738 , 0.051405 , 0.031334 , 0.049042 , 0.031399 , 0.034777 , 0.028993 , 0.030493 , 0.0295 , 0.029776 , 0.037017 , 0.048643 , 0.035038 , 0.031327 , 0.024927 , 0.037568 , 0.026521 , 0.03577 , 0.029464 , 0.026355 , 0.033001 , 0.04591 , 0.024949 , 0.037597 , 0.041453 , 0.028391 , 0.03756 , 0.030537 , 0.029174 , 0.030189 , 0.03211 , 0.024985 , 0.028536 , 0.032523 , 0.036075 , 0.024557 , 0.035393 , 0.035386 , 0.044077 , 0.03274 , 0.046106 , 0.040373 , 0.027587 , 0.033538 , 0.033327 , 0.034023 , 0.033538 , 0.027899 , 0.039148 , 0.028819 , 0.027797 , 0.028449 , 0.023999 , 0.037807 , 0.03432 , 0.036299 , 0.032247 , 0.047041 , 0.040192 , 0.042279 , 0.037198 , 0.027812 , 0.027783 , 0.025173 , 0.024108 , 0.040134 , 0.036807 , 0.034574 , 0.040235 , 0.031443 , 0.023499 , 0.028442 , 0.04154 , 0.027601 , 0.03951 , 0.036509 , 0.03772 , 0.055275 , 0.029972 , 0.027485 , 0.029406 , 0.031341 
 428 , 0.040518 , 0.038458 , 0.031223 , 0.035525 , 0.035474 , 0.031864 , 0.030539 , 0.036908 , 0.039302 , 0.030474 , 0.043203 , 0.036485 , 0.026937 , 0.031405 , 0.034855 , 0.040234 , 0.03527 , 0.03535 , 0.037592 , 0.047133 , 0.038465 , 0.037439 , 0.053072 , 0.05003 , 0.051806 , 0.031689 , 0.049411 , 0.031689 , 0.035103 , 0.029193 , 0.030765 , 0.02987 , 0.030073 , 0.037395 , 0.049171 , 0.035467 , 0.031675 , 0.025204 , 0.038028 , 0.026827 , 0.036231 , 0.029775 , 0.026609 , 0.033305 , 0.046449 , 0.025168 , 0.037868 , 0.04174 , 0.028581 , 0.037876 , 0.030808 , 0.029469 , 0.03051 , 0.032446 , 0.025255 , 0.028865 , 0.032897 , 0.036515 , 0.024819 , 0.035765 , 0.035779 , 0.044557 , 0.033116 , 0.046537 , 0.040816 , 0.027854 , 0.033902 , 0.033734 , 0.034411 , 0.033887 , 0.028203 , 0.039564 , 0.029149 , 0.028101 , 0.028749 , 0.024265 , 0.038283 , 0.034768 , 0.036653 , 0.032613 , 0.04733 , 0.040488 , 0.042599 , 0.037483 , 0.028101 , 0.028036 , 0.025452 , 0.024375 , 0.040518 , 0.037155 , 0.034811 , 0.040525 , 0.031696 , 0.023705 , 0.028785 , 0.04198 , 0.027926 , 0.039972 , 0.037009 , 0.038189 , 0.055998 , 0.030292 , 0.027846 , 0.029753 , 0.031711 
 429 , 0.040799 , 0.038768 , 0.031482 , 0.035772 , 0.035823 , 0.032162 , 0.030868 , 0.03727 , 0.039623 , 0.030744 , 0.043606 , 0.036787 , 0.027221 , 0.031665 , 0.035172 , 0.040456 , 0.035574 , 0.035552 , 0.03784 , 0.047435 , 0.03868 , 0.037679 , 0.053442 , 0.050314 , 0.052207 , 0.032037 , 0.049788 , 0.031979 , 0.035428 , 0.029392 , 0.031029 , 0.030247 , 0.030371 , 0.037767 , 0.0497 , 0.035896 , 0.032015 , 0.025475 , 0.038483 , 0.027126 , 0.036692 , 0.030086 , 0.026863 , 0.033608 , 0.046989 , 0.02538 , 0.038139 , 0.04202 , 0.028771 , 0.03819 , 0.031073 , 0.029757 , 0.030832 , 0.032768 , 0.025519 , 0.029195 , 0.033265 , 0.036941 , 0.025088 , 0.03613 , 0.036174 , 0.045023 , 0.033492 , 0.04696 , 0.041245 , 0.028113 , 0.034266 , 0.034142 , 0.034792 , 0.034237 , 0.028515 , 0.039988 , 0.029472 , 0.028413 , 0.029041 , 0.024525 , 0.03876 , 0.035216 , 0.037007 , 0.03298 , 0.04761 , 0.040792 , 0.042926 , 0.037767 , 0.028383 , 0.028296 , 0.025723 , 0.024635 , 0.040902 , 0.037504 , 0.035041 , 0.040814 , 0.03195 , 0.023918 , 0.029129 , 0.042422 , 0.028252 , 0.040427 , 0.037511 , 0.038651 , 0.056723 , 0.030605 , 0.028215 , 0.030101 , 0.032081 
 430 , 0.040828 , 0.038909 , 0.031452 , 0.035796 , 0.035877 , 0.032207 , 0.030954 , 0.037378 , 0.039759 , 0.030793 , 0.043758 , 0.036829 , 0.027226 , 0.031709 , 0.035247 , 0.040425 , 0.035613 , 0.035547 , 0.037847 , 0.047523 , 0.038682 , 0.037708 , 0.053632 , 0.050438 , 0.052394 , 0.032163 , 0.050013 , 0.032038 , 0.035518 , 0.029409 , 0.031079 , 0.030361 , 0.030464 , 0.037949 , 0.05005 , 0.036089 , 0.032156 , 0.025497 , 0.038748 , 0.027175 , 0.036917 , 0.030149 , 0.026874 , 0.033694 , 0.047274 , 0.025329 , 0.038198 , 0.042088 , 0.028713 , 0.038228 , 0.03113 , 0.029812 , 0.030954 , 0.032866 , 0.025527 , 0.029299 , 0.033401 , 0.037151 , 0.025146 , 0.036345 , 0.036397 , 0.045333 , 0.033628 , 0.047223 , 0.041517 , 0.028164 , 0.034397 , 0.03436 , 0.034983 , 0.034397 , 0.028618 , 0.04022 , 0.029592 , 0.028508 , 0.029123 , 0.024582 , 0.039055 , 0.035496 , 0.037217 , 0.033159 , 0.047713 , 0.040901 , 0.043047 , 0.037847 , 0.02842 , 0.028339 , 0.025739 , 0.024699 , 0.041092 , 0.037649 , 0.035071 , 0.040931 , 0.032024 , 0.023915 , 0.02927 , 0.042659 , 0.028339 , 0.040696 , 0.03781 , 0.038938 , 0.057301 , 0.030779 , 0.028376 , 0.030236 , 0.032265 
 431 , 0.040801 , 0.039008 , 0.031343 , 0.035767 , 0.035855 , 0.032195 , 0.03099 , 0.03742 , 0.039838 , 0.030784 , 0.043858 , 0.036803 , 0.027169 , 0.031696 , 0.03526 , 0.04033 , 0.035598 , 0.035495 , 0.037802 , 0.047554 , 0.03864 , 0.0377 , 0.053779 , 0.050516 , 0.05253 , 0.032232 , 0.0502 , 0.032026 , 0.035546 , 0.029381 , 0.031071 , 0.030417 , 0.030512 , 0.038089 , 0.050362 , 0.03623 , 0.032254 , 0.025456 , 0.038971 , 0.027161 , 0.037082 , 0.03016 , 0.026823 , 0.033731 , 0.047488 , 0.025221 , 0.038214 , 0.042094 , 0.028602 , 0.038207 , 0.031144 , 0.029807 , 0.031034 , 0.032908 , 0.025464 , 0.029359 , 0.033474 , 0.037295 , 0.025155 , 0.036509 , 0.036575 , 0.0456 , 0.033709 , 0.047451 , 0.041734 , 0.028161 , 0.034459 , 0.034532 , 0.035113 , 0.034495 , 0.028668 , 0.040411 , 0.029653 , 0.028558 , 0.02916 , 0.024589 , 0.039309 , 0.035737 , 0.037391 , 0.033283 , 0.047767 , 0.040977 , 0.043116 , 0.037883 , 0.028389 , 0.028337 , 0.025684 , 0.024714 , 0.04122 , 0.037751 , 0.035054 , 0.041007 , 0.032056 , 0.023862 , 0.029359 , 0.042844 , 0.028367 , 0.040918 , 0.038067 , 0.039177 , 0.057828 , 0.030909 , 0.028484 , 0.030329 , 0.032408 
 432 , 0.040768 , 0.039102 , 0.031243 , 0.035733 , 0.035836 , 0.03218 , 0.031015 , 0.037466 , 0.039913 , 0.030786 , 0.043953 , 0.036773 , 0.027108 , 0.031686 , 0.035269 , 0.040245 , 0.035586 , 0.035438 , 0.037753 , 0.047588 , 0.038594 , 0.037679 , 0.05392 , 0.050596 , 0.052652 , 0.032305 , 0.050382 , 0.032025 , 0.035578 , 0.029356 , 0.031059 , 0.030469 , 0.030558 , 0.038225 , 0.050662 , 0.03636 , 0.032342 , 0.025419 , 0.039183 , 0.027145 , 0.037244 , 0.03016 , 0.026783 , 0.033765 , 0.047706 , 0.02511 , 0.038225 , 0.04211 , 0.028494 , 0.038188 , 0.031155 , 0.029799 , 0.031111 , 0.032939 , 0.025405 , 0.029415 , 0.033544 , 0.037436 , 0.025169 , 0.036677 , 0.036751 , 0.045855 , 0.033794 , 0.047669 , 0.041948 , 0.028154 , 0.034524 , 0.034694 , 0.035247 , 0.034598 , 0.028715 , 0.040591 , 0.02971 , 0.028604 , 0.029194 , 0.024601 , 0.039552 , 0.035969 , 0.037561 , 0.033411 , 0.047824 , 0.041049 , 0.043186 , 0.037923 , 0.028361 , 0.028339 , 0.025633 , 0.024726 , 0.041351 , 0.037849 , 0.035033 , 0.041085 , 0.032084 , 0.02382 , 0.029445 , 0.043024 , 0.028398 , 0.04113 , 0.038313 , 0.039412 , 0.058351 , 0.031037 , 0.028589 , 0.03041 , 0.032541 
 433 , 0.040833 , 0.039252 , 0.031238 , 0.035795 , 0.035943 , 0.032257 , 0.031149 , 0.037605 , 0.040094 , 0.030876 , 0.044135 , 0.036844 , 0.027146 , 0.03177 , 0.035382 , 0.040242 , 0.035655 , 0.035478 , 0.037805 , 0.047688 , 0.038632 , 0.03776 , 0.054158 , 0.050746 , 0.052858 , 0.032449 , 0.050628 , 0.032102 , 0.035699 , 0.029406 , 0.031142 , 0.03061 , 0.030684 , 0.038432 , 0.051034 , 0.036586 , 0.032516 , 0.025484 , 0.039489 , 0.027227 , 0.03748 , 0.030248 , 0.026835 , 0.03389 , 0.048028 , 0.025107 , 0.038314 , 0.042214 , 0.028475 , 0.038262 , 0.031245 , 0.029879 , 0.03126 , 0.033062 , 0.025432 , 0.029546 , 0.033712 , 0.037672 , 0.025277 , 0.036903 , 0.037014 , 0.046181 , 0.033949 , 0.047961 , 0.042229 , 0.028239 , 0.034673 , 0.034931 , 0.035456 , 0.034776 , 0.028837 , 0.040863 , 0.029857 , 0.028734 , 0.02931 , 0.024679 , 0.039873 , 0.03629 , 0.037805 , 0.033616 , 0.047961 , 0.041188 , 0.043337 , 0.038026 , 0.028431 , 0.028431 , 0.025668 , 0.024797 , 0.04155 , 0.038026 , 0.035094 , 0.041217 , 0.032183 , 0.023837 , 0.029613 , 0.043285 , 0.028512 , 0.041424 , 0.038632 , 0.03971 , 0.058945 , 0.03123 , 0.0288 , 0.030588 , 0.032745 
 434 , 0.041011 , 0.039471 , 0.031348 , 0.035961 , 0.036205 , 0.032466 , 0.031393 , 0.037871 , 0.040389 , 0.031082 , 0.044416 , 0.037035 , 0.027306 , 0.031985 , 0.035621 , 0.040359 , 0.035835 , 0.035635 , 0.037975 , 0.047889 , 0.038775 , 0.037953 , 0.054508 , 0.050999 , 0.053161 , 0.032703 , 0.050954 , 0.032289 , 0.035931 , 0.029542 , 0.031348 , 0.03086 , 0.030897 , 0.03873 , 0.051502 , 0.036924 , 0.032777 , 0.025692 , 0.039915 , 0.027417 , 0.037812 , 0.030438 , 0.027017 , 0.034132 , 0.048503 , 0.025225 , 0.038515 , 0.042447 , 0.028579 , 0.038456 , 0.031437 , 0.030068 , 0.031497 , 0.033273 , 0.025566 , 0.029794 , 0.033999 , 0.038019 , 0.025499 , 0.037205 , 0.037375 , 0.046593 , 0.034214 , 0.048355 , 0.042602 , 0.028424 , 0.034917 , 0.035273 , 0.035754 , 0.035043 , 0.029046 , 0.041255 , 0.030112 , 0.028957 , 0.029527 , 0.02484 , 0.040292 , 0.036724 , 0.038145 , 0.033932 , 0.0482 , 0.041418 , 0.04358 , 0.038219 , 0.028616 , 0.028639 , 0.025795 , 0.024944 , 0.041832 , 0.038293 , 0.035265 , 0.041433 , 0.032363 , 0.023952 , 0.029882 , 0.043661 , 0.028727 , 0.041825 , 0.039041 , 0.040085 , 0.059624 , 0.031511 , 0.029149 , 0.030875 , 0.033029 
 435 , 0.041177 , 0.039685 , 0.031456 , 0.036123 , 0.03645 , 0.032665 , 0.031634 , 0.038127 , 0.040672 , 0.031278 , 0.044687 , 0.037214 , 0.027464 , 0.032191 , 0.035849 , 0.040472 , 0.036005 , 0.035789 , 0.038134 , 0.048078 , 0.038906 , 0.038142 , 0.054838 , 0.051239 , 0.053443 , 0.032947 , 0.051261 , 0.032465 , 0.036153 , 0.029675 , 0.031538 , 0.0311 , 0.031107 , 0.03901 , 0.051944 , 0.037251 , 0.033036 , 0.02589 , 0.040316 , 0.027605 , 0.038127 , 0.030617 , 0.027196 , 0.034357 , 0.048954 , 0.025341 , 0.038706 , 0.042661 , 0.028673 , 0.038646 , 0.031627 , 0.030246 , 0.031723 , 0.033482 , 0.02569 , 0.030024 , 0.034276 , 0.038357 , 0.02572 , 0.037504 , 0.037726 , 0.046995 , 0.034461 , 0.048731 , 0.042958 , 0.028599 , 0.035151 , 0.035604 , 0.036042 , 0.0353 , 0.029245 , 0.041622 , 0.030358 , 0.02917 , 0.029742 , 0.024993 , 0.040702 , 0.037133 , 0.038468 , 0.034231 , 0.048442 , 0.041637 , 0.043819 , 0.038409 , 0.028799 , 0.028836 , 0.025913 , 0.025089 , 0.042104 , 0.038557 , 0.035433 , 0.041637 , 0.032532 , 0.024065 , 0.030142 , 0.044019 , 0.02894 , 0.042201 , 0.039433 , 0.040442 , 0.060285 , 0.031782 , 0.029482 , 0.031159 , 0.033296 
 436 , 0.041322 , 0.039879 , 0.03154 , 0.036271 , 0.036673 , 0.032842 , 0.031845 , 0.038361 , 0.040928 , 0.031458 , 0.044937 , 0.03738 , 0.027598 , 0.032366 , 0.036055 , 0.040563 , 0.03616 , 0.035922 , 0.038272 , 0.048255 , 0.039031 , 0.038309 , 0.055151 , 0.051454 , 0.053715 , 0.033162 , 0.051558 , 0.032626 , 0.03636 , 0.029785 , 0.031719 , 0.031317 , 0.031295 , 0.039269 , 0.052361 , 0.037558 , 0.033266 , 0.026065 , 0.040697 , 0.027769 , 0.038421 , 0.030781 , 0.027345 , 0.034568 , 0.049378 , 0.02544 , 0.038875 , 0.042862 , 0.028751 , 0.038815 , 0.031793 , 0.030409 , 0.031927 , 0.033668 , 0.025797 , 0.030231 , 0.034523 , 0.038674 , 0.025909 , 0.037774 , 0.038049 , 0.04737 , 0.034694 , 0.049081 , 0.043286 , 0.028758 , 0.035364 , 0.035899 , 0.036301 , 0.035535 , 0.029435 , 0.041969 , 0.030581 , 0.029368 , 0.029933 , 0.025135 , 0.041084 , 0.037528 , 0.038771 , 0.034508 , 0.048649 , 0.041835 , 0.044037 , 0.038577 , 0.028959 , 0.029011 , 0.026028 , 0.025217 , 0.042356 , 0.038793 , 0.035579 , 0.04182 , 0.032693 , 0.024154 , 0.03038 , 0.044357 , 0.02913 , 0.042557 , 0.039805 , 0.040779 , 0.060908 , 0.032024 , 0.029785 , 0.031414 , 0.033556 
 437 , 0.041303 , 0.03993 , 0.031496 , 0.036243 , 0.036698 , 0.032884 , 0.031921 , 0.038474 , 0.041057 , 0.031504 , 0.045072 , 0.037422 , 0.027563 , 0.032362 , 0.036071 , 0.040527 , 0.036183 , 0.035944 , 0.038251 , 0.048319 , 0.039019 , 0.038303 , 0.055335 , 0.051543 , 0.053864 , 0.03325 , 0.051774 , 0.032675 , 0.036415 , 0.029765 , 0.031757 , 0.031399 , 0.031339 , 0.039385 , 0.0527 , 0.037728 , 0.033369 , 0.026055 , 0.04096 , 0.027787 , 0.038579 , 0.030787 , 0.027309 , 0.034608 , 0.049632 , 0.025369 , 0.038863 , 0.04287 , 0.028652 , 0.038848 , 0.031795 , 0.030474 , 0.031989 , 0.033713 , 0.025772 , 0.030302 , 0.034631 , 0.038863 , 0.025928 , 0.037967 , 0.038243 , 0.04764 , 0.034802 , 0.049311 , 0.04352 , 0.028764 , 0.035444 , 0.036026 , 0.0364 , 0.035608 , 0.029496 , 0.042161 , 0.030645 , 0.029421 , 0.029951 , 0.025137 , 0.041333 , 0.03784 , 0.038945 , 0.034638 , 0.048714 , 0.041908 , 0.044147 , 0.038609 , 0.028973 , 0.029003 , 0.026033 , 0.025212 , 0.042482 , 0.03893 , 0.035579 , 0.041863 , 0.032713 , 0.0241 , 0.030444 , 0.044542 , 0.02919 , 0.042751 , 0.040034 , 0.041005 , 0.061395 , 0.03213 , 0.029944 , 0.031511 , 0.033675 
 438 , 0.04128 , 0.039985 , 0.031458 , 0.036227 , 0.036713 , 0.032925 , 0.031989 , 0.038585 , 0.041183 , 0.03154 , 0.04521 , 0.037469 , 0.027535 , 0.032356 , 0.036092 , 0.040494 , 0.036204 , 0.035965 , 0.038233 , 0.048377 , 0.039004 , 0.0383 , 0.055519 , 0.051634 , 0.054014 , 0.033337 , 0.051985 , 0.03273 , 0.036474 , 0.029751 , 0.031795 , 0.031473 , 0.031383 , 0.039491 , 0.053026 , 0.037896 , 0.033464 , 0.026045 , 0.041205 , 0.027804 , 0.038735 , 0.030791 , 0.027273 , 0.034647 , 0.049889 , 0.025296 , 0.038854 , 0.042889 , 0.028561 , 0.038877 , 0.031795 , 0.030529 , 0.032049 , 0.033764 , 0.025746 , 0.030372 , 0.034737 , 0.039049 , 0.02594 , 0.038151 , 0.038428 , 0.047905 , 0.034916 , 0.04953 , 0.043743 , 0.02877 , 0.03553 , 0.036144 , 0.036504 , 0.035688 , 0.029564 , 0.042343 , 0.030709 , 0.029474 , 0.029968 , 0.025147 , 0.041579 , 0.038151 , 0.039109 , 0.034767 , 0.048781 , 0.041969 , 0.044259 , 0.038637 , 0.028987 , 0.029002 , 0.026038 , 0.025207 , 0.042597 , 0.039064 , 0.035583 , 0.041901 , 0.032738 , 0.024039 , 0.030499 , 0.044724 , 0.029249 , 0.042942 , 0.040262 , 0.041227 , 0.061867 , 0.032229 , 0.030095 , 0.0316 , 0.033793 
