JUN23MAT00005.spu,JUN23MAT00004.spu,JUN23MAT00003.spu,
Wavelength,JUN23MAT00006.spu,JUN23MAT00007.spu,JUN23MAT00008.spu,JUN23MAT00009.spu,JUN23MAT00010.spu,JUN23MAT00011.spu,JUN23MAT00012.spu,JUN23MAT00013.spu,JUN23MAT00014.spu,JUN23MAT00015.spu,JUN23MAT00016.spu,JUN23MAT00017.spu,JUN23MAT00018.spu,JUN23MAT00019.spu,JUN23MAT00020.spu,JUN23MAT00021.spu,JUN23MAT00022.spu,JUN23MAT00023.spu,JUN23MAT00024.spu,JUN23MAT00025.spu,JUN23MAT00026.spu,JUN23MAT00027.spu,JUN23MAT00028.spu,JUN23MAT00029.spu,JUN23MAT00030.spu,JUN23MAT00031.spu,JUN23MAT00032.spu,JUN23MAT00033.spu,JUN23MAT00034.spu,JUN23MAT00035.spu,JUN23MAT00036.spu,JUN23MAT00037.spu,JUN23MAT00038.spu,JUN23MAT00039.spu,JUN23MAT00040.spu,JUN23MAT00041.spu,JUN23MAT00042.spu,JUN23MAT00043.spu,JUN23MAT00044.spu,JUN23MAT00045.spu,JUN23MAT00046.spu,JUN23MAT00047.spu,JUN23MAT00048.spu,JUN23MAT00049.spu,JUN23MAT00050.spu,JUN23MAT00051.spu,JUN23MAT00052.spu,JUN23MAT00053.spu,JUN23MAT00054.spu,JUN23MAT00055.spu,JUN23MAT00056.spu,JUN23MAT00057.spu,JUN23MAT00058.spu,JUN23MAT00059.spu,JUN23MAT00060.spu,JUN23MAT00061.spu,JUN23MAT00062.spu,JUN23MAT00063.spu,JUN23MAT00064.spu,JUN23MAT00065.spu,JUN23MAT00066.spu,JUN23MAT00067.spu,JUN23MAT00068.spu,JUN23MAT00069.spu,JUN23MAT00070.spu,JUN23MAT00071.spu,JUN23MAT00072.spu,JUN23MAT00073.spu,JUN23MAT00074.spu,JUN23MAT00075.spu,JUN23MAT00076.spu,JUN23MAT00077.spu,JUN23MAT00078.spu,JUN23MAT00079.spu,JUN23MAT00080.spu,JUN23MAT00081.spu,JUN23MAT00082.spu,JUN23MAT00083.spu,JUN23MAT00084.spu,JUN23MAT00085.spu,JUN23MAT00086.spu,JUN23MAT00087.spu,JUN23MAT00088.spu,JUN23MAT00089.spu,JUN23MAT00090.spu,JUN23MAT00091.spu,JUN23MAT00092.spu,JUN23MAT00093.spu,JUN23MAT00094.spu,JUN23MAT00095.spu,JUN23MAT00096.spu,JUN23MAT00097.spu,JUN23MAT00098.spu,JUN23MAT00099.spu,JUN23MAT00100.spu
 316 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 317 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 318 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 319 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 320 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 321 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 322 , 0 , 1 , 0 , 1 , 0 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 323 , 0 , 1 , 0 , 1 , 0 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 324 , 0 , 1 , 0 , 1 , 0 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 325 , 0 , 0 , 0 , 0 , 0 , 0.148169 , 0 , 0 , 0.148169 , 0 , 0 , 0 , 0.000798 , 0 , 0 , 0 , 0 , 0 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0 , 0.148169 , 0.148169 , 0.148169 , 0 , 0 , 0.148169 , 0.148169 , 0 , 0.148169 , 0.148169 , 0 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0 , 0.148169 , 0 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 , 0.148169 
 326 , 0 , 0 , 0 , 0 , 0 , 0.425981 , 0 , 0 , 0.425981 , 0 , 0 , 0 , 0.002538 , 0 , 0 , 0 , 0 , 0 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0 , 0.425981 , 0.425981 , 0.425981 , 0 , 0 , 0.425981 , 0.425981 , 0 , 0.425981 , 0.425981 , 0 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0 , 0.425981 , 0 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 , 0.425981 
 327 , 0 , 0 , 0 , 0 , 0 , 0.613766 , 0 , 0 , 0.613766 , 0 , 0 , 0 , 0.003714 , 0 , 0 , 0 , 0 , 0 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0 , 0.613766 , 0.613766 , 0.613766 , 0 , 0 , 0.613766 , 0.613766 , 0 , 0.613766 , 0.613766 , 0 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0 , 0.613766 , 0 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 , 0.613766 
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000249 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.041059 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.041059 , 0.041059 , 0.041059 , 0.041059 , 0 , 0.041059 , 0.041059 , 0 , 0.041059 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.041059 , 0 , 0.041059 , 0.041059 , 0 , 0.041059 , 0 , 0.041059 , 0.041059 , 0.041059 , 0.041059 , 0.041059 , 0.041059 , 0.041059 , 0 , 0.041059 , 0.041059 , 0.041059 , 0.041059 , 0 , 0.041059 , 0.041059 , 0.041059 , 0.041059 , 0.041059 , 0.041059 , 0.041059 , 0.041059 , 0.041059 , 0.041059 , 0.041059 , 0.041059 , 0.041059 , 0.041059 , 0.041059 , 0.041059 , 0.041059 , 0.041059 , 0.041059 , 0.041059 , 0.041059 
 329 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001123 , 0.00866 , 0.000732 , 0.007606 , 0 , 0 , 0 , 0 , 0 , 0 , 0.006748 , 0 , 0 , 1.88074 , 0.003538 , 0.001391 , 0.001147 , 0.001767 , 0.004726 , 0 , 0 , 0.002199 , 0.004252 , 0 , 0 , 0 , 0 , 1.88074 , 1.88074 , 1.88074 , 1.88074 , 0 , 1.88074 , 1.88074 , 0 , 1.88074 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.88074 , 0 , 1.88074 , 1.88074 , 0 , 1.88074 , 0 , 1.88074 , 1.88074 , 1.88074 , 1.88074 , 1.88074 , 1.88074 , 1.88074 , 0 , 1.88074 , 1.88074 , 1.88074 , 1.88074 , 0 , 1.88074 , 1.88074 , 1.88074 , 1.88074 , 1.88074 , 1.88074 , 1.88074 , 1.88074 , 1.88074 , 1.88074 , 1.88074 , 1.88074 , 1.88074 , 1.88074 , 1.88074 , 1.88074 , 1.88074 , 1.88074 , 1.88074 , 1.88074 , 1.88074 
 330 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.006071 , 0.011703 , 0.001491 , 0.017401 , 0 , 0 , 0 , 0 , 0 , 0 , 0.010625 , 0 , 0 , 2.886563 , 0.005571 , 0.002457 , 0.002089 , 0.002782 , 0.007442 , 0 , 0 , 0.003462 , 0.008368 , 0 , 0 , 0 , 0 , 2.886563 , 2.886563 , 2.886563 , 2.886563 , 0 , 2.886563 , 2.886563 , 0 , 2.886563 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.886563 , 0 , 2.886563 , 2.886563 , 0 , 2.886563 , 0 , 2.886563 , 2.886563 , 2.886563 , 2.886563 , 2.886563 , 2.886563 , 2.886563 , 0 , 2.886563 , 2.886563 , 2.886563 , 2.886563 , 0 , 2.886563 , 2.886563 , 2.886563 , 2.886563 , 2.886563 , 2.886563 , 2.886563 , 2.886563 , 2.886563 , 2.886563 , 2.886563 , 2.886563 , 2.886563 , 2.886563 , 2.886563 , 2.886563 , 2.886563 , 2.886563 , 2.886563 , 2.886563 , 2.886563 
