JUL8MAT00050.spu,JUL8MAT00049.spu,JUL8MAT00048.spu,JUL8MAT00047.spu,
Wavelength,JUL8MAT00051.spu,JUL8MAT00052.spu,JUL8MAT00053.spu,JUL8MAT00054.spu,JUL8MAT00055.spu,JUL8MAT00056.spu,JUL8MAT00057.spu,JUL8MAT00058.spu,JUL8MAT00059.spu,JUL8MAT00060.spu,JUL8MAT00061.spu,JUL8MAT00062.spu,JUL8MAT00063.spu,JUL8MAT00064.spu,JUL8MAT00065.spu,JUL8MAT00066.spu,JUL8MAT00067.spu,JUL8MAT00068.spu,JUL8MAT00069.spu,JUL8MAT00070.spu,JUL8MAT00071.spu,JUL8MAT00072.spu,JUL8MAT00073.spu,JUL8MAT00074.spu,JUL8MAT00075.spu,JUL8MAT00076.spu,JUL8MAT00077.spu,JUL8MAT00078.spu,JUL8MAT00079.spu,JUL8MAT00080.spu,JUL8MAT00081.spu,JUL8MAT00082.spu,JUL8MAT00083.spu,JUL8MAT00084.spu,JUL8MAT00085.spu
 494 , 0.02024 , 0.024777 , 0.024461 , 0.03064 , 0.032032 , 0.022736 , 0.025756 , 0.019099 , 0.021033 , 0.021808 , 0.027282 , 0.03854 , 0.020087 , 0.025245 , 0.027922 , 0.029499 , 0.013546 , 0.02692 , 0.016 , 0.022787 , 0.025227 , 0.024911 , 0.031035 , 0.036819 , 0.025769 , 0.028488 , 0.028887 , 0.027815 , 0.032153 , 0.039343 , 0.019521 , 0.021154 , 0.01786 , 0.01927 , 0.02525 
 495 , 0.020485 , 0.025001 , 0.024685 , 0.03076 , 0.032167 , 0.022861 , 0.025873 , 0.019232 , 0.021228 , 0.021961 , 0.027493 , 0.038826 , 0.020253 , 0.025433 , 0.02812 , 0.029679 , 0.013668 , 0.027131 , 0.016151 , 0.022973 , 0.025395 , 0.025061 , 0.03128 , 0.037151 , 0.025985 , 0.02857 , 0.029048 , 0.028004 , 0.032334 , 0.039541 , 0.019678 , 0.021297 , 0.01803 , 0.019446 , 0.025442 
 496 , 0.020726 , 0.025225 , 0.024905 , 0.030881 , 0.032306 , 0.022983 , 0.025991 , 0.019361 , 0.021418 , 0.022115 , 0.027709 , 0.039108 , 0.020425 , 0.02562 , 0.028318 , 0.029854 , 0.013794 , 0.027343 , 0.016302 , 0.023155 , 0.025564 , 0.025216 , 0.031526 , 0.037474 , 0.0262 , 0.028652 , 0.029214 , 0.028188 , 0.032515 , 0.039735 , 0.019835 , 0.021437 , 0.018201 , 0.019621 , 0.025629 
 497 , 0.020945 , 0.025443 , 0.025039 , 0.031052 , 0.032442 , 0.023203 , 0.026201 , 0.019555 , 0.021539 , 0.02226 , 0.027953 , 0.039426 , 0.020624 , 0.025857 , 0.028561 , 0.030053 , 0.013914 , 0.027562 , 0.01646 , 0.023347 , 0.025778 , 0.025401 , 0.031782 , 0.037777 , 0.026442 , 0.028766 , 0.029407 , 0.02838 , 0.03272 , 0.039942 , 0.020006 , 0.021614 , 0.018356 , 0.019815 , 0.025871 
 498 , 0.021147 , 0.025656 , 0.025107 , 0.031262 , 0.032569 , 0.023499 , 0.026465 , 0.019789 , 0.021612 , 0.022402 , 0.028217 , 0.03976 , 0.02084 , 0.026135 , 0.02884 , 0.030253 , 0.01403 , 0.027794 , 0.016619 , 0.023536 , 0.026019 , 0.025609 , 0.032039 , 0.038059 , 0.026702 , 0.028901 , 0.029617 , 0.02858 , 0.03294 , 0.04015 , 0.020184 , 0.021825 , 0.018497 , 0.020017 , 0.026144 
 499 , 0.021349 , 0.025869 , 0.025181 , 0.031472 , 0.032695 , 0.023795 , 0.026734 , 0.020024 , 0.021679 , 0.022544 , 0.028482 , 0.040089 , 0.021056 , 0.026404 , 0.029115 , 0.030459 , 0.014146 , 0.028022 , 0.016778 , 0.02373 , 0.02626 , 0.025818 , 0.032295 , 0.038336 , 0.026957 , 0.029036 , 0.029831 , 0.02878 , 0.03316 , 0.040359 , 0.020358 , 0.022037 , 0.018633 , 0.020219 , 0.026413 
 500 , 0.021599 , 0.026139 , 0.025292 , 0.031684 , 0.032847 , 0.024083 , 0.027004 , 0.020278 , 0.021808 , 0.02272 , 0.028767 , 0.040448 , 0.021296 , 0.026711 , 0.029409 , 0.030684 , 0.014291 , 0.028284 , 0.01697 , 0.023948 , 0.026525 , 0.026069 , 0.032582 , 0.038662 , 0.027256 , 0.029191 , 0.030084 , 0.029014 , 0.033396 , 0.040579 , 0.020566 , 0.022269 , 0.018817 , 0.02045 , 0.026721 
 501 , 0.022005 , 0.026584 , 0.025549 , 0.031909 , 0.033099 , 0.024351 , 0.027293 , 0.020583 , 0.02214 , 0.023003 , 0.02913 , 0.040881 , 0.021618 , 0.027139 , 0.029769 , 0.03101 , 0.014516 , 0.028673 , 0.017267 , 0.024262 , 0.026901 , 0.026458 , 0.032963 , 0.039137 , 0.02768 , 0.029447 , 0.030469 , 0.029368 , 0.033677 , 0.04083 , 0.020881 , 0.022593 , 0.019137 , 0.02076 , 0.027139 
 502 , 0.022409 , 0.027031 , 0.025802 , 0.032136 , 0.033351 , 0.024619 , 0.027583 , 0.020885 , 0.022465 , 0.023283 , 0.029485 , 0.041311 , 0.021936 , 0.02756 , 0.03013 , 0.031336 , 0.014743 , 0.029055 , 0.017566 , 0.024577 , 0.02727 , 0.026844 , 0.033342 , 0.039605 , 0.028106 , 0.029696 , 0.030855 , 0.029724 , 0.033959 , 0.041082 , 0.021193 , 0.022913 , 0.019454 , 0.021067 , 0.027555 
 503 , 0.022813 , 0.027475 , 0.026056 , 0.032362 , 0.033599 , 0.024889 , 0.027869 , 0.021188 , 0.022795 , 0.023563 , 0.029842 , 0.041738 , 0.022256 , 0.027981 , 0.030488 , 0.031655 , 0.01497 , 0.029439 , 0.017861 , 0.024889 , 0.027639 , 0.027232 , 0.033716 , 0.040075 , 0.02853 , 0.029949 , 0.031238 , 0.030076 , 0.034237 , 0.041335 , 0.021506 , 0.023235 , 0.019768 , 0.021375 , 0.027967 
 504 , 0.023455 , 0.028132 , 0.026498 , 0.032843 , 0.034073 , 0.025438 , 0.028439 , 0.021683 , 0.023276 , 0.023949 , 0.030436 , 0.04241 , 0.022753 , 0.028618 , 0.031048 , 0.032231 , 0.015338 , 0.030017 , 0.018348 , 0.025362 , 0.028217 , 0.027779 , 0.034322 , 0.04079 , 0.029169 , 0.030351 , 0.031816 , 0.030634 , 0.034793 , 0.041873 , 0.021947 , 0.023728 , 0.020275 , 0.021867 , 0.028599 
 505 , 0.024136 , 0.028825 , 0.026967 , 0.033357 , 0.034585 , 0.026028 , 0.029043 , 0.022202 , 0.023781 , 0.02435 , 0.031072 , 0.043119 , 0.023273 , 0.02928 , 0.031637 , 0.032841 , 0.015731 , 0.030617 , 0.018869 , 0.025867 , 0.02882 , 0.028351 , 0.03496 , 0.041545 , 0.029835 , 0.030778 , 0.032424 , 0.031219 , 0.035387 , 0.042455 , 0.022411 , 0.024255 , 0.020808 , 0.022387 , 0.029261 
 506 , 0.024815 , 0.029515 , 0.027435 , 0.033876 , 0.035092 , 0.026614 , 0.029653 , 0.022721 , 0.024286 , 0.024748 , 0.031705 , 0.043833 , 0.023789 , 0.02994 , 0.03223 , 0.033451 , 0.016127 , 0.031223 , 0.019386 , 0.026366 , 0.029424 , 0.028923 , 0.035598 , 0.042302 , 0.030503 , 0.031204 , 0.033036 , 0.03181 , 0.03598 , 0.043037 , 0.022873 , 0.024777 , 0.021342 , 0.022907 , 0.029925 
 507 , 0.025548 , 0.030277 , 0.027895 , 0.034401 , 0.035549 , 0.027257 , 0.030291 , 0.023325 , 0.024803 , 0.025245 , 0.032375 , 0.044575 , 0.024367 , 0.030666 , 0.03286 , 0.034103 , 0.016569 , 0.031885 , 0.019954 , 0.026882 , 0.030027 , 0.029537 , 0.036278 , 0.043096 , 0.031271 , 0.031626 , 0.033705 , 0.032433 , 0.036571 , 0.04362 , 0.023411 , 0.025341 , 0.021894 , 0.023483 , 0.030656 
 508 , 0.026336 , 0.031102 , 0.028345 , 0.034932 , 0.035946 , 0.027958 , 0.030957 , 0.024003 , 0.025331 , 0.025824 , 0.033082 , 0.045354 , 0.024993 , 0.031445 , 0.033532 , 0.034797 , 0.017063 , 0.032604 , 0.020569 , 0.027417 , 0.030624 , 0.03019 , 0.037004 , 0.043934 , 0.032136 , 0.032034 , 0.034435 , 0.033092 , 0.037168 , 0.044205 , 0.024022 , 0.02594 , 0.022462 , 0.024104 , 0.031445 
 509 , 0.027121 , 0.031926 , 0.028792 , 0.035467 , 0.036351 , 0.028652 , 0.031625 , 0.024683 , 0.025858 , 0.026402 , 0.033786 , 0.04613 , 0.02562 , 0.032227 , 0.034199 , 0.035487 , 0.017551 , 0.033325 , 0.02118 , 0.027957 , 0.031221 , 0.030842 , 0.037731 , 0.04477 , 0.032994 , 0.032446 , 0.035166 , 0.033752 , 0.03776 , 0.044789 , 0.024629 , 0.026538 , 0.023036 , 0.024731 , 0.032237 
 510 , 0.027924 , 0.032741 , 0.029238 , 0.035981 , 0.036743 , 0.029336 , 0.032297 , 0.025358 , 0.026375 , 0.026956 , 0.03449 , 0.046881 , 0.026253 , 0.03301 , 0.034867 , 0.036166 , 0.018049 , 0.034041 , 0.021801 , 0.02849 , 0.031832 , 0.0315 , 0.038443 , 0.045587 , 0.03386 , 0.032844 , 0.035898 , 0.034412 , 0.038345 , 0.045337 , 0.025246 , 0.027137 , 0.023619 , 0.025363 , 0.033034 
 511 , 0.02879 , 0.033517 , 0.029641 , 0.036409 , 0.037104 , 0.02995 , 0.032964 , 0.02603 , 0.026857 , 0.027371 , 0.035162 , 0.047494 , 0.026906 , 0.033796 , 0.035543 , 0.036791 , 0.018577 , 0.034741 , 0.022433 , 0.028986 , 0.032494 , 0.032171 , 0.039106 , 0.04629 , 0.034746 , 0.03318 , 0.03662 , 0.035073 , 0.038866 , 0.045722 , 0.025898 , 0.027762 , 0.024273 , 0.02604 , 0.033845 
 512 , 0.029662 , 0.034296 , 0.030049 , 0.036839 , 0.037466 , 0.030563 , 0.03363 , 0.026697 , 0.027334 , 0.02778 , 0.035835 , 0.048103 , 0.027565 , 0.034581 , 0.036222 , 0.037417 , 0.019103 , 0.035443 , 0.023067 , 0.029485 , 0.033155 , 0.032846 , 0.039769 , 0.046996 , 0.035624 , 0.033517 , 0.037344 , 0.035737 , 0.039387 , 0.046104 , 0.02655 , 0.028388 , 0.024929 , 0.026722 , 0.034659 
 513 , 0.030525 , 0.035068 , 0.030457 , 0.037265 , 0.037829 , 0.031178 , 0.034297 , 0.027361 , 0.027813 , 0.02819 , 0.036505 , 0.048719 , 0.02822 , 0.035362 , 0.036897 , 0.03804 , 0.019626 , 0.036142 , 0.023697 , 0.029981 , 0.033817 , 0.033518 , 0.040429 , 0.047699 , 0.036505 , 0.033856 , 0.038065 , 0.036397 , 0.039909 , 0.046487 , 0.027204 , 0.02901 , 0.025586 , 0.027396 , 0.03547 
 514 , 0.031582 , 0.036086 , 0.03087 , 0.037707 , 0.038223 , 0.032 , 0.035158 , 0.028247 , 0.028409 , 0.028797 , 0.03728 , 0.049397 , 0.028994 , 0.036292 , 0.037643 , 0.038783 , 0.020216 , 0.03695 , 0.024485 , 0.030536 , 0.034608 , 0.034318 , 0.041204 , 0.048493 , 0.037569 , 0.034234 , 0.038964 , 0.037186 , 0.040541 , 0.046941 , 0.027972 , 0.029775 , 0.026381 , 0.028208 , 0.036425 
 515 , 0.032683 , 0.037163 , 0.031291 , 0.038147 , 0.038634 , 0.032865 , 0.036066 , 0.029186 , 0.029033 , 0.029441 , 0.038073 , 0.050094 , 0.0298 , 0.037252 , 0.038408 , 0.039549 , 0.020824 , 0.037788 , 0.025305 , 0.031109 , 0.035432 , 0.035156 , 0.042003 , 0.049307 , 0.038678 , 0.03462 , 0.039908 , 0.038004 , 0.041201 , 0.047408 , 0.028772 , 0.030573 , 0.027203 , 0.029053 , 0.037414 
 516 , 0.033786 , 0.038233 , 0.031708 , 0.038593 , 0.039041 , 0.033732 , 0.036973 , 0.030122 , 0.029659 , 0.030087 , 0.038869 , 0.050787 , 0.030604 , 0.038214 , 0.039169 , 0.040312 , 0.021434 , 0.038622 , 0.026128 , 0.031683 , 0.036253 , 0.035992 , 0.042804 , 0.050122 , 0.039785 , 0.035007 , 0.040849 , 0.038824 , 0.041863 , 0.047877 , 0.029575 , 0.031373 , 0.028034 , 0.029895 , 0.038406 
 517 , 0.035068 , 0.039511 , 0.032254 , 0.039175 , 0.039575 , 0.034747 , 0.037995 , 0.031227 , 0.030467 , 0.030877 , 0.039822 , 0.051669 , 0.031568 , 0.039363 , 0.040113 , 0.041253 , 0.022199 , 0.039619 , 0.02713 , 0.032373 , 0.037205 , 0.036983 , 0.043756 , 0.051136 , 0.04111 , 0.035507 , 0.041954 , 0.039807 , 0.042675 , 0.04845 , 0.030527 , 0.032328 , 0.029001 , 0.030897 , 0.03958 
 518 , 0.03657 , 0.041052 , 0.032954 , 0.039934 , 0.040277 , 0.035944 , 0.039154 , 0.032536 , 0.031498 , 0.031846 , 0.040967 , 0.052767 , 0.03272 , 0.040734 , 0.041285 , 0.042413 , 0.023156 , 0.040813 , 0.028348 , 0.033202 , 0.038324 , 0.038165 , 0.044892 , 0.052394 , 0.042706 , 0.036133 , 0.043263 , 0.040982 , 0.04368 , 0.049155 , 0.031667 , 0.03348 , 0.030142 , 0.032094 , 0.040982 
 519 , 0.038074 , 0.042594 , 0.033654 , 0.040689 , 0.040974 , 0.037139 , 0.040314 , 0.033844 , 0.032524 , 0.032819 , 0.042119 , 0.053869 , 0.033874 , 0.042109 , 0.042459 , 0.043574 , 0.024115 , 0.042009 , 0.029574 , 0.034034 , 0.039444 , 0.039349 , 0.046029 , 0.053649 , 0.044299 , 0.036764 , 0.044569 , 0.042154 , 0.044684 , 0.049864 , 0.032809 , 0.034629 , 0.031284 , 0.033289 , 0.042384 
 520 , 0.039615 , 0.044149 , 0.034372 , 0.041467 , 0.041688 , 0.038367 , 0.041512 , 0.035177 , 0.033567 , 0.033793 , 0.043293 , 0.054997 , 0.035041 , 0.043509 , 0.043655 , 0.044757 , 0.025083 , 0.043223 , 0.030809 , 0.03488 , 0.040591 , 0.040556 , 0.047198 , 0.054932 , 0.04593 , 0.037406 , 0.045905 , 0.043354 , 0.045718 , 0.050599 , 0.033964 , 0.035796 , 0.032445 , 0.034513 , 0.043816 
 521 , 0.041443 , 0.045858 , 0.035229 , 0.042398 , 0.042545 , 0.039858 , 0.043043 , 0.036687 , 0.034701 , 0.034848 , 0.04471 , 0.056385 , 0.036342 , 0.045142 , 0.045081 , 0.046173 , 0.026176 , 0.044634 , 0.032166 , 0.035844 , 0.041961 , 0.041971 , 0.048617 , 0.056446 , 0.047824 , 0.038176 , 0.047499 , 0.044745 , 0.04696 , 0.051584 , 0.035285 , 0.037155 , 0.033771 , 0.035956 , 0.045497 
 522 , 0.043271 , 0.047567 , 0.03609 , 0.043322 , 0.043404 , 0.041346 , 0.044569 , 0.038199 , 0.035838 , 0.0359 , 0.046125 , 0.057776 , 0.03764 , 0.046771 , 0.046504 , 0.047587 , 0.027266 , 0.046037 , 0.033523 , 0.036808 , 0.043327 , 0.043378 , 0.050036 , 0.057956 , 0.049712 , 0.038949 , 0.049091 , 0.046135 , 0.048208 , 0.052566 , 0.036603 , 0.038507 , 0.035099 , 0.037399 , 0.047172 
 523 , 0.045096 , 0.049275 , 0.036945 , 0.044251 , 0.044261 , 0.042835 , 0.046102 , 0.039713 , 0.03697 , 0.036955 , 0.047538 , 0.059168 , 0.038941 , 0.048404 , 0.047927 , 0.049 , 0.028358 , 0.047445 , 0.034881 , 0.037769 , 0.044691 , 0.04479 , 0.051458 , 0.059469 , 0.051603 , 0.039719 , 0.05068 , 0.047528 , 0.049451 , 0.053553 , 0.037925 , 0.039859 , 0.036426 , 0.038842 , 0.048845 
 524 , 0.046868 , 0.051096 , 0.037753 , 0.045202 , 0.045113 , 0.04438 , 0.047717 , 0.041331 , 0.038104 , 0.038094 , 0.049011 , 0.060582 , 0.040315 , 0.050064 , 0.049409 , 0.050472 , 0.029492 , 0.048875 , 0.036297 , 0.03877 , 0.046124 , 0.046255 , 0.052945 , 0.061059 , 0.053568 , 0.040535 , 0.052321 , 0.048974 , 0.050766 , 0.054548 , 0.03933 , 0.041258 , 0.037821 , 0.040315 , 0.050525 
 525 , 0.048617 , 0.052963 , 0.038539 , 0.046156 , 0.045965 , 0.045944 , 0.049369 , 0.042991 , 0.039232 , 0.039264 , 0.050496 , 0.062014 , 0.041715 , 0.05174 , 0.050909 , 0.051968 , 0.030647 , 0.050316 , 0.037735 , 0.039783 , 0.04758 , 0.047739 , 0.054455 , 0.062681 , 0.055562 , 0.041366 , 0.053974 , 0.050443 , 0.052105 , 0.055546 , 0.040762 , 0.042673 , 0.039248 , 0.041805 , 0.052211 
 526 , 0.050365 , 0.054831 , 0.039328 , 0.047114 , 0.046814 , 0.04751 , 0.051023 , 0.044654 , 0.04036 , 0.040435 , 0.051986 , 0.063441 , 0.043114 , 0.053414 , 0.052414 , 0.053456 , 0.031803 , 0.051761 , 0.039172 , 0.040798 , 0.049028 , 0.049226 , 0.05597 , 0.064302 , 0.057558 , 0.042199 , 0.055633 , 0.051911 , 0.053446 , 0.056547 , 0.042199 , 0.044087 , 0.040675 , 0.043296 , 0.05389 
 527 , 0.052145 , 0.056661 , 0.04014 , 0.048023 , 0.047693 , 0.049027 , 0.052631 , 0.046251 , 0.041529 , 0.041615 , 0.053441 , 0.064868 , 0.044511 , 0.055073 , 0.053901 , 0.054932 , 0.03295 , 0.053193 , 0.040583 , 0.041799 , 0.050465 , 0.050718 , 0.057445 , 0.065894 , 0.05953 , 0.043015 , 0.057261 , 0.05336 , 0.054743 , 0.057515 , 0.043603 , 0.045489 , 0.04208 , 0.044776 , 0.055543 
 528 , 0.053954 , 0.058444 , 0.04098 , 0.048869 , 0.048618 , 0.050451 , 0.054178 , 0.047751 , 0.042753 , 0.042797 , 0.054849 , 0.066306 , 0.045907 , 0.056704 , 0.055362 , 0.056387 , 0.034083 , 0.054592 , 0.041951 , 0.042786 , 0.051875 , 0.052235 , 0.058859 , 0.067447 , 0.061461 , 0.043795 , 0.058854 , 0.054767 , 0.055978 , 0.05845 , 0.044974 , 0.046867 , 0.04344 , 0.046239 , 0.057157 
 529 , 0.055767 , 0.060224 , 0.041828 , 0.049717 , 0.049547 , 0.051883 , 0.055723 , 0.049255 , 0.043977 , 0.043982 , 0.056257 , 0.067739 , 0.047304 , 0.058329 , 0.056819 , 0.057844 , 0.035222 , 0.055993 , 0.043315 , 0.043767 , 0.053282 , 0.05375 , 0.060273 , 0.069006 , 0.063397 , 0.044577 , 0.06045 , 0.056169 , 0.05721 , 0.059381 , 0.04634 , 0.048246 , 0.044808 , 0.047701 , 0.058769 
 530 , 0.057565 , 0.061999 , 0.042662 , 0.050567 , 0.050467 , 0.05331 , 0.057259 , 0.050751 , 0.045193 , 0.04516 , 0.05766 , 0.069175 , 0.048692 , 0.059952 , 0.058277 , 0.059284 , 0.036348 , 0.057382 , 0.044676 , 0.044743 , 0.054678 , 0.055251 , 0.061682 , 0.070555 , 0.065326 , 0.045355 , 0.062032 , 0.057571 , 0.058439 , 0.060308 , 0.047702 , 0.049616 , 0.046161 , 0.049154 , 0.060369 
 531 , 0.059169 , 0.063557 , 0.043374 , 0.051414 , 0.051196 , 0.054658 , 0.058641 , 0.052155 , 0.046202 , 0.046146 , 0.058933 , 0.070492 , 0.049922 , 0.061408 , 0.059646 , 0.060516 , 0.037331 , 0.058613 , 0.04591 , 0.045579 , 0.055914 , 0.056543 , 0.062979 , 0.071996 , 0.067064 , 0.046 , 0.063428 , 0.058787 , 0.059562 , 0.06111 , 0.048906 , 0.050836 , 0.047363 , 0.050399 , 0.061823 
 532 , 0.060774 , 0.065114 , 0.044084 , 0.052265 , 0.05192 , 0.056011 , 0.060022 , 0.053567 , 0.047213 , 0.047128 , 0.060209 , 0.071807 , 0.051151 , 0.062862 , 0.061006 , 0.061748 , 0.038308 , 0.059841 , 0.047139 , 0.04641 , 0.057154 , 0.057838 , 0.064282 , 0.073436 , 0.068803 , 0.046642 , 0.064825 , 0.060005 , 0.060684 , 0.061917 , 0.05011 , 0.052056 , 0.048565 , 0.051643 , 0.063269 
 533 , 0.062381 , 0.066676 , 0.044801 , 0.053118 , 0.05265 , 0.057361 , 0.061406 , 0.054971 , 0.048223 , 0.048109 , 0.06148 , 0.073122 , 0.052376 , 0.064321 , 0.062364 , 0.062974 , 0.039291 , 0.061064 , 0.048366 , 0.047242 , 0.058388 , 0.059124 , 0.065581 , 0.074879 , 0.070544 , 0.047282 , 0.06622 , 0.061218 , 0.061805 , 0.062718 , 0.051309 , 0.053277 , 0.049769 , 0.052889 , 0.06472 
 534 , 0.063663 , 0.067961 , 0.045365 , 0.053718 , 0.053207 , 0.058464 , 0.062543 , 0.056143 , 0.049047 , 0.048996 , 0.062532 , 0.074217 , 0.053385 , 0.065531 , 0.063485 , 0.063997 , 0.040073 , 0.062101 , 0.049358 , 0.047944 , 0.059429 , 0.060199 , 0.066639 , 0.076062 , 0.071971 , 0.047801 , 0.067346 , 0.062193 , 0.062704 , 0.063347 , 0.052294 , 0.05431 , 0.050754 , 0.053925 , 0.065916 
 535 , 0.064803 , 0.069125 , 0.045865 , 0.054202 , 0.053694 , 0.059459 , 0.063573 , 0.057195 , 0.049794 , 0.049834 , 0.063492 , 0.075214 , 0.054294 , 0.066629 , 0.064497 , 0.064925 , 0.040764 , 0.063053 , 0.050239 , 0.048587 , 0.060384 , 0.061169 , 0.067588 , 0.077126 , 0.073261 , 0.048251 , 0.068356 , 0.063053 , 0.063503 , 0.063902 , 0.053179 , 0.055253 , 0.051637 , 0.054866 , 0.067004 
 536 , 0.06594 , 0.070285 , 0.046369 , 0.054688 , 0.054177 , 0.060456 , 0.064604 , 0.058249 , 0.05054 , 0.050674 , 0.064453 , 0.076211 , 0.055205 , 0.067729 , 0.06551 , 0.065853 , 0.041454 , 0.064 , 0.051115 , 0.049227 , 0.061333 , 0.062141 , 0.068531 , 0.078192 , 0.074549 , 0.04871 , 0.069362 , 0.063913 , 0.064302 , 0.064453 , 0.05406 , 0.056192 , 0.052527 , 0.055809 , 0.06809 
 537 , 0.067017 , 0.071356 , 0.046837 , 0.055166 , 0.054652 , 0.061386 , 0.065586 , 0.059225 , 0.051247 , 0.051399 , 0.065375 , 0.077162 , 0.056059 , 0.068763 , 0.066474 , 0.066719 , 0.0421 , 0.064891 , 0.051942 , 0.049845 , 0.062239 , 0.063068 , 0.069435 , 0.079224 , 0.075772 , 0.049127 , 0.070288 , 0.06471 , 0.065048 , 0.064967 , 0.054903 , 0.057064 , 0.053349 , 0.056696 , 0.069114 
 538 , 0.067966 , 0.072249 , 0.047237 , 0.055633 , 0.055105 , 0.062193 , 0.066464 , 0.060034 , 0.05189 , 0.051896 , 0.066212 , 0.078017 , 0.056818 , 0.06968 , 0.067344 , 0.067473 , 0.042655 , 0.065666 , 0.052659 , 0.050411 , 0.06305 , 0.063924 , 0.07026 , 0.080205 , 0.076879 , 0.049484 , 0.071041 , 0.065391 , 0.065672 , 0.065426 , 0.05568 , 0.057798 , 0.054043 , 0.05747 , 0.07002 
 539 , 0.068922 , 0.073147 , 0.047639 , 0.056109 , 0.05556 , 0.062992 , 0.067342 , 0.060847 , 0.052531 , 0.05239 , 0.067059 , 0.078864 , 0.057582 , 0.070601 , 0.068214 , 0.06822 , 0.043213 , 0.06644 , 0.05338 , 0.050975 , 0.063859 , 0.064778 , 0.07109 , 0.081192 , 0.07798 , 0.049838 , 0.071798 , 0.066069 , 0.066299 , 0.06588 , 0.05645 , 0.058531 , 0.054741 , 0.058242 , 0.070925 
 540 , 0.069871 , 0.074045 , 0.048037 , 0.05658 , 0.056018 , 0.063797 , 0.068219 , 0.06166 , 0.053176 , 0.05288 , 0.067899 , 0.079716 , 0.058338 , 0.071517 , 0.069084 , 0.068971 , 0.043768 , 0.067213 , 0.054093 , 0.051536 , 0.064667 , 0.065638 , 0.071913 , 0.082173 , 0.079089 , 0.050198 , 0.072547 , 0.066751 , 0.066929 , 0.066337 , 0.057219 , 0.059262 , 0.055437 , 0.059019 , 0.071831 
 541 , 0.070674 , 0.07491 , 0.048367 , 0.056963 , 0.056356 , 0.064541 , 0.069009 , 0.06237 , 0.053697 , 0.053459 , 0.068598 , 0.08059 , 0.059039 , 0.072346 , 0.069883 , 0.069633 , 0.044245 , 0.067908 , 0.054702 , 0.052049 , 0.065404 , 0.066403 , 0.072667 , 0.083065 , 0.080067 , 0.050491 , 0.07325 , 0.067349 , 0.067521 , 0.066736 , 0.057867 , 0.059967 , 0.056041 , 0.059681 , 0.072607 
 542 , 0.07147 , 0.075774 , 0.048697 , 0.057346 , 0.0567 , 0.065284 , 0.069797 , 0.063078 , 0.054214 , 0.054029 , 0.069288 , 0.08147 , 0.059737 , 0.073174 , 0.070681 , 0.070293 , 0.044716 , 0.068607 , 0.055302 , 0.052552 , 0.066132 , 0.067167 , 0.073419 , 0.083945 , 0.081052 , 0.050783 , 0.073945 , 0.067944 , 0.068111 , 0.067137 , 0.058506 , 0.060669 , 0.056647 , 0.060335 , 0.073377 
 543 , 0.07227 , 0.076637 , 0.049033 , 0.057736 , 0.057039 , 0.06603 , 0.070583 , 0.063784 , 0.054727 , 0.054601 , 0.069976 , 0.082349 , 0.060427 , 0.073994 , 0.071484 , 0.070949 , 0.045189 , 0.069304 , 0.055898 , 0.053063 , 0.066865 , 0.067928 , 0.074162 , 0.084829 , 0.08203 , 0.051075 , 0.074637 , 0.068535 , 0.068703 , 0.067538 , 0.059141 , 0.061376 , 0.057255 , 0.060985 , 0.074144 
 544 , 0.073075 , 0.077493 , 0.049429 , 0.058114 , 0.057426 , 0.066738 , 0.071301 , 0.064475 , 0.055289 , 0.055156 , 0.070715 , 0.083233 , 0.061101 , 0.074819 , 0.072279 , 0.071609 , 0.045627 , 0.069991 , 0.05649 , 0.053551 , 0.067589 , 0.068651 , 0.074916 , 0.085737 , 0.082973 , 0.051396 , 0.07532 , 0.069146 , 0.069279 , 0.067975 , 0.059767 , 0.062055 , 0.057866 , 0.06162 , 0.074934 
 545 , 0.073896 , 0.078348 , 0.049872 , 0.058499 , 0.057844 , 0.067429 , 0.071985 , 0.06516 , 0.055878 , 0.055702 , 0.071487 , 0.084118 , 0.061775 , 0.075649 , 0.073083 , 0.072264 , 0.046032 , 0.07068 , 0.057091 , 0.05404 , 0.068308 , 0.069346 , 0.075673 , 0.086665 , 0.083893 , 0.051735 , 0.076007 , 0.069758 , 0.069849 , 0.068436 , 0.060379 , 0.062721 , 0.058493 , 0.06226 , 0.075746 
 546 , 0.074714 , 0.079202 , 0.050312 , 0.058879 , 0.058263 , 0.068117 , 0.072672 , 0.065842 , 0.056464 , 0.056251 , 0.072263 , 0.085001 , 0.062446 , 0.076483 , 0.073885 , 0.072922 , 0.046446 , 0.071373 , 0.057684 , 0.054525 , 0.069038 , 0.070044 , 0.076434 , 0.087599 , 0.084812 , 0.052074 , 0.07669 , 0.070373 , 0.070422 , 0.068891 , 0.061001 , 0.063391 , 0.059117 , 0.062903 , 0.076562 
 547 , 0.075448 , 0.079959 , 0.050693 , 0.059243 , 0.058649 , 0.068762 , 0.073309 , 0.066475 , 0.056982 , 0.05673 , 0.072978 , 0.085819 , 0.063062 , 0.07725 , 0.074615 , 0.073518 , 0.04682 , 0.07201 , 0.058226 , 0.054971 , 0.069712 , 0.070692 , 0.077146 , 0.088466 , 0.085659 , 0.052373 , 0.077299 , 0.070925 , 0.070937 , 0.069301 , 0.06156 , 0.063999 , 0.059691 , 0.063491 , 0.077299 
